tab 	pmag_results
average_age_high	average_age_low	average_age_unit	average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_nn	average_r	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_site_names	external_database_ids	external_database_names	fold_test	fold_test_significance	magic_method_codes	percent_reversed	pmag_result_name	pole_comp_name	result_description	reversal_test	rock_magnetic_test	tilt_alpha95_corr	tilt_alpha95_uncorr	tilt_correction	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	tilt_k_corr	tilt_k_ratio	tilt_k_uncorr	tilt_n	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
			24.5	276	21	15	47.74	274.4	1	4	3.8	ND	ND	i	This study	Michipicoten Island Formation	12			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 12	Characteristic		ND	ND			100												12.0366713270475	187.376514331142	1
			5.2	311	8	313	47.73	274.38	1	4	3.99	ND	ND	i	This study	Michipicoten Island Formation	25			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 25	Characteristic		ND	ND			100												29.4765528601538	154.239258113867	1
			3.7	297	6	432	47.71	274.06	1	5	4.991	ND	ND	i	This study	Michipicoten Island Formation	3			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 3	Characteristic		ND	ND			100												20.1136554314715	165.42416360017	1
			9.2	296	37	101	47.73	274.39	1	4	3.97	ND	ND	i	This study	Michipicoten Island Formation	13			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 13	Characteristic		ND	ND			100												32.4679662976104	179.87599661523	1
			7.5	303	35	152	47.71	274.06	1	4	3.98	ND	ND	i	This study	Michipicoten Island Formation	2			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 2	Characteristic		ND	ND			100												36.1806751267964	172.77747580893	1
			5.1	312	43	228	47.71	274.13	1	5	4.982	ND	ND	i	This study	Michipicoten Island Formation	4			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 4	Characteristic		ND	ND			100												46.1101335214577	170.423287070968	1
			5.6	283	24	188	47.73	274.36	1	5	4.979	ND	ND	i	This study	Michipicoten Island Formation	14			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 14	Characteristic		ND	ND			100												17.9680860290197	183.376674836338	1
			5.1	286	32	224	47.7	274.15	1	5	4.982	ND	ND	i	This study	Michipicoten Island Formation	5			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 5	Characteristic		ND	ND			100												23.4305904550639	184.531613119722	1
			11.2	283	13	68	47.71	274.21	1	4	3.956	ND	ND	i	This study	Michipicoten Island Formation	16			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 16	Characteristic		ND	ND			100												13.6031898349537	179.006564696766	1
			23.7	291	5	28	47.7	274.21	1	3	2.929	ND	ND	i	This study	Michipicoten Island Formation	15			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 15	Characteristic		ND	ND			100												15.8595061241816	170.045337853479	1
			7.3	283	34	160	47.69	274.17	1	4	3.981	ND	ND	i	This study	Michipicoten Island Formation	17			Fo		FS-LOC-GOOGLE:LP-DC4:LT-AF-Z:LT-T-Z		VGP : Site 17	Characteristic		ND	ND			100												22.3218975661819	187.732708145336	1
