tab	sites
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
CF1	Kallander Creek rhyolite block samples	CF1.1:CF1.2:CF1.6	CF1.1b:CF1.2b:CF1.6b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	   15.3 	HC	  218.1 	   67.8 	    66 	3.0	3 	0 	t	2.9698 	0	46.37523268	-90.63691911		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   25.6 	   21.4 	   12.6 	  245.8 	3 
CF1	Kallander Creek rhyolite block samples	CF1.1:CF1.2:CF1.6	CF1.1b:CF1.2b:CF1.6b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	   15.2 	HC	  306.3 	   36.4 	    66 	3.0	3 	0 	n	2.9699 	100	46.37523268	-90.63691911		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   17.7 	   10.3 	   39.3 	  167.2 	3 
CF10	Kallander Creek basalt	CF10.1:CF10.4	CF10.1b:CF10.4b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	   18.5 	HC	  222.7 	   56.5 	   184 	2.0	2 	0 	t	1.9946 	0	46.37393324	-90.6357008		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	   26.7 	   19.3 	    1.8 	  236.6 	2 
CF10	Kallander Creek basalt	CF10.1:CF10.4	CF10.1b:CF10.4b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	   18.5 	HC	  292.2 	   34.9 	   185 	2.0	2 	0 	t	1.9946 	100	46.37393324	-90.6357008		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	i	   21.3 	   12.3 	   29.0 	  177.3 	2 
CF11	Kallander Creek basalt	CF11.3:CF11.4:CF11.5	CF11.3b:CF11.4b:CF11.5b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	    5.0 	HC	  225.8 	   63.2 	   611 	3.0	3 	0 	t	2.9967 	0	46.37386446	-90.6356345		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    7.9 	    6.2 	    9.6 	  238.2 	3 
CF11	Kallander Creek basalt	CF11.3:CF11.4:CF11.5	CF11.3b:CF11.4b:CF11.5b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	    5.0 	HC	  300.4 	   33.5 	   603 	3.0	3 	0 	t	2.9967 	100	46.37386446	-90.6356345		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    5.7 	    3.2 	   34.0 	  170.3 	3 
CF12	Kallander Creek basalt	CF12.1:CF12.2:CF12.3:CF12.4:CF12.5:CF12.6:CF12.7:CF12.8	CF12.1b:CF12.2b:CF12.3b:CF12.4b:CF12.5b:CF12.6b:CF12.7b:CF12.8b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	    2.5 	HC	  221.0 	   55.3 	   478 	8.0	8 	0 	t	7.9853 	0	46.37360462	-90.63523108		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    3.6 	    2.5 	    0.1 	  237.2 	8 
CF12	Kallander Creek basalt	CF12.1:CF12.2:CF12.3:CF12.4:CF12.5:CF12.6:CF12.7:CF12.8	CF12.1b:CF12.2b:CF12.3b:CF12.4b:CF12.5b:CF12.6b:CF12.7b:CF12.8b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	    2.5 	HC	  290.8 	   35.8 	   476 	8.0	8 	0 	t	7.9853 	100	46.37360462	-90.63523108		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    2.9 	    1.7 	   28.4 	  178.9 	8 
CF13	Kallander Creek basalt	CF13.1:CF13.2:CF13.4:CF13.5:CF13.6:CF13.8:CF13.9	CF13.1b:CF13.2b:CF13.4b:CF13.5b:CF13.6b:CF13.8b:CF13.9b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	    6.6 	HC	  299.1 	   29.9 	    86 	7.0	7 	0 	t	6.9299 	100	46.37361401	-90.63544004		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    7.3 	    4.1 	   31.5 	  169.4 	7 
CF13	Kallander Creek basalt	CF13.1:CF13.2:CF13.4:CF13.5:CF13.6:CF13.8:CF13.9	CF13.1b:CF13.2b:CF13.4b:CF13.5b:CF13.6b:CF13.8b:CF13.9b	999.3302757961361	1998.6605515922722	0.0	999.3302757961361	Years Cal BP	    6.5 	HC	  233.4 	   61.8 	    86 	7.0	7 	0 	t	6.9302 	0	46.37361401	-90.63544004		ACCEPT	pmagpy-3.22.1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   10.1 	    7.8 	   11.1 	  232.6 	7 
