tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	sequence	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:00:22	LT-NO:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF0	1.2	202.4	None	g	-30.3	3.48e-08	0	8	4.58e-10	7.09e-10	2.11e-10	u	273	0	0.0	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:01:43	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF1	1.7	202.2	None	g	-29.7	3.48e-08	1	8	9.98e-10	7.689999999999999e-10	3.83e-10	u	273	1	0.001	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:03:04	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF2	1.7	202.2	None	g	-29.7	3.48e-08	2	8	1.0300000000000002e-09	7.89e-10	3.97e-10	u	273	2	0.002	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:04:24	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF3	1.7	202.3	None	g	-29.7	3.48e-08	3	8	1.02e-09	7.79e-10	4.08e-10	u	273	3	0.003	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:05:44	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF4	1.7	202.3	None	g	-29.7	3.48e-08	4	8	1.0300000000000002e-09	7.76e-10	4.09e-10	u	273	4	0.004	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:07:08	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF5	1.4	201.9	None	g	-29.7	3.48e-08	5	8	8.55e-10	4.1e-10	4.15e-10	u	273	5	0.005	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:08:32	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF6	1.7	201.9	None	g	-30.2	3.53e-08	6	8	8.559999999999998e-10	7.820000000000001e-10	4e-10	u	273	6	0.0075	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:09:52	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF7	1.7	202.0	None	g	-30.3	3.5e-08	7	8	9.99e-10	7.81e-10	4.02e-10	u	273	7	0.01	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:11:16	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF8	1.4	201.7	None	g	-30.5	3.48e-08	8	8	9.88e-10	3.83e-10	4.01e-10	u	273	8	0.0125	0	0.0	0.0	273
None	This study	Kallander Creek rhyolite block samples	CF1.1	CF1	CF1.1b	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:12:40	LT-AF-Z:LP-DIR-AF	pmagpy-3.22.1	CF1.1b:LP-DIR-AF9	1.3	202.1	None	g	-30.3	3.5e-08	9	8	8.200000000000001e-10	4.86e-10	4.02e-10	u	273	9	0.015	0	0.0	0.0	273
