tab 	samples
azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	location	method_codes	sample	site
14.3	0	13	160.3	This study	-28			39.0		Agate Point	SO-CMD-NORTH	AP3-8	AP3
209.3	0	13	160.3	This study	-74			47.2		Agate Point	SO-CMD-NORTH	AP4-1	AP4
168.3	0	13	160.3	This study	-82			47.4		Agate Point	SO-CMD-NORTH	AP4-2	AP4
169.3	0	13	160.3	This study	-83			47.6		Agate Point	SO-CMD-NORTH	AP4-3	AP4
132.3	0	13	160.3	This study	-64			47.9		Agate Point	SO-CMD-NORTH	AP4-4	AP4
133.3	0	13	160.3	This study	-68			47.95		Agate Point	SO-CMD-NORTH	AP4-5	AP4
140.3	0	13	160.3	This study	-73			48.1		Agate Point	SO-CMD-NORTH	AP4-6	AP4
131.3	0	13	160.3	This study	-75			48.3		Agate Point	SO-CMD-NORTH	AP4-7	AP4
195.3	0	13	160.3	This study	-96			48.4		Agate Point	SO-CMD-NORTH	AP4-8	AP4
-87.9	0	13	160.3	This study	-89			60.1		Agate Point	SO-CMD-NORTH	AP5-1	AP5
198.2	0	13	160.3	This study	-69			60.3		Agate Point	SO-CMD-NORTH	AP5-2	AP5
-67.2	0	13	160.3	This study	-17			60.4		Agate Point	SO-CMD-NORTH	AP5-3	AP5
-26.6	0	13	160.3	This study	-54			60.3		Agate Point	SO-CMD-NORTH	AP5-4	AP5
-71.3	0	13	160.3	This study	-28			61.4		Agate Point	SO-CMD-NORTH	AP5-5	AP5
-48.5	0	13	160.3	This study	-20			61.7		Agate Point	SO-CMD-NORTH	AP5-6	AP5
137.3	0	13	160.3	This study	-12			61.9		Agate Point	SO-CMD-NORTH	AP5-7	AP5
78.7	0	13	160.3	This study	-16			64.4		Agate Point	SO-CMD-NORTH	AP5-8	AP5
-76.3	0	11	159.1	This study	-11			2.4		Puff Island	SO-CMD-NORTH	Puf1-1	Puf1
-89.4	0	11	159.1	This study	-19			2.5		Puff Island	SO-CMD-NORTH	Puf1-2	Puf1
96.9	0	11	159.1	This study	-9			2.3		Puff Island	SO-CMD-NORTH	Puf1-3	Puf1
7.3	0	11	159.1	This study	-30			2.5		Puff Island	SO-CMD-NORTH	Puf1-4	Puf1
22.4	0	11	159.1	This study	-36			2.6		Puff Island	SO-CMD-NORTH	Puf1-5	Puf1
-83.9	0	11	159.1	This study	-12			2.6		Puff Island	SO-CMD-NORTH	Puf1-6	Puf1
-81.3	0	11	159.1	This study	-21			2.0		Puff Island	SO-CMD-NORTH	Puf1-7	Puf1
-29.3	0	11	159.1	This study	-23			1.6		Puff Island	SO-CMD-NORTH	Puf1-8	Puf1
245.1	0	11	159.1	This study	-54			5.0		Puff Island	SO-CMD-NORTH	Puf2-1	Puf2
-22.9	0	11	159.1	This study	-27			4.9		Puff Island	SO-CMD-NORTH	Puf2-2	Puf2
145.1	0	11	159.1	This study	-62			5.2		Puff Island	SO-CMD-NORTH	Puf2-3	Puf2
151.2	0	11	159.1	This study	-19			5.1		Puff Island	SO-CMD-NORTH	Puf2-4	Puf2
215.2	0	11	159.1	This study	-49			4.8		Puff Island	SO-CMD-NORTH	Puf2-5	Puf2
193.1	0	11	159.1	This study	-60			4.8		Puff Island	SO-CMD-NORTH	Puf2-6	Puf2
194.1	0	11	159.1	This study	-55			4.8		Puff Island	SO-CMD-NORTH	Puf2-7	Puf2
