,concentration
0,0.686047238623976
1,0.7278987484833715
2,0.6440138686711168
3,0.6190519883265231
4,0.6613188505735397
5,0.6886667855921076
6,0.6612874378728592
7,0.8379588760025241
8,0.682018506054511
9,0.7342502886269388
10,0.7348866694966489
11,0.7860316643410699
12,0.6167952275442671
13,0.7754538095006253
14,0.6676519619113812
15,0.6573397450823681
16,0.6671106582689322
17,0.6833962486163135
18,0.6831303130211754
19,0.7285100887186254
20,0.7249519755437097
21,0.6928433726325394
22,0.6597475614084599
23,0.755433720923917
24,0.668192462260158
25,0.7358024173103095
26,0.6798579790731991
27,0.7172111581012561
28,0.7476069844164508
29,0.6529610109977322
30,0.6678474782195678
31,0.6859232304616315
32,0.6739511872891656
33,0.6485109154369877
34,0.6942411821350988
35,0.6145540299375063
36,0.7789497643346376
37,0.6845167193558132
38,0.7074181394447439
39,0.7164880333132947
40,0.7070427945533542
41,0.6763371452145727
42,0.6891378569194767
43,0.7275875232499696
44,0.6787173225162503
45,0.7302341033889407
46,0.7661285454832143
47,0.7188709834990318
48,0.7369287342729234
49,0.7174729948700176
50,0.6806235841077284
51,0.6590419165082128
52,0.7140838784312259
53,0.6984183992986043
54,0.6810880197690146
55,0.7161644375195536
56,0.7627169400545512
57,0.714832662933102
58,0.6848739681426727
59,0.6909328016220821
60,0.6823206408983106
61,0.6936711384312708
62,0.7244511898771512
63,0.7229400943031065
64,0.7081578980549726
65,0.7054152312050004
66,0.6501709372330836
67,0.7200825046035493
68,0.6771155893850849
69,0.6626488582875258
70,0.7370760519137542
71,0.7404061277011371
72,0.6596919469860997
73,0.7754113098301408
74,0.6792159649125968
75,0.6460397091982548
76,0.673584354668535
77,0.7062218393094386
78,0.7096793461001214
79,0.688967410800872
80,0.6339305244256354
81,0.68051477294347
82,0.7434592722516383
83,0.659508780266939
84,0.729644278650105
85,0.6797347717509161
86,0.7074771633454716
87,0.7082403994763742
88,0.7012724536212588
89,0.6904270142669854
90,0.6654957770402592
91,0.75362873517813
92,0.7447997917253821
93,0.6752241458116812
94,0.7172011834381358
95,0.6814056198657915
96,0.6410598425715729
97,0.6475509297152995
98,0.6490854377136958
99,0.6330940530624569
100,0.7096446717262996
101,0.6911737404976298
102,0.6967501761403059
103,0.7133535558268786
104,0.6867157833188388
105,0.6727468828790645
106,0.6878580549108133
107,0.6733504818858373
108,0.6958786825159652
109,0.717049911764482
110,0.6525244732948874
111,0.7595232609061335
112,0.7454186446729348
113,0.651548751252828
114,0.7584173972714298
115,0.7932735922078246
116,0.6958624461187071
117,0.7118192097432953
118,0.688312003923679
119,0.7205563862716718
120,0.7399971722287879
121,0.6565457556850312
122,0.7561275586565103
123,0.7552555777268135
124,0.6700055044232498
125,0.7165965996852532
126,0.7626560869306076
127,0.6549417847969469
128,0.6353204999172553
129,0.572060945392753
130,0.6620071301354807
131,0.7285633694385885
132,0.7497046615927336
133,0.7252324966867724
134,0.7518984740982144
135,0.6609513275934673
136,0.6604758799186967
137,0.721421902936892
138,0.6746357014120985
139,0.735230660456532
140,0.7045905869006229
141,0.6863044288649119
142,0.6439143938783766
143,0.6106897025137896
144,0.7667174120300588
145,0.6653840458567917
146,0.7096309263698733
147,0.722871218235221
148,0.7520574504389884
149,0.7490710286658724
150,0.6914305448387635
151,0.6920337287420014
152,0.7091340253381552
153,0.7134151899183636
154,0.699367843263326
155,0.7691785195242555
156,0.7673360921371872
157,0.6528183003695632
158,0.6638590127368262
159,0.7492826693832366
160,0.761433526727476
161,0.6985855485564615
162,0.694370042589478
163,0.6957288141347451
164,0.7227501911878722
165,0.7106336342982849
166,0.7371287739656467
167,0.7057027084457156
168,0.6893713840673991
169,0.687622680887604
170,0.7238838207123511
171,0.7132368053465311
172,0.7291914346820279
173,0.7356789035906823
174,0.6731626557383753
175,0.6948456564992008
176,0.6991855157650374
177,0.7062190986480262
178,0.7403124888198171
179,0.6612989781377009
180,0.6769195814547626
181,0.7320045326512147
182,0.6904381960885756
183,0.6728059462225646
184,0.6651135583650089
185,0.7590188032784229
186,0.7040677762725931
187,0.6910661458391504
188,0.6967526819143257
189,0.6950155874592528
190,0.6975487761650756
191,0.7210722544745698
192,0.7070311610804489
193,0.6670041059357285
194,0.6777889409048979
195,0.666744394332897
196,0.7282574558809177
197,0.7209448245882839
198,0.7009264262849728
199,0.7077544606858202
200,0.6648687429119133
201,0.6857004605149375
202,0.7451644222582204
203,0.7235868506339945
204,0.7416660324328946
205,0.697172081447196
206,0.7345394715396266
207,0.66603179273557
208,0.7088028407515395
209,0.6946374207592638
210,0.6530348080567209
211,0.5962793872173571
212,0.7899795105138797
213,0.7141471744182113
214,0.6824351481479253
215,0.6623608522411855
216,0.7156943203769712
217,0.7227022401116237
218,0.7513044236932898
219,0.6725597590473305
220,0.7030876663557255
221,0.735401255433674
222,0.7072487410427675
