,Item,Age,Continent,Pole ID,PLat,PLon,A95
55,56,201.0,SAM,CAMsa,67.6,81.2,6.8
56,57,201.0,NwA,CAMaf,68.5,87.8,7.9
57,58,201.0,NAM,CAMna,66.3,97.3,5.0
58,59,204.0,NAM,cM,67.8,96.1,2.9
59,60,207.0,NAM,cW,66.6,86.5,2.9
60,61,211.0,NAM,cS,61.7,95.3,2.0
61,62,214.0,NAM,cR,60.1,97.1,1.4
62,63,214.0,EUR,RO,59.9,99.1,5.2
63,64,215.0,NAM,MI,58.8,89.9,5.8
64,65,217.0,NAM,cT,59.9,99.5,1.7
65,66,221.0,NAM,cN,60.5,101.6,2.5
66,67,221.0,NAM,cD,58.5,99.8,1.1
67,68,227.0,NAM,cP,54.2,106.6,2.0
68,69,243.0,EUR,OD,52.7,150.2,5.9
