tab 	pmag_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	sample_comp_name	sample_dec	sample_direction_type	sample_inc	sample_n	sample_n_lines	sample_n_planes	sample_tilt_correction
This study	North Shore Volcanics	ns011a	ns011	ns011a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	291.8	l	22.7	1	1	0	0
This study	North Shore Volcanics	ns011b	ns011	ns011b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	294.4	l	22.4	1	1	0	0
This study	North Shore Volcanics	ns011c	ns011	ns011c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	294.7	l	16	1	1	0	0
This study	North Shore Volcanics	ns011d	ns011	ns011d1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	289.2	l	19.8	1	1	0	0
This study	North Shore Volcanics	ns011e	ns011	ns011e1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	298.8	l	14.1	1	1	0	0
This study	North Shore Volcanics	ns012b	ns012	ns012b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	284.1	l	44.1	1	1	0	0
This study	North Shore Volcanics	ns012c	ns012	ns012c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	290.2	l	30.4	1	1	0	0
This study	North Shore Volcanics	ns012d	ns012	ns012d2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	289.3	l	27.7	1	1	0	0
This study	North Shore Volcanics	ns012e	ns012	ns012e2	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	290.6	l	27.6	1	1	0	0
This study	North Shore Volcanics	ns013a	ns013	ns013a1	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	293.9	l	25.4	1	1	0	0
This study	North Shore Volcanics	ns013c	ns013	ns013c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	289.2	l	31.8	1	1	0	0
This study	North Shore Volcanics	ns013d	ns013	ns013d3	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	290.7	l	27.8	1	1	0	0
This study	North Shore Volcanics	ns013e	ns013	ns013e3	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	287.9	l	31.6	1	1	0	0
This study	North Shore Volcanics	ns014a	ns014	ns014a1	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	276	l	24.1	1	1	0	0
This study	North Shore Volcanics	ns014b	ns014	ns014b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	277.7	l	24.7	1	1	0	0
This study	North Shore Volcanics	ns014c	ns014	ns014c1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	280.3	l	25.3	1	1	0	0
This study	North Shore Volcanics	ns014d	ns014	ns014d1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	275.7	l	22.4	1	1	0	0
This study	North Shore Volcanics	ns014f	ns014	ns014f1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	278.8	l	23.2	1	1	0	0
This study	North Shore Volcanics	ns015a	ns015	ns015a1	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	297.7	l	15.7	1	1	0	0
This study	North Shore Volcanics	ns015b	ns015	ns015b1	LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	HEM	295.8	l	15.9	1	1	0	0
