tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_name	specimen_correction	specimen_dec	specimen_description	specimen_direction_type	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
This study	North Shore Volcanics	ns066b	ns066	ns066b1	ns066b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	623	K		MAG	u	226.9	Magnetite remanence.	l	30.3	2.9	7	-1
This study	North Shore Volcanics	ns067f	ns067	ns067f2	ns067f2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	673	K		MAG	u	190.3	Magnetite remanence.	l	-47.1	0.5	6	-1
This study	North Shore Volcanics	ns068a	ns068	ns068a1	ns068a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0.015	T		MAG	u	59	Magnetite remanence.	l	34	1	8	-1
This study	North Shore Volcanics	ns068b	ns068	ns068b1	ns068b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	773	K		MAG	u	73.2	Magnetite remanence.	l	19.5	1.7	4	-1
This study	North Shore Volcanics	ns068d	ns068	ns068d1	ns068d1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	673	K		MAG	u	138.4	Magnetite remanence.	l	-8.8	1.6	6	-1
This study	North Shore Volcanics	ns068f	ns068	ns068f1	ns068f1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	228.5	Magnetite remanence.	l	15.5	1.1	5	-1
This study	North Shore Volcanics	ns069a	ns069	ns069a1	ns069a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0.02	T		MAG	u	187.3	Magnetite remanence.	l	2.3	1.3	10	-1
This study	North Shore Volcanics	ns069b	ns069	ns069b1	ns069b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	207.4	Magnetite remanence.	l	0.4	1.8	5	-1
This study	North Shore Volcanics	ns069c	ns069	ns069c2	ns069c2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	773	K		MAG	u	59.1	Magnetite remanence.	l	75.6	0.7	3	-1
This study	North Shore Volcanics	ns069e	ns069	ns069e2	ns069e2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	773	K		MAG	u	122.4	Magnetite remanence.	l	-4.5	0.6	3	-1
This study	North Shore Volcanics	ns069f	ns069	ns069f2	ns069f2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	823	673	K		MAG	u	297.9	Magnetite remanence.	l	79.3	1.3	4	-1
This study	North Shore Volcanics	ns070b	ns070	ns070b1	ns070b1 : LT-NO	LP-DIR-T : DE-BFP	pmagpy-2.03	848	273	K		MAG	u	13.6	Magnetite remanence.	p	51	3.6	10	-1
This study	North Shore Volcanics	ns070e	ns070	ns070e1	ns070e1 : LT-NO	LP-DIR-T : DE-BFP	pmagpy-2.03	923	273	K		MAG	u	4.3	Magnetite remanence.	p	15.3	3.3	10	-1
This study	North Shore Volcanics	ns071b	ns071	ns071b1	ns071b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	148	Magnetite remanence.	l	3.8	0.5	5	-1
This study	North Shore Volcanics	ns071c	ns071	ns071c1	ns071c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	146.6	Magnetite remanence.	l	53.5	2.7	4	-1
This study	North Shore Volcanics	ns071d	ns071	ns071d2	ns071d2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	55.5	Magnetite remanence.	l	66.4	0.9	4	-1
This study	North Shore Volcanics	ns071e	ns071	ns071e1	ns071e1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	126.3	Magnetite remanence.	l	12.3	1	4	-1
This study	North Shore Volcanics	ns071f	ns071	ns071f2	ns071f2 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.12	0.01	T		MAG	u	204.8	Magnetite remanence.	l	-32.3	1.7	10	-1
This study	North Shore Volcanics	ns075a	ns075	ns075a1	ns075a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.08	0.02	T		MAG	u	237.5	Magnetite remanence.	l	27.2	1.4	6	-1
This study	North Shore Volcanics	ns075b	ns075	ns075b1	ns075b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	213	Magnetite remanence.	l	-26.9	2.3	5	-1
This study	North Shore Volcanics	ns075c	ns075	ns075c2	ns075c2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	351.6	Magnetite remanence.	l	61.6	4.4	4	-1
This study	North Shore Volcanics	ns075d	ns075	ns075d2	ns075d2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	25.4	Magnetite remanence.	l	57.6	4.1	5	-1
This study	North Shore Volcanics	ns075f	ns075	ns075f1	ns075f1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	87	Magnetite remanence.	l	58.5	3.1	5	-1
This study	North Shore Volcanics	ns076a	ns076	ns076a1	ns076a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.12	0.02	T		MAG	u	158.3	Magnetite remanence.	l	61.6	2	8	-1
This study	North Shore Volcanics	ns076b	ns076	ns076b1	ns076b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	31.6	Magnetite remanence.	l	60.6	2.3	5	-1
This study	North Shore Volcanics	ns076d	ns076	ns076d1	ns076d1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	773	K		MAG	u	5.1	Magnetite remanence.	l	72.7	2.2	4	-1
This study	North Shore Volcanics	ns076e	ns076	ns076e1	ns076e1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	325.2	Magnetite remanence.	l	74.4	1.9	4	-1
This study	North Shore Volcanics	ns076f	ns076	ns076f1	ns076f1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	948	773	K		MAG	u	344.4	Magnetite remanence.	l	55.8	3.7	5	-1
This study	North Shore Volcanics	ns077b	ns077	ns077b1	ns077b1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	723	K		MAG	u	105.3	Magnetite remanence.	l	15.7	2	5	-1
This study	North Shore Volcanics	ns077c	ns077	ns077c1	ns077c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	105.3	Magnetite remanence.	l	-6.7	1.3	4	-1
This study	North Shore Volcanics	ns077f	ns077	ns077f1	ns077f1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	119.1	Magnetite remanence.	l	7.6	3.7	5	-1
This study	North Shore Volcanics	ns077g	ns077	ns077g1	ns077g1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	573	K		MAG	u	134.3	Magnetite remanence.	l	61.6	3	6	-1
This study	North Shore Volcanics	ns079c	ns079	ns079c1	ns079c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	330.8	Magnetite remanence.	l	56.6	3.7	4	-1
This study	North Shore Volcanics	ns079e	ns079	ns079e2	ns079e2 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	673	K		MAG	u	351.2	Magnetite remanence.	l	51.7	2.6	5	-1
This study	North Shore Volcanics	ns083e	ns083	ns083e1	ns083e1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	923	723	K		MAG	u	233.3	Magnetite remanence.	l	-29	1.1	5	-1
This study	North Shore Volcanics	ns002a	ns002	ns002a1	ns002a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.18	0.03	T		MAG	u	241.6	Magnetite remanence.	l	30.5	1.5	9	-1
This study	North Shore Volcanics	ns004a	ns004	ns004a1	ns004a1 : LT-NO	LP-DIR-AF : DE-BFL	pmagpy-2.03	0.06	0.015	T		MAG	u	253.5	Magnetite remanence.	l	39.7	1.6	6	-1
This study	North Shore Volcanics	ns004c	ns004	ns004c1	ns004c1 : LT-NO	LP-DIR-T : DE-BFL	pmagpy-2.03	873	573	K		MAG	u	256.3	Magnetite remanence.	l	45.8	4.9	4	-1
