tab 	er_images
er_citation_names	er_image_name	er_location_name	er_site_name	image_date	image_keywords	image_title	image_type
This study	IMG_1453.JPG	North Shore Volcanics	ns009	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01369.JPG	North Shore Volcanics	ns010	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01370.JPG	North Shore Volcanics	ns010	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1454.JPG	North Shore Volcanics	ns011	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1455.JPG	North Shore Volcanics	ns011	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1456.JPG	North Shore Volcanics	ns011	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01372.JPG	North Shore Volcanics	ns012	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01373.JPG	North Shore Volcanics	ns012	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1457.JPG	North Shore Volcanics	ns013	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1458.JPG	North Shore Volcanics	ns013	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1459.JPG	North Shore Volcanics	ns013	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01380.JPG	North Shore Volcanics	ns014	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01381.JPG	North Shore Volcanics	ns014	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01382.JPG	North Shore Volcanics	ns014	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01383.JPG	North Shore Volcanics	ns014	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1460.JPG	North Shore Volcanics	ns015	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01393.JPG	North Shore Volcanics	ns016	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01394.JPG	North Shore Volcanics	ns016	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01395.JPG	North Shore Volcanics	ns016	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1463.JPG	North Shore Volcanics	ns017	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_14564.JPG	North Shore Volcanics	ns017	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1465.JPG	North Shore Volcanics	ns017	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1466.JPG	North Shore Volcanics	ns017	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1467.JPG	North Shore Volcanics	ns017	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1468.JPG	North Shore Volcanics	ns017	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1469.JPG	North Shore Volcanics	ns017	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01397.JPG	North Shore Volcanics	ns018	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01398.JPG	North Shore Volcanics	ns018	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1475.JPG	North Shore Volcanics	ns019	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1476.JPG	North Shore Volcanics	ns019	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1477.JPG	North Shore Volcanics	ns019	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01400.JPG	North Shore Volcanics	ns020	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1478.JPG	North Shore Volcanics	ns021	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1479.JPG	North Shore Volcanics	ns021	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01405.JPG	North Shore Volcanics	ns022	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1480.JPG	North Shore Volcanics	ns023	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1481.JPG	North Shore Volcanics	ns023	2006:07:11:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01407.JPG	North Shore Volcanics	ns024	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1482.JPG	North Shore Volcanics	ns025	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1483.JPG	North Shore Volcanics	ns025	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1484.JPG	North Shore Volcanics	ns025	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01420.JPG	North Shore Volcanics	ns026	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01421.JPG	North Shore Volcanics	ns026	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01422.JPG	North Shore Volcanics	ns026	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01410.JPG	North Shore Volcanics	ns028	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01411.JPG	North Shore Volcanics	ns028	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01412.JPG	North Shore Volcanics	ns028	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01413.JPG	North Shore Volcanics	ns028	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1485.JPG	North Shore Volcanics	ns029	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1486.JPG	North Shore Volcanics	ns029	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01416.JPG	North Shore Volcanics	ns030	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01417.JPG	North Shore Volcanics	ns030	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01418.JPG	North Shore Volcanics	ns030	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1487.JPG	North Shore Volcanics	ns031	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1488.JPG	North Shore Volcanics	ns031	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01425.JPG	North Shore Volcanics	ns032	2006:07:13:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01426.JPG	North Shore Volcanics	ns032	2006:07:13:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1491.JPG	North Shore Volcanics	ns033	2006:07:12:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01459.JPG	North Shore Volcanics	ns034	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01460.JPG	North Shore Volcanics	ns034	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1502.JPG	North Shore Volcanics	ns035	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1503.JPG	North Shore Volcanics	ns035	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01461.JPG	North Shore Volcanics	ns036	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1505.JPG	North Shore Volcanics	ns037	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1506.JPG	North Shore Volcanics	ns037	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1507.JPG	North Shore Volcanics	ns037	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01463.JPG	North Shore Volcanics	ns038	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1508.JPG	North Shore Volcanics	ns039	2006:07:14:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01468.JPG	North Shore Volcanics	ns040	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1509.JPG	North Shore Volcanics	ns041	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01471.JPG	North Shore Volcanics	ns042	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01472.JPG	North Shore Volcanics	ns042	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1510.JPG	North Shore Volcanics	ns043	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1511.JPG	North Shore Volcanics	ns043	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01475.JPG	North Shore Volcanics	ns044	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01476.JPG	North Shore Volcanics	ns044	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01477.JPG	North Shore Volcanics	ns044	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01478.JPG	North Shore Volcanics	ns044	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1512.JPG	North Shore Volcanics	ns045	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1513.JPG	North Shore Volcanics	ns045	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1514.JPG	North Shore Volcanics	ns045	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01480.JPG	North Shore Volcanics	ns046	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1515.JPG	North Shore Volcanics	ns047	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1516.JPG	North Shore Volcanics	ns047	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01482.JPG	North Shore Volcanics	ns048	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1517.JPG	North Shore Volcanics	ns049	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1518.JPG	North Shore Volcanics	ns049	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01483.JPG	North Shore Volcanics	ns050	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1519.JPG	North Shore Volcanics	ns051	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1520.JPG	North Shore Volcanics	ns051	2006:07:15:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01486.JPG	North Shore Volcanics	ns052	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1521.JPG	North Shore Volcanics	ns053	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01488.JPG	North Shore Volcanics	ns054	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1522.JPG	North Shore Volcanics	ns055	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01489.JPG	North Shore Volcanics	ns056	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1524.JPG	North Shore Volcanics	ns057	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1525.JPG	North Shore Volcanics	ns057	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01491.JPG	North Shore Volcanics	ns058	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1527.JPG	North Shore Volcanics	ns059	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1528.JPG	North Shore Volcanics	ns059	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01493.JPG	North Shore Volcanics	ns060	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1529.JPG	North Shore Volcanics	ns061	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01495.JPG	North Shore Volcanics	ns062	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1530.JPG	North Shore Volcanics	ns063	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01496.JPG	North Shore Volcanics	ns064	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1531.JPG	North Shore Volcanics	ns065	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1532.JPG	North Shore Volcanics	ns065	2006:07:16:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01497.JPG	North Shore Volcanics	ns066	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1533.JPG	North Shore Volcanics	ns067	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1534.JPG	North Shore Volcanics	ns067	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1535.JPG	North Shore Volcanics	ns069	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1536.JPG	North Shore Volcanics	ns069	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01500.JPG	North Shore Volcanics	ns070	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1537.JPG	North Shore Volcanics	ns071	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1538.JPG	North Shore Volcanics	ns071	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1539.JPG	North Shore Volcanics	ns071	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01501.JPG	North Shore Volcanics	ns072	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1540.JPG	North Shore Volcanics	ns073	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01502.JPG	North Shore Volcanics	ns074	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1541.JPG	North Shore Volcanics	ns075	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1542.JPG	North Shore Volcanics	ns075	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01503.JPG	North Shore Volcanics	ns076	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01504.JPG	North Shore Volcanics	ns076	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1543.JPG	North Shore Volcanics	ns077	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1544.JPG	North Shore Volcanics	ns077	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01505.JPG	North Shore Volcanics	ns078	2006:07:18:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1545.JPG	North Shore Volcanics	ns079	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1546.JPG	North Shore Volcanics	ns079	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01506.JPG	North Shore Volcanics	ns080	2006:07:18:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1555.JPG	North Shore Volcanics	ns081	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1556.JPG	North Shore Volcanics	ns081	2006:07:17:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1559.JPG	North Shore Volcanics	ns083	2006:07:18:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1560.JPG	North Shore Volcanics	ns083	2006:07:18:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1563.JPG	North Shore Volcanics	ns085	2006:07:18:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1564.JPG	North Shore Volcanics	ns085	2006:07:18:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1565.JPG	North Shore Volcanics	ns087	2006:07:18:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
