tab 	er_images
er_citation_names	er_image_name	er_location_name	er_site_name	image_date	image_keywords	image_title	image_type
This study	DSC01352.JPG	North Shore Volcanics	ns002	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01353.JPG	North Shore Volcanics	ns002	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01354.JPG	North Shore Volcanics	ns002	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01355.JPG	North Shore Volcanics	ns002	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1416.JPG	North Shore Volcanics	ns003	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1417.JPG	North Shore Volcanics	ns003	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1418.JPG	North Shore Volcanics	ns003	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1419.JPG	North Shore Volcanics	ns003	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01356.JPG	North Shore Volcanics	ns004	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01357.JPG	North Shore Volcanics	ns004	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01358.JPG	North Shore Volcanics	ns004	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1421.JPG	North Shore Volcanics	ns005	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1422.JPG	North Shore Volcanics	ns005	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1423.JPG	North Shore Volcanics	ns005	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1424.JPG	North Shore Volcanics	ns005	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01359.JPG	North Shore Volcanics	ns006	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01360.JPG	North Shore Volcanics	ns006	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1440.JPG	North Shore Volcanics	ns007	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1444.JPG	North Shore Volcanics	ns007	2006:07:09:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01365.JPG	North Shore Volcanics	ns008	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01366.JPG	North Shore Volcanics	ns008	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01367.JPG	North Shore Volcanics	ns008	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	DSC01368.JPG	North Shore Volcanics	ns008	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1450.JPG	North Shore Volcanics	ns009	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1451.JPG	North Shore Volcanics	ns009	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
This study	IMG_1452.JPG	North Shore Volcanics	ns009	2006:07:10:00:00:00.00	paleomagnetic site	Outcrop photo	Outcrop
