tab 	pmag_results
average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_nn	average_r	data_type	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
6.6	283.5	38.7	192	47.7341	269.5708	4	4	3.9844	i	This study	North Shore Volcanics	ns002	ns002b1 : ns002c1 : ns002d1 : ns002f1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns002	100	5.7	8.7	24.9	185.2	4
3.8	286.9	47.9	412.9	47.7371	269.5886	5	5	4.9903	i	This study	North Shore Volcanics	ns003	ns003a1 : ns003b1 : ns003d2 : ns003e1 : ns003f1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns003	100	3.8	5	32	188.9	5
5.6	290	47.8	186.1	47.7328	269.5637	5	5	4.9785	i	This study	North Shore Volcanics	ns004	ns004a1 : ns004c1 : ns004e1 : ns004f1 : ns004g1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns004	100	5.6	7.4	34	186.7	5
5.3	299.8	37.6	298.6	47.7254	269.557	4	4	3.99	i	This study	North Shore Volcanics	ns005	ns005b1 : ns005c1 : ns005e1 : ns005g1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns005	100	4.5	7	35.3	172.4	4
3	294.9	38.4	653.4	47.7161	269.5096	5	5	4.9939	i	This study	North Shore Volcanics	ns006	ns006b1 : ns006c1 : ns006d2 : ns006e2 : ns006f1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns006	100	2.6	4	32.4	176.7	5
5.8	301.5	40.6	173.7	47.7012	269.4609	5	5	4.977	i	This study	North Shore Volcanics	ns007	ns007a1 : ns007c1 : ns007d1 : ns007f1 : ns007g1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns007	100	5.1	7.7	37.9	172.9	5
4.8	309.4	44.7	252.3	47.6011	269.2134	5	5	4.9841	i	This study	North Shore Volcanics	ns008	ns008a1 : ns008b1 : ns008c1 : ns008d1 : ns008h1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns008	100	4.6	6.3	45.3	169.3	5
4.6	281.9	49	407	47.5979	269.2085	4	4	3.9926	i	This study	North Shore Volcanics	ns009	ns009a1 : ns009c1 : ns009e1 : ns009f1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns009	100	4.7	6.1	29.3	192.7	4
4.5	285.7	39.5	284	47.5941	269.2027	5	5	4.9859	i	This study	North Shore Volcanics	ns010	ns010a1 : ns010b1 : ns010c1 : ns010d1 : ns010e1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns010	100	3.9	5.9	26.7	183.8	5
4.9	290.1	27.2	249.6	47.5853	269.1848	5	5	4.984	i	This study	North Shore Volcanics	ns011	ns011a1 : ns011b1 : ns011c1 : ns011d1 : ns011e1	DE-FM : DE-DI	pmagpy-2.03	DE-SITE	VGP: Site ns011	100	3.7	6.5	24.1	174.3	5
