tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_csd	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
This study	North Shore Volcanics	ns006e	ns006	ns006e1	ns006e1:LT-NO	LT-NO	0.3	2006:08:24:14:02:00.00	226.3	g	21.7	3.305e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns006e	ns006	ns006e2	ns006e2:LT-NO	LT-NO	0.4	2006:08:24:14:04:00.00	233.5	g	20.3	3.06e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns006f	ns006	ns006f1	ns006f1:LT-NO	LT-NO	0.5	2006:08:24:14:05:00.00	233.5	g	22.9	5.358e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007a	ns007	ns007a1	ns007a1:LT-NO	LT-NO	0.6	2006:10:06:08:15:00.00	300.4	g	40.1	1.27e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007a	ns007	ns007a2	ns007a2:LT-NO	LT-NO	0.5	2006:08:24:14:09:00.00	303.2	g	40.7	1.287e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007b	ns007	ns007b1	ns007b1:LT-NO	LT-NO	0.3	2006:08:24:14:11:00.00	156	g	25.5	7.321e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007c	ns007	ns007c1	ns007c1:LT-NO	LT-NO	0.4	2006:08:24:14:13:00.00	15.8	g	41.7	1.901e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007c	ns007	ns007c2	ns007c2:LT-NO	LT-NO	0.3	2006:08:24:14:16:00.00	15.9	g	41.7	2.153e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007d	ns007	ns007d1	ns007d1:LT-NO	LT-NO	0.5	2006:08:24:14:18:00.00	15.4	g	49	2.138e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007d	ns007	ns007d2	ns007d2:LT-NO	LT-NO	0.4	2006:08:24:14:20:00.00	18.6	g	49.7	1.478e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007e	ns007	ns007e1	ns007e1:LT-NO	LT-NO	0.4	2006:08:24:14:22:00.00	59.9	g	51.6	1.852e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007f	ns007	ns007f1	ns007f1:LT-NO	LT-NO	0.2	2006:08:24:14:25:00.00	115.8	g	44	1.468e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007f	ns007	ns007f2	ns007f2:LT-NO	LT-NO	0.3	2006:08:24:15:16:00.00	120.2	g	43.6	1.334e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns007g	ns007	ns007g1	ns007g1:LT-NO	LT-NO	0.4	2006:08:24:15:17:00.00	122.3	g	76.4	2.844e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008a	ns008	ns008a1	ns008a1:LT-NO	LT-NO	0.3	2006:08:24:15:19:00.00	132	g	21.8	2.745e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008b	ns008	ns008b1	ns008b1:LT-NO	LT-NO : DE-VM	0.3	2006:08:24:15:23:00.00	131.3	g	23	4.089e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008b	ns008	ns008b2	ns008b2:LT-NO	LT-NO	0.4	2006:08:24:15:25:00.00	131.4	g	22.1	3.992e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008c	ns008	ns008c1	ns008c1:LT-NO	LT-NO	0.3	2006:08:24:15:26:00.00	191.9	g	37.8	2.863e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008c	ns008	ns008c2	ns008c2:LT-NO	LT-NO	0.3	2006:08:24:15:28:00.00	193.7	g	36.3	2.993e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008d	ns008	ns008d1	ns008d1:LT-NO	LT-NO	0.6	2006:08:24:15:29:00.00	187.3	g	33.9	4.104e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008d	ns008	ns008d2	ns008d2:LT-NO	LT-NO	0.3	2006:08:24:15:31:00.00	185	g	32.5	3.919e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008e	ns008	ns008e1	ns008e1:LT-NO	LT-NO	0.5	2006:10:06:08:15:00.00	211.3	g	48.7	2.378e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008f	ns008	ns008f1	ns008f1:LT-NO	LT-NO	0.3	2006:08:24:15:34:00.00	144.4	g	34.2	2.257e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008g	ns008	ns008g1	ns008g1:LT-NO	LT-NO	0.4	2006:10:06:08:16:00.00	204.4	g	43	2.408e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008h	ns008	ns008h1	ns008h1:LT-NO	LT-NO	0.3	2006:08:24:15:38:00.00	210.4	g	45.7	2.793e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008h	ns008	ns008h2	ns008h2:LT-NO	LT-NO	0.3	2006:08:24:15:39:00.00	204.4	g	44.4	2.274e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008i	ns008	ns008i1	ns008i1:LT-NO	LT-NO	0.4	2006:08:24:15:41:00.00	155.1	g	56.7	4.703e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008j	ns008	ns008j1	ns008j1:LT-NO	LT-NO	0.6	2006:08:24:15:42:00.00	225.4	g	49.4	5.012e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns008k	ns008	ns008k1	ns008k1:LT-NO	LT-NO	0.5	2006:08:24:15:44:00.00	224.5	g	53.3	5.098e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009a	ns009	ns009a1	ns009a1:LT-NO	LT-NO	0.3	2006:08:24:15:45:00.00	201.8	g	50.4	3.398e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009a	ns009	ns009a2	ns009a2:LT-NO	LT-NO	0.3	2006:08:24:15:47:00.00	206.2	g	53.8	3.236e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009b	ns009	ns009b1	ns009b1:LT-NO	LT-NO	0.2	2006:08:25:09:25:00.00	154.5	g	42.5	2.139e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009b	ns009	ns009b2	ns009b2:LT-NO	LT-NO	0.3	2006:08:25:09:27:00.00	156.7	g	45.6	1.599e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009c	ns009	ns009c1	ns009c1:LT-NO	LT-NO	0.5	2006:08:25:09:29:00.00	192	g	54.1	2.635e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009c	ns009	ns009c2	ns009c2:LT-NO	LT-NO	0.5	2006:08:25:09:30:00.00	195.1	g	56.7	2.564e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009d	ns009	ns009d1	ns009d1:LT-NO	LT-NO	0.3	2006:08:25:09:31:00.00	129.2	g	73.2	2.31e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009d	ns009	ns009d2	ns009d2:LT-NO	LT-NO	0.3	2006:08:25:09:32:00.00	122.1	g	75	2.056e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009e	ns009	ns009e1	ns009e1:LT-NO	LT-NO	0.5	2006:08:25:09:34:00.00	218.8	g	72.8	1.941e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009e	ns009	ns009e2	ns009e2:LT-NO	LT-NO	0.5	2006:08:25:09:47:00.00	216.8	g	72.8	1.987e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009e	ns009	ns009e3	ns009e3:LT-NO	LT-NO	0.5	2006:08:25:09:48:00.00	218.6	g	72.8	1.58e-05	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009f	ns009	ns009f1	ns009f1:LT-NO	LT-NO	0.6	2006:08:25:09:50:00.00	228.6	g	22.6	1.868e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009f	ns009	ns009f2	ns009f2:LT-NO	LT-NO	0.5	2006:08:25:09:51:00.00	231.6	g	23.6	2.051e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns009f	ns009	ns009f3	ns009f3:LT-NO	LT-NO	0.5	2006:08:25:09:53:00.00	229.5	g	23.4	2.087e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns010a	ns010	ns010a1	ns010a1:LT-NO	LT-NO	0.5	2006:08:25:09:58:00.00	220.5	g	45.2	1.469e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns010b	ns010	ns010b1	ns010b1:LT-NO	LT-NO	0.7	2006:08:25:09:59:00.00	225.9	g	43.2	3.534e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns010b	ns010	ns010b2	ns010b2:LT-NO	LT-NO	0.4	2006:08:25:10:01:00.00	226.3	g	44.1	4.067e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns010c	ns010	ns010c1	ns010c1:LT-NO	LT-NO	0.5	2006:08:25:10:04:00.00	206.4	g	69.5	5.065e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns010c	ns010	ns010c2	ns010c2:LT-NO	LT-NO	0.4	2006:08:25:10:05:00.00	218	g	70.7	8.003e-06	1	4	u	273	SAN	0	0	0	0	273
This study	North Shore Volcanics	ns010d	ns010	ns010d1	ns010d1:LT-NO	LT-NO	0.3	2006:08:25:10:13:00.00	181.5	g	76	1.314e-05	1	4	u	273	SAN	0	0	0	0	273
