tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_date	sample_declination_correction	sample_description	sample_dip	sample_lat	sample_lithology	sample_lon	sample_orientation_flag	sample_time_zone	sample_type
This study	North Shore Volcanics	ns002a	ns002	FS-FD : SO-POM : SO-GT5 : SO-SUN	4.1	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-58.5	47.73415	Basalt	269.57081	g		Lava Flow
This study	North Shore Volcanics	ns002b	ns002	FS-FD : SO-POM : SO-SUN	346.2	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-24	47.73415	Basalt	269.57081	g		Lava Flow
This study	North Shore Volcanics	ns002c	ns002	FS-FD : SO-POM : SO-GT5 : SO-SUN	336.6	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-20	47.73415	Basalt	269.57081	g		Lava Flow
This study	North Shore Volcanics	ns002d	ns002	FS-FD : SO-POM : SO-GT5 : SO-CMD-NORTH	294	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358		-30	47.73415	Basalt	269.57081	g		Lava Flow
This study	North Shore Volcanics	ns002f	ns002	FS-FD : SO-POM : SO-CMD-NORTH	291	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358		-94.5	47.73415	Basalt	269.57081	g		Lava Flow
This study	North Shore Volcanics	ns003a	ns003	FS-FD : SO-POM : SO-SUN	340.2	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-41	47.7371	Andesite	269.58863	g		Lava Flow
This study	North Shore Volcanics	ns003b	ns003	FS-FD : SO-POM : SO-SUN	338.8	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-44	47.7371	Andesite	269.58863	g		Lava Flow
This study	North Shore Volcanics	ns003d	ns003	FS-FD : SO-POM : SO-SUN	312.8	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-55	47.7371	Andesite	269.58863	g		Lava Flow
This study	North Shore Volcanics	ns003e	ns003	FS-FD : SO-POM : SO-SUN	299.2	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-64	47.7371	Andesite	269.58863	g		Lava Flow
This study	North Shore Volcanics	ns003f	ns003	FS-FD : SO-POM : SO-SUN	278.4	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-79	47.7371	Andesite	269.58863	g		Lava Flow
This study	North Shore Volcanics	ns004a	ns004	FS-FD : SO-POM : SO-SUN	25	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-28	47.73275	Basalt	269.56367	g		Lava Flow
This study	North Shore Volcanics	ns004c	ns004	FS-FD : SO-POM : SO-SUN	29.6	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-19	47.73275	Basalt	269.56367	g		Lava Flow
This study	North Shore Volcanics	ns004e	ns004	FS-FD : SO-POM : SO-SUN	315.8	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-59	47.73275	Basalt	269.56367	g		Lava Flow
This study	North Shore Volcanics	ns004f	ns004	FS-FD : SO-POM : SO-SUN	29.4	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-83	47.73275	Basalt	269.56367	g		Lava Flow
This study	North Shore Volcanics	ns004g	ns004	FS-FD : SO-POM : SO-CMD-NORTH	29.1	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.1		-21	47.73275	Basalt	269.56367	g		Lava Flow
This study	North Shore Volcanics	ns005a	ns005	FS-FD : SO-POM : SO-SUN	94	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-77	47.72542	Andesite	269.55701	g		Lava Flow
This study	North Shore Volcanics	ns005b	ns005	FS-FD : SO-POM : SO-SUN	114.7	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	0		-82	47.72542	Andesite	269.55701	g		Lava Flow
This study	North Shore Volcanics	ns005c	ns005	FS-FD : SO-POM : SO-CMD-NORTH	112.1	12	167	Igneous : Extrusive	2006:07:09:00:00:00.00	358.1		-82	47.72542	Andesite	269.55701	g		Lava Flow
