tab 	pmag_sites
er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
This study	North Shore Volcanics	ns022	ns022a1 : ns022b1 : ns022c1 : ns022e1 : ns022f1	DE-FM-LP : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	5	MAG	307.1	Magnetite remanence.	32.5	254.3	5	4	1	n	4.9862	0
This study	North Shore Volcanics	ns022	ns022a1 : ns022b1 : ns022c1 : ns022e1 : ns022f1	DE-FM-LP : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	4.9	MAG	301.3	Magnetite remanence.	38.1	255.9	5	4	1	n	4.9863	100
This study	North Shore Volcanics	ns025	ns025a1 : ns025b1 : ns025d1 : ns025e1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	14.2	MAG	131.6	Magnetite remanence.	-64.8	42.6	4	4	0	n	3.9296	0
This study	North Shore Volcanics	ns025	ns025a1 : ns025b1 : ns025d1 : ns025e1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	14.2	MAG	110.8	Magnetite remanence.	-70.1	42.6	4	4	0	r	3.9295	100
This study	North Shore Volcanics	ns026	ns026a1 : ns026b2 : ns026c2 : ns026d1 : ns026e2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	3.4	MAG	140.3	Magnetite remanence.	-56.6	521.9	5	5	0	r	4.9923	0
This study	North Shore Volcanics	ns026	ns026a1 : ns026b2 : ns026c2 : ns026d1 : ns026e2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	3.4	MAG	126.2	Magnetite remanence.	-62.1	518.8	5	5	0	r	4.9923	100
This study	North Shore Volcanics	ns027	ns027a1 : ns027b1 : ns027c1 : ns027d2 : ns027e2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	3.5	MAG	303.5	Magnetite remanence.	43.6	466.1	5	5	0	r	4.9914	0
This study	North Shore Volcanics	ns027	ns027a1 : ns027b1 : ns027c1 : ns027d2 : ns027e2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	3.6	MAG	293.9	Magnetite remanence.	46.8	455.8	5	5	0	n	4.9912	100
This study	North Shore Volcanics	ns028	ns028a1 : ns028b1 : ns028c1 : ns028e2 : ns028f2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	3.4	MAG	295.9	Magnetite remanence.	26.7	505.9	5	5	0	n	4.9921	0
This study	North Shore Volcanics	ns028	ns028a1 : ns028b1 : ns028c1 : ns028e2 : ns028f2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	3.4	MAG	288.6	Magnetite remanence.	32.7	501.3	5	5	0	n	4.992	100
This study	North Shore Volcanics	ns030	ns030b1 : ns030c1 : ns030d2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	6	MAG	295.3	Magnetite remanence.	29.6	422	3	3	0	n	2.9953	0
This study	North Shore Volcanics	ns030	ns030b1 : ns030c1 : ns030d2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	6	MAG	289.6	Magnetite remanence.	33.4	424.5	3	3	0	n	2.9953	100
This study	North Shore Volcanics	ns031	ns031a1 : ns031b1 : ns031c1 : ns031d2 : ns031f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	2.1	MAG	295.4	Magnetite remanence.	27	1314.5	5	5	0	n	4.997	0
This study	North Shore Volcanics	ns031	ns031a1 : ns031b1 : ns031c1 : ns031d2 : ns031f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	2.1	MAG	288	Magnetite remanence.	32.9	1287.4	5	5	0	n	4.9969	100
This study	North Shore Volcanics	ns032	ns032a1 : ns032b1 : ns032c1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	6	MAG	290.3	Magnetite remanence.	32	424.6	3	3	0	n	2.9953	0
This study	North Shore Volcanics	ns032	ns032a1 : ns032b1 : ns032c1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	5.9	MAG	283	Magnetite remanence.	38.2	431.4	3	3	0	n	2.9954	100
This study	North Shore Volcanics	ns035	ns035a1 : ns035b1 : ns035c2 : ns035d2 : ns035e2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	1.6	MAG	295	Magnetite remanence.	44	2377	5	5	0	n	4.9983	0
This study	North Shore Volcanics	ns035	ns035a1 : ns035b1 : ns035c2 : ns035d2 : ns035e2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	1.6	MAG	293.8	Magnetite remanence.	55.9	2377.3	5	5	0	n	4.9983	100
This study	North Shore Volcanics	ns037	ns037a1 : ns037b1 : ns037c2 : ns037f2 : ns037g1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	3.2	MAG	294.5	Magnetite remanence.	41.3	590.3	5	5	0	n	4.9932	0
This study	North Shore Volcanics	ns037	ns037a1 : ns037b1 : ns037c2 : ns037f2 : ns037g1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	3.2	MAG	293.4	Magnetite remanence.	53.3	577.7	5	5	0	n	4.9931	100
This study	North Shore Volcanics	ns038	ns038a1 : ns038d1 : ns038f1	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	13.9	MAG	286.9	Magnetite remanence.	17.8	79.8	3	3	0	n	2.9749	0
This study	North Shore Volcanics	ns038	ns038a1 : ns038d1 : ns038f1	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	13.9	MAG	285.8	Magnetite remanence.	29.5	79.8	3	3	0	n	2.9749	100
This study	North Shore Volcanics	ns040	ns040a1 : ns040b1 : ns040c1 : ns040e2 : ns040f2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	3.1	MAG	290.2	Magnetite remanence.	39.6	598.1	5	5	0	n	4.9933	0
This study	North Shore Volcanics	ns040	ns040a1 : ns040b1 : ns040c1 : ns040e2 : ns040f2	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	3.2	MAG	289.5	Magnetite remanence.	55.6	587.6	5	5	0	n	4.9932	100
This study	North Shore Volcanics	ns041	ns041a1 : ns041c1 : ns041d1 : ns041e1 : ns041f3	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	2.1	MAG	286.2	Magnetite remanence.	34.1	1321.2	5	5	0	n	4.997	0
This study	North Shore Volcanics	ns041	ns041a1 : ns041c1 : ns041d1 : ns041e1 : ns041f3	DE-FM : DA-DIR-TILT	pmagpy-2.03	DE-SPEC	2.1	MAG	284.5	Magnetite remanence.	50	1292.4	5	5	0	n	4.9969	100
This study	North Shore Volcanics	ns042	ns042c1 : ns042d1 : ns042e2	DE-FM : DA-DIR-GEO	pmagpy-2.03	DE-SPEC	7	MAG	289.2	Magnetite remanence.	24.5	308.7	3	3	0	n	2.9935	0
