Y,X,site
46.55,-87.37,R1
46.60,-87.66,R10
46.45,-87.96,R11
46.61,-87.56,R12
46.63,-87.46,R13
46.48,-87.61,R15
46.53,-87.48,R16
46.52,-88.02,R17
46.68,-88.44,R18
46.64,-88.48,R19
46.56,-87.37,R2
46.57,-88.52,R20
46.67,-88.46,R21
46.56,-87.37,R3
46.60,-87.43,R4
46.60,-87.41,R5
46.63,-87.52,R6
46.64,-87.49,R7
46.56,-87.50,R8
46.51,-87.42,R9
