tab	sites																																			
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
CF1	Copper Falls State Park	CF1.1:CF1.2:CF1.6	CF1.1b:CF1.2b:CF1.6b	1100	1105	1098		Ma	15.3	HC	218.1	67.8	66	3	3	0	t	2.9698	0	0	46.37523	269.36308	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	25.6	21.4	12.6	245.8	3
CF1	Copper Falls State Park	CF1.1:CF1.2:CF1.6	CF1.1b:CF1.2b:CF1.6b	1100	1105	1098		Ma	15.2	HC	306.3	36.4	66	3	3	0	n	2.9699	100	0	46.37523	269.36308	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	17.7	10.3	39.3	167.2	3
CF10	Copper Falls State Park	CF10.1:CF10.4	CF10.1b:CF10.4b	1100	1105	1098		Ma	18.5	HC	222.7	56.5	184	2	2	0	t	1.9946	0	1.5	46.37393	269.3643	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4	g	i	26.7	19.3	1.8	236.6	2
CF10	Copper Falls State Park	CF10.1:CF10.4	CF10.1b:CF10.4b	1100	1105	1098		Ma	18.5	HC	292.2	34.9	185	2	2	0	t	1.9946	100	1.5	46.37393	269.3643	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	i	21.3	12.3	29	177.3	2
CF11	Copper Falls State Park	CF11.3:CF11.4:CF11.5	CF11.3b:CF11.4b:CF11.5b	1100	1105	1098		Ma	5	HC	225.8	63.2	611	3	3	0	t	2.9967	0	0	46.37386	269.36437	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	7.9	6.2	9.6	238.2	3
CF11	Copper Falls State Park	CF11.3:CF11.4:CF11.5	CF11.3b:CF11.4b:CF11.5b	1100	1105	1098		Ma	5	HC	300.4	33.5	603	3	3	0	t	2.9967	100	0	46.37386	269.36437	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	5.7	3.2	34	170.3	3
CF12	Copper Falls State Park	CF12.1:CF12.2:CF12.3:CF12.4:CF12.5:CF12.6:CF12.7:CF12.8	CF12.1b:CF12.2b:CF12.3b:CF12.4b:CF12.5b:CF12.6b:CF12.7b:CF12.8b	1100	1105	1098		Ma	2.5	HC	290.8	35.8	476	8	8	0	t	7.9853	100	0	46.3736	269.36477	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.9	1.7	28.4	178.9	8
CF12	Copper Falls State Park	CF12.1:CF12.2:CF12.3:CF12.4:CF12.5:CF12.6:CF12.7:CF12.8	CF12.1b:CF12.2b:CF12.3b:CF12.4b:CF12.5b:CF12.6b:CF12.7b:CF12.8b	1100	1105	1098		Ma	2.5	HC	221	55.3	478	8	8	0	t	7.9853	0	0	46.3736	269.36477	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.6	2.5	0.1	237.2	8
CF13	Copper Falls State Park	CF13.1:CF13.2:CF13.4:CF13.5:CF13.6:CF13.8:CF13.9	CF13.1b:CF13.2b:CF13.4b:CF13.5b:CF13.6b:CF13.8b:CF13.9b	1100	1105	1098		Ma	6.6	HC	299.1	29.9	86	7	7	0	t	6.9299	100	0	46.37361	269.36456	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	7.3	4.1	31.5	169.4	7
CF13	Copper Falls State Park	CF13.1:CF13.2:CF13.4:CF13.5:CF13.6:CF13.8:CF13.9	CF13.1b:CF13.2b:CF13.4b:CF13.5b:CF13.6b:CF13.8b:CF13.9b	1100	1105	1098		Ma	6.5	HC	233.4	61.8	86	7	7	0	t	6.9302	0	0	46.37361	269.36456	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	10.1	7.8	11.1	232.6	7
CF14	Copper Falls State Park	CF14.1:CF14.2:CF14.3:CF14.5:CF14.6:CF14.7:CF14.8	CF14.1b:CF14.2b:CF14.3b:CF14.5b:CF14.6b:CF14.7b:CF14.8b	1100	1105	1098		Ma	5.1	HC	312.2	72.9	139	7	7	0	n	6.9569	0	0	46.3737	269.36464	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	9.1	8.1	59.2	220	7
CF14	Copper Falls State Park	CF14.1:CF14.2:CF14.3:CF14.5:CF14.6:CF14.7:CF14.8	CF14.1b:CF14.2b:CF14.3b:CF14.5b:CF14.6b:CF14.7b:CF14.8b	1100	1105	1098		Ma	5.1	HC	326	13.6	139	7	7	0	n	6.9569	100	0	46.3737	269.36464	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	5.2	2.7	40.9	136.6	7
CF15	Copper Falls State Park	CF15.1:CF15.2:CF15.5:CF15.6:CF15.7:CF15.8	CF15.1b:CF15.2b:CF15.5b:CF15.6b:CF15.7b:CF15.8b	1100	1105	1098		Ma	8.9	HC	238.7	78.7	58	6	6	0	t	5.9137	0	0	46.3736	269.36478	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	16.9	16	32.6	247.2	6
CF15	Copper Falls State Park	CF15.1:CF15.2:CF15.5:CF15.6:CF15.7:CF15.8	CF15.1b:CF15.2b:CF15.5b:CF15.6b:CF15.7b:CF15.8b	1100	1105	1098		Ma	8.9	HC	318.8	29.9	58	6	6	0	n	5.9135	100	0	46.3736	269.36478	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	9.9	5.5	44.3	151.6	6
CF16	Copper Falls State Park	CF16.1:CF16.2:CF16.3:CF16.4:CF16.6:CF16.7	CF16.1b:CF16.2b:CF16.3b:CF16.4b:CF16.6b:CF16.7b	1100	1105	1098		Ma	3.2	HC	9.8	-59.9	429	6	6	0	t	5.9883	0	0	46.37345	269.365	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	4.8	3.6	2.4	82	6
CF16	Copper Falls State Park	CF16.1:CF16.2:CF16.3:CF16.4:CF16.6:CF16.7	CF16.1b:CF16.2b:CF16.3b:CF16.4b:CF16.6b:CF16.7b	1100	1105	1098		Ma	3.2	HC	122.7	-50.7	432	6	6	0	r	5.9884	100	0	46.37345	269.365	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	4.3	2.9	-44.1	1.4	6
CF17	Copper Falls State Park	CF17.1:CF17.2:CF17.6:CF17.8	CF17.1b:CF17.2b:CF17.6b:CF17.8b	1100	1105	1098		Ma	6.3	LC	1.8	74.1	210	4	4	0	n	3.9857	0	0	46.37349	269.36513	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	11.4	10.3	76	273.1	4
CF17	Copper Falls State Park	CF17.1:CF17.2:CF17.6:CF17.8	CF17.1b:CF17.2b:CF17.6b:CF17.8b	1100	1105	1098		Ma	6.3	LC	340	15.9	211	4	4	0	n	3.9858	100	0	46.37349	269.36513	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	6.5	3.3	48.1	119.8	4
CF18	Copper Falls State Park	CF18.10:CF18.1:CF18.8:CF18.9	CF18.10b:CF18.1b:CF18.8b:CF18.9b	1100	1105	1098		Ma	5	HC	304	43.9	334	4	4	0	n	3.991	100	3.7625	46.3732	269.36523	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	6.3	3.9	41.4	174.3	4
CF18	Copper Falls State Park	CF18.10:CF18.1:CF18.8:CF18.9	CF18.10b:CF18.1b:CF18.8b:CF18.9b	1100	1105	1098		Ma	5.1	HC	201.5	63.9	328	4	4	0	t	3.9909	0	3.7625	46.3732	269.36523	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	8.1	6.5	3.9	254.5	4
CF19	Copper Falls State Park	CF19.1:CF19.2:CF19.3:CF19.4:CF19.5:CF19.6:CF19.7:CF19.8	CF19.1b:CF19.2b:CF19.3b:CF19.4b:CF19.5b:CF19.6b:CF19.7b:CF19.8b	1100	1105	1098		Ma	2.2	HC	213.2	64.2	660	8	8	0	t	7.9894	0	0	46.37311	269.36531	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.5	2.8	6.8	246.8	8
CF19	Copper Falls State Park	CF19.1:CF19.2:CF19.3:CF19.4:CF19.5:CF19.6:CF19.7:CF19.8	CF19.1b:CF19.2b:CF19.3b:CF19.4b:CF19.5b:CF19.6b:CF19.7b:CF19.8b	1100	1105	1098		Ma	2.2	HC	302.4	39	662	8	8	0	n	7.9894	100	0	46.37311	269.36531	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.6	1.6	37.9	172	8
CF2	Copper Falls State Park	CF2.2:CF2.3:CF2.5:CF2.6:CF2.7	CF2.2b:CF2.3b:CF2.5b:CF2.6b:CF2.7b	1100	1105	1098		Ma	8	HC	229.4	49.2	92	5	5	0	t	4.9565	0	2.32	46.37514	269.36315	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	10.6	7	-1.5	228.3	5
CF2	Copper Falls State Park	CF2.2:CF2.3:CF2.5:CF2.6:CF2.7	CF2.2b:CF2.3b:CF2.5b:CF2.6b:CF2.7b	1100	1105	1098		Ma	8	HC	284.3	29.9	92	5	5	0	t	4.9568	100	2.32	46.37514	269.36315	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	8.9	4.9	21.3	180.5	5
CF20	Copper Falls State Park	CF20.1:CF20.2:CF20.3:CF20.4:CF20.5:CF20.6:CF20.7:CF20.8	CF20.1b:CF20.2b:CF20.3b:CF20.4b:CF20.5b:CF20.6b:CF20.7b:CF20.8b	1100	1105	1098		Ma	2.6	HC	245.3	63	463	8	8	0	t	7.9849	0	0	46.37294	269.36536	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	4.1	3.2	17.5	226.5	8
CF20	Copper Falls State Park	CF20.1:CF20.2:CF20.3:CF20.4:CF20.5:CF20.6:CF20.7:CF20.8	CF20.1b:CF20.2b:CF20.3b:CF20.4b:CF20.5b:CF20.6b:CF20.7b:CF20.8b	1100	1105	1098		Ma	2.6	HC	301.8	24.8	466	8	8	0	t	7.985	100	0	46.37294	269.36536	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	2.8	1.5	31.1	164.7	8
CF21	Copper Falls State Park	CF21.1:CF21.2:CF21.3:CF21.4:CF21.5:CF21.8:CF21.9	CF21.1b:CF21.2b:CF21.3b:CF21.4b:CF21.5b:CF21.8b:CF21.9b	1100	1105	1098		Ma	11.4	HC	309	34.2	29	7	7	0	n	6.7922	100	0	46.37285	269.36544	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	13.1	7.5	40.1	163.5	7
CF21	Copper Falls State Park	CF21.1:CF21.2:CF21.3:CF21.4:CF21.5:CF21.8:CF21.9	CF21.1b:CF21.2b:CF21.3b:CF21.4b:CF21.5b:CF21.8b:CF21.9b	1100	1105	1098		Ma	11.4	HC	223.2	70.3	29	7	7	0	t	6.792	0	0	46.37285	269.36544	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	19.7	17	17.2	244.7	7
CF22	Copper Falls State Park			1100	1105	1098		Ma												0	46.37272	269.36568	Extrusive	Lava Flow	Basaltic Lava			This study		g	i					
CF23	Copper Falls State Park	CF23.2:CF23.3:CF23.4:CF23.5:CF23.6:CF23.7:CF23.8	CF23.2b:CF23.3b:CF23.4b:CF23.5b:CF23.6b:CF23.7b:CF23.8b	1100	1105	1098		Ma	3.4	HC	222.8	66.9	307	7	7	0	t	6.9805	0	0	46.37265	269.3657	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	5.6	4.7	12.8	242.5	7
CF23	Copper Falls State Park	CF23.2:CF23.3:CF23.4:CF23.5:CF23.6:CF23.7:CF23.8	CF23.2b:CF23.3b:CF23.4b:CF23.5b:CF23.6b:CF23.7b:CF23.8b	1100	1105	1098		Ma	3.5	HC	305	34.7	307	7	7	0	n	6.9804	100	0	46.37265	269.3657	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	4	2.3	37.6	167.2	7
CF24	Copper Falls State Park	CF24.2:CF24.3:CF24.4:CF24.5:CF24.6	CF24.2b:CF24.3b:CF24.4b:CF24.5b:CF24.6b	1100	1105	1098		Ma	2.8	HC	207.8	65.8	722	5	5	0	t	4.9945	0	0	46.37247	269.36587	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	4.6	3.7	7.5	251	5
CF24	Copper Falls State Park	CF24.2:CF24.3:CF24.4:CF24.5:CF24.6	CF24.2b:CF24.3b:CF24.4b:CF24.5b:CF24.6b	1100	1105	1098		Ma	2.8	HC	305.2	40.8	732	5	5	0	n	4.9945	100	0	46.37247	269.36587	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3.4	2.1	40.7	171	5
CF25	Copper Falls State Park	CF25.6:CF25.7:CF25.8	CF25.6b:CF25.7b:CF25.8b	1100	1105	1098		Ma	1.6	HC	206.8	70.9	6192	3	3	0	t	2.9997	0	0	46.37233	269.36599	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	2.8	2.4	14.1	254	3
CF25	Copper Falls State Park	CF25.6:CF25.7:CF25.8	CF25.6b:CF25.7b:CF25.8b	1100	1105	1098		Ma	1.6	HC	311.6	39.3	6050	3	3	0	n	2.9997	100	0	46.37233	269.36599	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	1.9	1.1	44.3	164.5	3
CF26	Copper Falls State Park	CF26.1:CF26.2:CF26.4:CF26.5:CF26.6:CF26.7:CF26.8	CF26.1b:CF26.2b:CF26.4b:CF26.5b:CF26.6b:CF26.7b:CF26.8b	1100	1105	1098		Ma	5.8	HC	247.7	66.9	110	7	7	0	t	6.9455	0	0	46.37219	269.36627	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	9.6	7.9	22.4	228.9	7
CF26	Copper Falls State Park	CF26.1:CF26.2:CF26.4:CF26.5:CF26.6:CF26.7:CF26.8	CF26.1b:CF26.2b:CF26.4b:CF26.5b:CF26.6b:CF26.7b:CF26.8b	1100	1105	1098		Ma	5.8	HC	306.3	25.1	110	7	7	0	t	6.9455	100	0	46.37219	269.36627	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	6.2	3.4	34.2	161	7
CF27	Copper Falls State Park	CF27.1:CF27.2:CF27.4:CF27.5:CF27.6:CF27.7:CF27.8	CF27.1b:CF27.2b:CF27.4b:CF27.5b:CF27.6b:CF27.7b:CF27.8b	1100	1105	1098		Ma	2.4	HC	206.7	46.1	634	7	7	0	t	6.9905	0	0	46.37188	269.36783	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.1	2	-12.3	245.3	7
CF27	Copper Falls State Park	CF27.1:CF27.2:CF27.4:CF27.5:CF27.6:CF27.7:CF27.8	CF27.1b:CF27.2b:CF27.4b:CF27.5b:CF27.6b:CF27.7b:CF27.8b	1100	1105	1098		Ma	2.4	HC	278.7	44.8	635	7	7	0	t	6.9905	100	0	46.37188	269.36783	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3	1.9	24.5	192.6	7
CF28	Copper Falls State Park			1100	1105	1098		Ma												0	46.3717	269.36801	Extrusive	Lava Flow	Basaltic Lava			This study		g	i					
CF29	Copper Falls State Park	CF29.1:CF29.2:CF29.3:CF29.4:CF29.5:CF29.6:CF29.7:CF29.8	CF29.1b:CF29.2b:CF29.3b:CF29.4b:CF29.5b:CF29.6b:CF29.7b:CF29.8b	1100	1105	1098		Ma	4.3	HC	236.2	70.1	168	8	8	0	t	7.9584	0	0	46.37156	269.36803	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	7.4	6.4	21.2	237.9	8
CF29	Copper Falls State Park	CF29.1:CF29.2:CF29.3:CF29.4:CF29.5:CF29.6:CF29.7:CF29.8	CF29.1b:CF29.2b:CF29.3b:CF29.4b:CF29.5b:CF29.6b:CF29.7b:CF29.8b	1100	1105	1098		Ma	4.3	HC	308.8	29.8	167	8	8	0	n	7.9581	100	0	46.37156	269.36803	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	4.8	2.6	37.9	161.2	8
