tab	sites																																			
site	location	samples	specimens	age	age_high	age_low	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon	dir_n_specimens
AP1	Agate Point	AP1-1:AP1-2:AP1-3:AP1-4:AP1-5:AP1-6:AP1-7:AP1-8	AP1-1a:AP1-2a:AP1-3a:AP1-4a:AP1-5a:AP1-6a:AP1-7a:AP1-8a	1105.15			1.3	Ma	2.4	mag	126.8	-64	535	8	8	0	r	7.9869	0	2.30625	48.61012	271.80139	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.8	3	-54.4	17.7	8
AP1	Agate Point	AP1-1:AP1-2:AP1-3:AP1-4:AP1-5:AP1-6:AP1-7:AP1-8	AP1-1a:AP1-2a:AP1-3a:AP1-4a:AP1-5a:AP1-6a:AP1-7a:AP1-8a	1105.15			1.3	Ma	2.4	mag	102.9	-73.3	535	8	8	0	r	7.9869	100	2.30625	48.61012	271.80139	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	4.3	3.8	-46	45.6	8
AP2	Agate Point	AP2-1:AP2-2:AP2-3:AP2-4:AP2-5:AP2-6:AP2-7:AP2-8	AP2-1a:AP2-2a:AP2-3a:AP2-4a:AP2-5a:AP2-6a:AP2-7a:AP2-8a	1105.15			1.3	Ma	2.3	mag	114	-57.3	567	8	8	0	r	7.9876	0	12.425	48.60986	271.80161	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.4	2.5	-42.3	14.7	8
AP2	Agate Point	AP2-1:AP2-2:AP2-3:AP2-4:AP2-5:AP2-6:AP2-7:AP2-8	AP2-1a:AP2-2a:AP2-3a:AP2-4a:AP2-5a:AP2-6a:AP2-7a:AP2-8a	1105.15			1.3	Ma	2.3	mag	94.4	-64.7	562	8	8	0	r	7.9875	100	12.425	48.60986	271.80161	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3.7	3	-35.5	34.6	8
AP3	Agate Point	AP3-1:AP3-2:AP3-3:AP3-4:AP3-5:AP3-6:AP3-7:AP3-8	AP3-1a:AP3-2a:AP3-3a:AP3-4a:AP3-5a:AP3-6a:AP3-7a:AP3-8a	1105.15			1.3	Ma	2.9	mag	119.1	-50.2	356	8	8	0	r	7.9803	0	38.3	48.60952	271.802	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.9	2.6	-41.4	3.9	8
AP3	Agate Point	AP3-1:AP3-2:AP3-3:AP3-4:AP3-5:AP3-6:AP3-7:AP3-8	AP3-1a:AP3-2a:AP3-3a:AP3-4a:AP3-5a:AP3-6a:AP3-7a:AP3-8a	1105.15			1.3	Ma	2.9	mag	105.4	-59	358	8	8	0	r	7.9804	100	38.3	48.60952	271.802	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	4.3	3.2	-37.9	21.8	8
AP4	Agate Point	AP4-1:AP4-2:AP4-3:AP4-4:AP4-5:AP4-6:AP4-7:AP4-8	AP4-1a:AP4-2a:AP4-3a:AP4-4a:AP4-5a:AP4-6a:AP4-7a:AP4-8a	1105.15			1.3	Ma	4.2	mag	114.2	-62.1	177	8	8	0	r	7.9604	0	47.85625	48.60881	271.80184	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	6.5	5.1	-45.4	21	8
AP4	Agate Point	AP4-1:AP4-2:AP4-3:AP4-4:AP4-5:AP4-6:AP4-7:AP4-8	AP4-1a:AP4-2a:AP4-3a:AP4-4a:AP4-5a:AP4-6a:AP4-7a:AP4-8a	1105.15			1.3	Ma	4.2	mag	89.5	-69.1	177	8	8	0	r	7.9603	100	47.85625	48.60881	271.80184	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	7.1	6.1	-36.4	42.9	8
AP5	Agate Point	AP5-1:AP5-2:AP5-3:AP5-4:AP5-5:AP5-6:AP5-7:AP5-8	AP5-1a:AP5-2a:AP5-3a:AP5-4a:AP5-5a:AP5-6a:AP5-7a:AP5-8a	1105.15			1.3	Ma	6.5	mag	53.9	-75.4	75	8	8	0	t	7.9062	100	61.3125	48.60831	271.80218	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	11.9	10.9	-29	66.5	8
AP5	Agate Point	AP5-1:AP5-2:AP5-3:AP5-4:AP5-5:AP5-6:AP5-7:AP5-8	AP5-1a:AP5-2a:AP5-3a:AP5-4a:AP5-5a:AP5-6a:AP5-7a:AP5-8a	1105.15			1.3	Ma	6.5	mag	102	-73.6	75	8	8	0	r	7.9061	0	61.3125	48.60831	271.80218	Extrusive	Lava Flow	Basaltic Lava		pmagpy-4.0.0: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	11.7	10.5	-45.7	46.5	8
