tab	samples																
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	result_quality	result_type	sample	site
	133.5		9.5	110.7	This study	-13	Extrusive	Lava Flow	230.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-9	GB10
	152.4		9.5	110.7	This study	-25	Extrusive	Lava Flow	231.7		Basaltic Lava		SO-CMD-NORTH	g	i	GB11-1	GB11
	241.3		9.5	110.7	This study	-9	Extrusive	Lava Flow	232.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB11-2	GB11
	251.6		9.5	110.7	This study	-5	Extrusive	Lava Flow	232.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB11-3	GB11
	87.5		9.5	110.7	This study	-15	Extrusive	Lava Flow	232.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB11-4	GB11
	350.7		9.5	110.7	This study	-11	Extrusive	Lava Flow	233.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB11-5	GB11
	78.8		9.5	110.7	This study	-89	Extrusive	Lava Flow	232.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB11-7	GB11
	117.6		9.5	110.7	This study	-58	Extrusive	Lava Flow	232.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB11-8	GB11
	308.6		9.5	110.7	This study	-13	Extrusive	Lava Flow	232.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB11-9	GB11
	292.2		9.5	110.7	This study	-7	Extrusive	Lava Flow	233.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB12-1	GB12
	3.1		9.5	110.7	This study	-4	Extrusive	Lava Flow	233.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB12-2	GB12
	343.2		9.5	110.7	This study	-9	Extrusive	Lava Flow	233.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB12-3	GB12
	342.9		9.5	110.7	This study	-10	Extrusive	Lava Flow	233.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB12-4	GB12
	45.7		9.5	110.7	This study	-12	Extrusive	Lava Flow	233.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB12-5	GB12
	34.6		9.5	110.7	This study	-17	Extrusive	Lava Flow	233.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB12-6	GB12
	34.9		9.5	110.7	This study	-13	Extrusive	Lava Flow	233.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB12-7	GB12
	272		9.5	110.7	This study	-16	Extrusive	Lava Flow	233.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB12-8	GB12
	62.5		9.5	110.7	This study	-64	Extrusive	Lava Flow	235.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB13-1	GB13
	53.5		9.5	110.7	This study	-76	Extrusive	Lava Flow	235.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB13-2	GB13
	58.5		9.5	110.7	This study	-81	Extrusive	Lava Flow	235.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB13-3	GB13
	94.5		9.5	110.7	This study	-78	Extrusive	Lava Flow	235.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB13-4	GB13
	26.5		9.5	110.7	This study	-67	Extrusive	Lava Flow	235.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB13-5	GB13
	31.5		9.5	110.7	This study	-48	Extrusive	Lava Flow	235.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB13-6	GB13
	338.5		9.5	110.7	This study	-21	Extrusive	Lava Flow	235.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB13-7	GB13
	5.5		9.5	110.7	This study	-53	Extrusive	Lava Flow	235.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB13-8	GB13
	49		9.5	110.7	This study	-49	Extrusive	Lava Flow	236.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB14-1	GB14
	324.8		9.5	110.7	This study	-29	Extrusive	Lava Flow	237.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB14-2	GB14
	24.2		9.5	110.7	This study	-68	Extrusive	Lava Flow	237.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB14-3	GB14
	75.6		9.5	110.7	This study	-12	Extrusive	Lava Flow	237.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB14-4	GB14
	262.2		9.5	110.7	This study	-9	Extrusive	Lava Flow	237.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB14-5	GB14
	274.6		9.5	110.7	This study	-9	Extrusive	Lava Flow	237.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB14-6	GB14
	269.5		9.5	110.7	This study	-9	Extrusive	Lava Flow	237.7		Basaltic Lava		SO-CMD-NORTH	g	i	GB14-7	GB14
	139.5		9.5	110.7	This study	-11	Extrusive	Lava Flow	243.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB15-1	GB15
	71.3		9.5	110.7	This study	-11	Extrusive	Lava Flow	243.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB15-2	GB15
	20.5		9.5	110.7	This study	-13	Extrusive	Lava Flow	244		Basaltic Lava		SO-CMD-NORTH	g	i	GB15-3	GB15
	35		9.5	110.7	This study	-24	Extrusive	Lava Flow	243.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB15-4	GB15
	48		9.5	110.7	This study	-26	Extrusive	Lava Flow	243.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB15-5	GB15
	24.5		9.5	110.7	This study	-28	Extrusive	Lava Flow	243.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB15-6	GB15
	277.7		9.5	110.7	This study	-18	Extrusive	Lava Flow	243.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB15-7	GB15
	178.3		9.5	110.7	This study	-8	Extrusive	Lava Flow	243.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB15-8	GB15
	135.5		9.5	110.7	This study	-13	Extrusive	Lava Flow	244.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB16-1	GB16
	72.7		9.5	110.7	This study	-13	Extrusive	Lava Flow	244.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB16-2	GB16
	72.5		9.5	110.7	This study	-29	Extrusive	Lava Flow	245.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB16-3	GB16
	162.3		9.5	110.7	This study	-8	Extrusive	Lava Flow	244.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB16-4	GB16
	11.3		9.5	110.7	This study	-19	Extrusive	Lava Flow	244.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB16-5	GB16
	66.5		9.5	110.7	This study	-27	Extrusive	Lava Flow	244.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB16-6	GB16
	116.5		9.5	110.7	This study	-28	Extrusive	Lava Flow	244.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB16-7	GB16
	73.1		9.5	110.7	This study	-72	Extrusive	Lava Flow	244.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB16-8	GB16
	256.9		9.5	110.7	This study	-23	Extrusive	Lava Flow	245		Basaltic Lava		SO-CMD-NORTH	g	i	GB17-1	GB17
	237.7		9.5	110.7	This study	-21	Extrusive	Lava Flow	245		Basaltic Lava		SO-CMD-NORTH	g	i	GB17-2	GB17
	236.5		9.5	110.7	This study	-7	Extrusive	Lava Flow	245.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB17-4	GB17
	115.5		9.5	110.7	This study	-68	Extrusive	Lava Flow	244.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB17-5	GB17
	96.5		9.5	110.7	This study	-98	Extrusive	Lava Flow	244.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB17-6	GB17
	128.5		9.5	110.7	This study	-65	Extrusive	Lava Flow	244.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB17-7	GB17
	109.5		9.5	110.7	This study	-61	Extrusive	Lava Flow	244.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB17-8	GB17
	128.8		9.5	110.7	This study	-61	Extrusive	Lava Flow	247.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB18-2	GB18
	61.6		9.5	110.7	This study	-64	Extrusive	Lava Flow	247.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB18-3	GB18
	82.3		9.5	110.7	This study	-65	Extrusive	Lava Flow	247.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB18-4	GB18
	105.5		9.5	110.7	This study	-80	Extrusive	Lava Flow	247.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB18-5	GB18
	111.2		9.5	110.7	This study	-18	Extrusive	Lava Flow	248.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB18-6	GB18
	99.2		9.5	110.7	This study	-15	Extrusive	Lava Flow	248.7		Basaltic Lava		SO-CMD-NORTH	g	i	GB18-7	GB18
	68.8		9.5	110.7	This study	-51	Extrusive	Lava Flow	248.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB18-8	GB18
	136.4		9.5	110.7	This study	-8	Extrusive	Lava Flow	253.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB19-1	GB19
	125.9		9.5	110.7	This study	-18	Extrusive	Lava Flow	253.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB19-2	GB19
	202.5		9.5	110.7	This study	-19	Extrusive	Lava Flow	254.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB19-3	GB19
	248.1		9.5	110.7	This study	-41	Extrusive	Lava Flow	254.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB19-4	GB19
	170.8		9.5	110.7	This study	-10	Extrusive	Lava Flow	254.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB19-5	GB19
	188.5		9.5	110.7	This study	-13	Extrusive	Lava Flow	254.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB19-6	GB19
	357.5		9.5	110.7	This study	-16	Extrusive	Lava Flow	255.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB19-7	GB19
	342.7		9.5	110.7	This study	-19	Extrusive	Lava Flow	255.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB19-8	GB19
	52.5		9.5	110.7	This study	-45	Extrusive	Lava Flow	14.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB2-1	GB2
	55.5		9.5	110.7	This study	-44	Extrusive	Lava Flow	14.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB2-2	GB2
	120.5		9.5	110.7	This study	-50	Extrusive	Lava Flow	15.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB2-3	GB2
	108.5		9.5	110.7	This study	-59	Extrusive	Lava Flow	15.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB2-4	GB2
	100.5		9.5	110.7	This study	-61	Extrusive	Lava Flow	15.7		Basaltic Lava		SO-CMD-NORTH	g	i	GB2-5	GB2
	91.5		9.5	110.7	This study	-66	Extrusive	Lava Flow	15.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB2-6	GB2
	72.5		9.5	110.7	This study	-71	Extrusive	Lava Flow	15.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB2-7	GB2
	75.5		9.5	110.7	This study	-67	Extrusive	Lava Flow	15.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB2-8	GB2
	237.4		9.5	110.7	This study	-12	Extrusive	Lava Flow	264.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB20-1	GB20
	302.5		9.5	110.7	This study	-15	Extrusive	Lava Flow	264.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB20-2	GB20
	133.5		9.5	110.7	This study	-16	Extrusive	Lava Flow	264.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB20-3	GB20
	168.5		9.5	110.7	This study	-8	Extrusive	Lava Flow	264.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB20-4	GB20
	229.5		9.5	110.7	This study	-18	Extrusive	Lava Flow	264.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB20-5	GB20
	304.5		9.5	110.7	This study	-14	Extrusive	Lava Flow	265		Basaltic Lava		SO-CMD-NORTH	g	i	GB20-6	GB20
	324.5		9.5	110.7	This study	-7	Extrusive	Lava Flow	264.7		Basaltic Lava		SO-CMD-NORTH	g	i	GB20-7	GB20
	280.5		9.5	110.7	This study	-18	Extrusive	Lava Flow	265		Basaltic Lava		SO-CMD-NORTH	g	i	GB20-8	GB20
	229.5		9.5	110.7	This study	-39	Extrusive	Lava Flow	278.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB21-1	GB21
	304.5		9.5	110.7	This study	-4	Extrusive	Lava Flow	278.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB21-2	GB21
	297.5		9.5	110.7	This study	-12	Extrusive	Lava Flow	279		Basaltic Lava		SO-CMD-NORTH	g	i	GB21-3	GB21
	168.5		9.5	110.7	This study	-28	Extrusive	Lava Flow	279.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB21-4	GB21
	327.5		9.5	110.7	This study	-16	Extrusive	Lava Flow	279.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB21-5	GB21
	147.5		9.5	110.7	This study	-25	Extrusive	Lava Flow	280.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB21-6	GB21
	350.5		9.5	110.7	This study	-7	Extrusive	Lava Flow	280.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB21-7	GB21
	77.5		9.5	110.7	This study	-16	Extrusive	Lava Flow	280.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB21-8	GB21
	147.5		9.5	110.7	This study	-7	Extrusive	Lava Flow	280.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB22-1	GB22
	67.5		9.5	110.7	This study	-16	Extrusive	Lava Flow	280.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB22-2	GB22
	337.5		9.5	110.7	This study	-6	Extrusive	Lava Flow	281.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB22-3	GB22
	210.5		9.5	110.7	This study	-14	Extrusive	Lava Flow	281.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB22-4	GB22
	71.5		9.5	110.7	This study	-70	Extrusive	Lava Flow	280.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB22-5	GB22
	64.5		9.5	110.7	This study	-69	Extrusive	Lava Flow	281.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB22-6	GB22
	46.5		9.5	110.7	This study	-78	Extrusive	Lava Flow	280.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB22-7	GB22
	311.5		9.5	110.7	This study	-9	Extrusive	Lava Flow	281.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB22-8	GB22
	181.5		9.5	110.7	This study	-68	Extrusive	Lava Flow	286.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB23-1	GB23
	149.6		9.5	110.7	This study	-21	Extrusive	Lava Flow	285.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB23-10	GB23
	203.3		9.5	110.7	This study	-50	Extrusive	Lava Flow	286.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB23-11	GB23
	105.1		9.5	110.7	This study	-40	Extrusive	Lava Flow	285.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB23-13	GB23
	192.5		9.5	110.7	This study	-38	Extrusive	Lava Flow	286.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB23-3	GB23
	177.5		9.5	110.7	This study	-81	Extrusive	Lava Flow	286.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB23-4	GB23
	175.5		9.5	110.7	This study	-54	Extrusive	Lava Flow	286.7		Basaltic Lava		SO-CMD-NORTH	g	i	GB23-5	GB23
	89.5		9.5	110.7	This study	-4	Extrusive	Lava Flow	286.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB23-7	GB23
	91.5		9.5	110.7	This study	-6	Extrusive	Lava Flow	286.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB23-8	GB23
	196.5		9.5	110.7	This study	-62	Extrusive	Lava Flow	287.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-1	GB24
	183.5		9.5	110.7	This study	-21	Extrusive	Lava Flow	287.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-10	GB24
	255.5		9.5	110.7	This study	-62	Extrusive	Lava Flow	287.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-2	GB24
	129.5		9.5	110.7	This study	-75	Extrusive	Lava Flow	287.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-3	GB24
	157.5		9.5	110.7	This study	-77	Extrusive	Lava Flow	288.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-4	GB24
	178.5		9.5	110.7	This study	-81	Extrusive	Lava Flow	287.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-5	GB24
	160.5		9.5	110.7	This study	-43	Extrusive	Lava Flow	287.85		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-6	GB24
	177.5		9.5	110.7	This study	-32	Extrusive	Lava Flow	287.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-7	GB24
	178.5		9.5	110.7	This study	-45	Extrusive	Lava Flow	287.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-8	GB24
	107.5		9.5	110.7	This study	-13	Extrusive	Lava Flow	287.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB24-9	GB24
	195.5		9.5	110.7	This study	-95	Extrusive	Lava Flow	291.55		Basaltic Lava		SO-CMD-NORTH	g	i	GB25-1	GB25
	189.5		9.5	110.7	This study	-87	Extrusive	Lava Flow	292.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB25-2	GB25
	140.5		9.5	110.7	This study	-69	Extrusive	Lava Flow	292.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB25-3	GB25
	113.3		9.5	110.7	This study	-89	Extrusive	Lava Flow	292.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB25-4	GB25
	101.5		9.5	110.7	This study	-76	Extrusive	Lava Flow	290.45		Basaltic Lava		SO-CMD-NORTH	g	i	GB25-5	GB25
	67.9		9.5	110.7	This study	-82	Extrusive	Lava Flow	290		Basaltic Lava		SO-CMD-NORTH	g	i	GB25-6	GB25
	72.7		9.5	110.7	This study	-58	Extrusive	Lava Flow	290.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB25-7	GB25
	78.2		9.5	110.7	This study	-69	Extrusive	Lava Flow	290.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB25-8	GB25
	146.4		9.5	110.7	This study	-6	Extrusive	Lava Flow	299.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB26-1	GB26
	317.9		9.5	110.7	This study	-15	Extrusive	Lava Flow	299.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB26-2	GB26
	356.3		9.5	110.7	This study	-42	Extrusive	Lava Flow	300.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB26-3	GB26
	354.8		9.5	110.7	This study	-40	Extrusive	Lava Flow	300.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB26-4	GB26
	13.3		9.5	110.7	This study	-2	Extrusive	Lava Flow	301.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB26-6	GB26
	189.7		9.5	110.7	This study	-7	Extrusive	Lava Flow	301.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB26-7	GB26
	113.6		9.5	110.7	This study	-5	Extrusive	Lava Flow	302.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB26-8	GB26
	97.1		9.5	110.7	This study	-31	Extrusive	Lava Flow	302.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB26-9	GB26
	118.8		9.5	110.7	This study	-15	Extrusive	Lava Flow	304.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB27-1	GB27
	275.7		9.5	110.7	This study	-17	Extrusive	Lava Flow	304.7		Basaltic Lava		SO-CMD-NORTH	g	i	GB27-2	GB27
	311.9		9.5	110.7	This study	-20	Extrusive	Lava Flow	304.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB27-3	GB27
	308.5		9.5	110.7	This study	-23	Extrusive	Lava Flow	305		Basaltic Lava		SO-CMD-NORTH	g	i	GB27-4	GB27
	78.1		9.5	110.7	This study	-1	Extrusive	Lava Flow	304.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB27-5	GB27
	41.8		9.5	110.7	This study	-29	Extrusive	Lava Flow	304.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB27-6	GB27
	158.2		9.5	110.7	This study	-30	Extrusive	Lava Flow	305.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB27-7	GB27
	182.6		9.5	110.7	This study	-23	Extrusive	Lava Flow	305.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB27-8	GB27
	358.6		9.5	110.7	This study	-13	Extrusive	Lava Flow	306.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB28-1	GB28
	86		9.5	110.7	This study	-74	Extrusive	Lava Flow	306.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB28-2	GB28
	80.6		9.5	110.7	This study	-74	Extrusive	Lava Flow	306.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB28-3	GB28
	100.4		9.5	110.7	This study	-83	Extrusive	Lava Flow	306.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB28-4	GB28
	5.2		9.5	110.7	This study	-12	Extrusive	Lava Flow	306.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB28-5	GB28
	327.1		9.5	110.7	This study	-17	Extrusive	Lava Flow	306.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB28-6	GB28
	125.2		9.5	110.7	This study	-16	Extrusive	Lava Flow	314		Basaltic Lava		SO-CMD-NORTH	g	i	GB29-1	GB29
	299.9		9.5	110.7	This study	-14	Extrusive	Lava Flow	314		Basaltic Lava		SO-CMD-NORTH	g	i	GB29-2	GB29
	336.7		9.5	110.7	This study	-28	Extrusive	Lava Flow	313.8		Basaltic Lava		SO-CMD-NORTH	g	i	GB29-3	GB29
	136.5		9.5	110.7	This study	-22	Extrusive	Lava Flow	313.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB29-4	GB29
	109.8		9.5	110.7	This study	-19	Extrusive	Lava Flow	314.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB29-5	GB29
	205.3		9.5	110.7	This study	-41	Extrusive	Lava Flow	315.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB29-6	GB29
	286		9.5	110.7	This study	-23	Extrusive	Lava Flow	315.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB29-7	GB29
	23.5		9.5	110.7	This study	-32	Extrusive	Lava Flow	21.6		Basaltic Lava		SO-CMD-NORTH	g	i	GB3-1	GB3
	199.5		9.5	110.7	This study	-22	Extrusive	Lava Flow	21.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB3-2	GB3
	205.5		9.5	110.7	This study	-15	Extrusive	Lava Flow	21.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB3-3	GB3
	8.5		9.5	110.7	This study	-26	Extrusive	Lava Flow	22.05		Basaltic Lava		SO-CMD-NORTH	g	i	GB3-4	GB3
	23.5		9.5	110.7	This study	-28	Extrusive	Lava Flow	22.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB3-5	GB3
	160.5		9.5	110.7	This study	-20	Extrusive	Lava Flow	22.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB3-6	GB3
	45.5		9.5	110.7	This study	-24	Extrusive	Lava Flow	22.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB3-7	GB3
	344.5		9.5	110.7	This study	-46	Extrusive	Lava Flow	22.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB3-8	GB3
	334.5		9.5	110.7	This study	-42	Extrusive	Lava Flow	315.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB30-1	GB30
	340.5		9.5	110.7	This study	-39	Extrusive	Lava Flow	315.9		Basaltic Lava		SO-CMD-NORTH	g	i	GB30-2	GB30
	7.5		9.5	110.7	This study	-54	Extrusive	Lava Flow	316		Basaltic Lava		SO-CMD-NORTH	g	i	GB30-3	GB30
	1.5		9.5	110.7	This study	-57	Extrusive	Lava Flow	315.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB30-4	GB30
	11.5		9.5	110.7	This study	-72	Extrusive	Lava Flow	316.1		Basaltic Lava		SO-CMD-NORTH	g	i	GB30-5	GB30
	354.5		9.5	110.7	This study	-72	Extrusive	Lava Flow	316.2		Basaltic Lava		SO-CMD-NORTH	g	i	GB30-6	GB30
	352.5		9.5	110.7	This study	-83	Extrusive	Lava Flow	316.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB30-7	GB30
	263.5		9.5	110.7	This study	-29	Extrusive	Lava Flow	424.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB31-1	GB31
	268.5		9.5	110.7	This study	-20	Extrusive	Lava Flow	424.15		Basaltic Lava		SO-CMD-NORTH	g	i	GB31-2	GB31
	245.5		9.5	110.7	This study	-24	Extrusive	Lava Flow	424		Basaltic Lava		SO-CMD-NORTH	g	i	GB31-3	GB31
	192.5		9.5	110.7	This study	-82	Extrusive	Lava Flow	423.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB31-5	GB31
	265.5		9.5	110.7	This study	-25	Extrusive	Lava Flow	423.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB31-6	GB31
