tab	samples																
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	result_quality	result_type	sample	site
	282.5		9.5	112.2	This study	-19	Extrusive	Lava Flow	0.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB1-1	GB1
	298.5		9.5	112.2	This study	-32	Extrusive	Lava Flow	0.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB1-2	GB1
	308.5		9.5	112.2	This study	-30	Extrusive	Lava Flow	0.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB1-3	GB1
	256.5		9.5	112.2	This study	-22	Extrusive	Lava Flow	1.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB1-4	GB1
	204.5		9.5	112.2	This study	-39	Extrusive	Lava Flow	1.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB1-5	GB1
	343.5		9.5	112.2	This study	-10	Extrusive	Lava Flow	1.65		Basaltic Lava		SO-CMD-NORTH	g	i	GB1-6	GB1
	95.5		9.5	112.2	This study	-63	Extrusive	Lava Flow	2.4		Basaltic Lava		SO-CMD-NORTH	g	i	GB1-7	GB1
	110.5		9.5	112.2	This study	-80	Extrusive	Lava Flow	2.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB1-8	GB1
	80.9		9.5	110.7	This study	-24	Extrusive	Lava Flow	229.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-1	GB10
	237.5		9.5	110.7	This study	-9	Extrusive	Lava Flow	230.35		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-10	GB10
	55.6		9.5	110.7	This study	-28	Extrusive	Lava Flow	229.75		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-2	GB10
	151.9		9.5	110.7	This study	-35	Extrusive	Lava Flow	229.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-3	GB10
	218.1		9.5	110.7	This study	-11	Extrusive	Lava Flow	229.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-4	GB10
	114.7		9.5	110.7	This study	-13	Extrusive	Lava Flow	230.25		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-5	GB10
	98.5		9.5	110.7	This study	-4	Extrusive	Lava Flow	230.3		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-6	GB10
	166.7		9.5	110.7	This study	-44	Extrusive	Lava Flow	230.95		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-7	GB10
	83.5		9.5	110.7	This study	-26	Extrusive	Lava Flow	230.5		Basaltic Lava		SO-CMD-NORTH	g	i	GB10-8	GB10
