tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_moment	meas_pos_z	method_codes	number	quality	specimen	standard	timestamp	treat_ac_field	treat_temp
This study	356.81006384	-35.8892481	SI1-12.5-D:NRM_demag(T,Hac)0	3.08E-06	0.067	LP-DIR-AF:LT-AF-Z	756556	g	SI1-12.5-D	u	2011-08-06T18:18:24Z	0.015	300
This study	345.84348153	-32.31664897	SI1-12.55-D:NRM_demag(T,Hac)0	1.41E-05	0.267	LP-DIR-AF:LT-AF-Z	756557	g	SI1-12.55-D	u	2011-08-06T18:18:39Z	0.015	300
This study	16.80525653	-67.21240941	SI1-13.0-D:NRM_demag(T,Hac)0	2.39E-06	0.467	LP-DIR-AF:LT-AF-Z	756558	g	SI1-13.0-D	u	2011-08-06T18:18:54Z	0.015	300
This study	343.69724067	-44.47273603	SI1-13.4-D:NRM_demag(T,Hac)0	4.85E-06	0.667	LP-DIR-AF:LT-AF-Z	756559	g	SI1-13.4-D	u	2011-08-06T18:19:09Z	0.015	300
This study	355.346647018	-70.37276898	SI1-14.2-D:NRM_demag(T,Hac)0	3.12E-06	0.867	LP-DIR-AF:LT-AF-Z	756560	g	SI1-14.2-D	u	2011-08-06T18:19:24Z	0.015	300
This study	354.685488822	-64.93942401	SI1-14.4-D:NRM_demag(T,Hac)0	1.87E-05	1.067	LP-DIR-AF:LT-AF-Z	756561	g	SI1-14.4-D	u	2011-08-06T18:19:39Z	0.015	300
This study	355.439648445	-37.17237048	SI1-14.9-D:NRM_demag(T,Hac)0	1.84E-05	1.267	LP-DIR-AF:LT-AF-Z	756562	g	SI1-14.9-D	u	2011-08-06T18:19:54Z	0.015	300
This study	353.633658979	-36.62757907	SI1-12.5-D:NRM_demag(T,Hac)0	2.39E-06	0.067	LP-DIR-AF:LT-AF-Z	756563	g	SI1-12.5-D	u	2011-08-06T18:23:52Z	0.02	300
This study	345.05624715	-32.19702019	SI1-12.55-D:NRM_demag(T,Hac)0	1.15E-05	0.267	LP-DIR-AF:LT-AF-Z	756564	g	SI1-12.55-D	u	2011-08-06T18:24:07Z	0.02	300
This study	17.8125289	-69.82423873	SI1-13.0-D:NRM_demag(T,Hac)0	1.80E-06	0.467	LP-DIR-AF:LT-AF-Z	756565	g	SI1-13.0-D	u	2011-08-06T18:24:22Z	0.02	300
This study	341.60901198	-44.34214671	SI1-13.4-D:NRM_demag(T,Hac)0	3.72E-06	0.667	LP-DIR-AF:LT-AF-Z	756566	g	SI1-13.4-D	u	2011-08-06T18:24:37Z	0.02	300
This study	352.649139991	-72.4881989	SI1-14.2-D:NRM_demag(T,Hac)0	2.30E-06	0.867	LP-DIR-AF:LT-AF-Z	756567	g	SI1-14.2-D	u	2011-08-06T18:24:52Z	0.02	300
This study	354.519050722	-65.3676543	SI1-14.4-D:NRM_demag(T,Hac)0	1.53E-05	1.067	LP-DIR-AF:LT-AF-Z	756568	g	SI1-14.4-D	u	2011-08-06T18:25:07Z	0.02	300
This study	355.299962772	-37.22947163	SI1-14.9-D:NRM_demag(T,Hac)0	1.51E-05	1.267	LP-DIR-AF:LT-AF-Z	756569	g	SI1-14.9-D	u	2011-08-06T18:25:22Z	0.02	300
This study	353.421300184	-36.16330586	SI1-12.5-D:NRM_demag(T,Hac)0	1.82E-06	0.067	LP-DIR-AF:LT-AF-Z	756570	g	SI1-12.5-D	u	2011-08-06T18:29:24Z	0.025	300
