tab 	pmag_sites
er_citation_names	er_location_name	er_site_name	magic_method_codes
This study	Simpson Island	SI5b(3.2 to 30.7)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI5b(57.2 to 63.3)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI5b(64.6 to 70.4)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI5b(72.6 to 79.0)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI5b(115.0 to 120.2)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI5b(132.4 to 171.9)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI5b(183.4 to 188.7)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI5b(197.5 to 216.7)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI5a(0.0 to 9.0)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI1(69.7 to 87.6)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI3(D1 to D10)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI8(D1-D9)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(D1-D9)	LP-DC4:LP-DIR-AF
This study	Simpson Island	SI9(D10 to D18)	LP-DC4:LP-DIR-AF
