tab 	pmag_samples
er_location_name	er_sample_name	er_site_name	er_specimen_names	sample_dec	sample_inc	sample_n	sample_n_lines	sample_tilt_correction
Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	112.5	-80.4	1	1	0
Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	69.2	-71.9	1	1	100
Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	132.1	-74.8	1	1	0
Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	90.9	-70.7	1	1	100
Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	122.1	-75.7	1	1	0
Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	83.4	-69.7	1	1	100
Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	121.6	-74.8	1	1	0
Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	84.8	-69	1	1	100
Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	130.4	-82.3	1	1	0
Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	69.7	-75.2	1	1	100
Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	117.1	-74.9	1	1	0
Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	82	-68.3	1	1	100
Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	107.5	-76.1	1	1	0
Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	74.9	-68	1	1	100
Simpson Island	SI1-28.68	SI1(28.3 to 29.2)	SI1-28.68-D	141.3	-64.1	1	1	0
Simpson Island	SI1-28.68	SI1(28.3 to 29.2)	SI1-28.68-D	114.2	-64	1	1	100
Simpson Island	SI1-28.7	SI1(28.3 to 29.2)	SI1-28.7-D	136.9	-65.8	1	1	0
Simpson Island	SI1-28.7	SI1(28.3 to 29.2)	SI1-28.7-D	108.6	-64.6	1	1	100
Simpson Island	SI1-28.8	SI1(28.3 to 29.2)	SI1-28.8-D	158.4	-65.9	1	1	0
Simpson Island	SI1-28.8	SI1(28.3 to 29.2)	SI1-28.8-D	127.5	-69.3	1	1	100
Simpson Island	SI1-28.9	SI1(28.3 to 29.2)	SI1-28.9-D	145.4	-71	1	1	0
Simpson Island	SI1-28.9	SI1(28.3 to 29.2)	SI1-28.9-D	107	-70.6	1	1	100
Simpson Island	SI1-29.0	SI1(28.3 to 29.2)	SI1-29.0-D	144	-63.3	1	1	0
Simpson Island	SI1-29.0	SI1(28.3 to 29.2)	SI1-29.0-D	117.5	-64	1	1	100
Simpson Island	SI1-29.1	SI1(28.3 to 29.2)	SI1-29.1-D	123.3	-71.2	1	1	0
Simpson Island	SI1-29.1	SI1(28.3 to 29.2)	SI1-29.1-D	91.3	-66.5	1	1	100
Simpson Island	SI1-29.2	SI1(28.3 to 29.2)	SI1-29.2-D	133.9	-68.3	1	1	0
Simpson Island	SI1-29.2	SI1(28.3 to 29.2)	SI1-29.2-D	102.9	-66.1	1	1	100
Simpson Island	SI1-29.15	SI1(29.2 to 29.7)	SI1-29.15-D	77.8	-71	1	1	0
Simpson Island	SI1-29.15	SI1(29.2 to 29.7)	SI1-29.15-D	62.5	-59.9	1	1	100
Simpson Island	SI1-29.24	SI1(29.2 to 29.7)	SI1-29.24-D	137.2	-71.7	1	1	0
Simpson Island	SI1-29.24	SI1(29.2 to 29.7)	SI1-29.24-D	100	-69.4	1	1	100
Simpson Island	SI1-29.25	SI1(29.2 to 29.7)	SI1-29.25-D	125.4	-69.9	1	1	0
Simpson Island	SI1-29.25	SI1(29.2 to 29.7)	SI1-29.25-D	94.5	-65.7	1	1	100
Simpson Island	SI1-29.4	SI1(29.2 to 29.7)	SI1-29.4-D	131.5	-65.6	1	1	0
Simpson Island	SI1-29.4	SI1(29.2 to 29.7)	SI1-29.4-D	104.3	-63.3	1	1	100
Simpson Island	SI1-33.4	SI1(33.3 to 37.1)	SI1-33.4a	99.7	-71.6	1	1	0
Simpson Island	SI1-33.4	SI1(33.3 to 37.1)	SI1-33.4a	75.6	-63	1	1	100
Simpson Island	SI1-34.2	SI1(33.3 to 37.1)	SI1-34.2a	169.7	-77	1	1	0
Simpson Island	SI1-34.2	SI1(33.3 to 37.1)	SI1-34.2a	104.4	-79.4	1	1	100
Simpson Island	SI1-34.7	SI1(33.3 to 37.1)	SI1-34.7a	124.1	-72.5	1	1	0
Simpson Island	SI1-34.7	SI1(33.3 to 37.1)	SI1-34.7a	89.8	-67.7	1	1	100
Simpson Island	SI1-34.75	SI1(33.3 to 37.1)	SI1-34.75a	130	-68.9	1	1	0
Simpson Island	SI1-34.75	SI1(33.3 to 37.1)	SI1-34.75a	99.4	-65.7	1	1	100
Simpson Island	SI1-34.8	SI1(33.3 to 37.1)	SI1-34.8a	128.1	-66.2	1	1	0
Simpson Island	SI1-34.8	SI1(33.3 to 37.1)	SI1-34.8a	101	-63.2	1	1	100
Simpson Island	SI1-40.9	SI1(40.6 to 42.5)	SI1-40.9a	149.3	-80.6	1	1	0
Simpson Island	SI1-40.9	SI1(40.6 to 42.5)	SI1-40.9a	80.5	-77.2	1	1	100
Simpson Island	SI1-40.95	SI1(40.6 to 42.5)	SI1-40.95a	148.5	-78.2	1	1	0
Simpson Island	SI1-40.95	SI1(40.6 to 42.5)	SI1-40.95a	89.9	-75.9	1	1	100
Simpson Island	SI1-40.96	SI1(40.6 to 42.5)	SI1-40.96a	141.1	-79.4	1	1	0
Simpson Island	SI1-40.96	SI1(40.6 to 42.5)	SI1-40.96a	82.7	-75.2	1	1	100
Simpson Island	SI1-41	SI1(40.6 to 42.5)	SI1-41a	124.1	-78.3	1	1	0
Simpson Island	SI1-41	SI1(40.6 to 42.5)	SI1-41a	79.1	-72	1	1	100
Simpson Island	SI1-41.1	SI1(40.6 to 42.5)	SI1-41.1a	137.4	-76.4	1	1	0
Simpson Island	SI1-41.1	SI1(40.6 to 42.5)	SI1-41.1a	90	-72.9	1	1	100
Simpson Island	SI1-41.15	SI1(40.6 to 42.5)	SI1-41.15a	120	-71.7	1	1	0
Simpson Island	SI1-41.15	SI1(40.6 to 42.5)	SI1-41.15a	88.5	-66.2	1	1	100
Simpson Island	SI1-43.19	SI1(40.6 to 42.5)	SI1-43.19-D	129.8	-74.6	1	1	0
Simpson Island	SI1-43.19	SI1(40.6 to 42.5)	SI1-43.19-D	89.8	-70.3	1	1	100
Simpson Island	SI1-43.2	SI1(40.6 to 42.5)	SI1-43.2-D	109.8	-75.1	1	1	0
Simpson Island	SI1-43.2	SI1(40.6 to 42.5)	SI1-43.2-D	77.4	-67.6	1	1	100
Simpson Island	SI1-43.4	SI1(40.6 to 42.5)	SI1-43.4-D	96.4	-69.1	1	1	0
Simpson Island	SI1-43.4	SI1(40.6 to 42.5)	SI1-43.4-D	75.8	-60.2	1	1	100
Simpson Island	SI1-43.51	SI1(40.6 to 42.5)	SI1-43.51-D	93.6	-69.4	1	1	0
Simpson Island	SI1-43.51	SI1(40.6 to 42.5)	SI1-43.51-D	73.8	-60.2	1	1	100
Simpson Island	SI1-43.6	SI1(40.6 to 42.5)	SI1-43.6-D	108.1	-71.2	1	1	0
Simpson Island	SI1-43.6	SI1(40.6 to 42.5)	SI1-43.6-D	81.5	-63.7	1	1	100
Simpson Island	SI1-43.61	SI1(40.6 to 42.5)	SI1-43.61-D	90.8	-67.8	1	1	0
Simpson Island	SI1-43.61	SI1(40.6 to 42.5)	SI1-43.61-D	72.8	-58.4	1	1	100
Simpson Island	SI1-61.1	SI1(58.1 to 64.1)	SI1-61.1-D	101.9	-61.1	1	1	0
Simpson Island	SI1-61.1	SI1(58.1 to 64.1)	SI1-61.1-D	85	-53.5	1	1	100
Simpson Island	SI1-61.15	SI1(58.1 to 64.1)	SI1-61.15-D	105.3	-67	1	1	0
Simpson Island	SI1-61.15	SI1(58.1 to 64.1)	SI1-61.15-D	83.6	-59.6	1	1	100
Simpson Island	SI1-61.2	SI1(58.1 to 64.1)	SI1-61.2-D	100.9	-79.7	1	1	0
Simpson Island	SI1-61.2	SI1(58.1 to 64.1)	SI1-61.2-D	66.1	-70.1	1	1	100
Simpson Island	SI1-61.73	SI1(58.1 to 64.1)	SI1-61.73-D	143.7	-70.8	1	1	0
Simpson Island	SI1-61.73	SI1(58.1 to 64.1)	SI1-61.73-D	106.4	-70	1	1	100
Simpson Island	SI1-61.78	SI1(58.1 to 64.1)	SI1-61.78-D	123	-71.6	1	1	0
Simpson Island	SI1-61.78	SI1(58.1 to 64.1)	SI1-61.78-D	90.6	-66.7	1	1	100
Simpson Island	SI1-80.3	SI1(69.7 to 87.6)	SI1-80.3-D	330.1	48.7	1	1	0
Simpson Island	SI1-80.3	SI1(69.7 to 87.6)	SI1-80.3-D	314.8	52	1	1	100
Simpson Island	SI1-80.7	SI1(69.7 to 87.6)	SI1-80.7-D	325.8	48.4	1	1	0
Simpson Island	SI1-80.7	SI1(69.7 to 87.6)	SI1-80.7-D	310.7	50.8	1	1	100
Simpson Island	SI1-81.8	SI1(69.7 to 87.6)	SI1-81.8-D	318.1	42.5	1	1	0
Simpson Island	SI1-81.8	SI1(69.7 to 87.6)	SI1-81.8-D	306	43.4	1	1	100
Simpson Island	SI1-82.1	SI1(69.7 to 87.6)	SI1-82.1-D	326.5	47.6	1	1	0
Simpson Island	SI1-82.1	SI1(69.7 to 87.6)	SI1-82.1-D	311.8	50.1	1	1	100
Simpson Island	SI1-84.5	SI1(69.7 to 87.6)	SI1-84.5-D	324.1	52.3	1	1	0
Simpson Island	SI1-84.5	SI1(69.7 to 87.6)	SI1-84.5-D	306.7	54	1	1	100
Simpson Island	SI1-86.1	SI1(69.7 to 87.6)	SI1-86.1-D	322.1	52	1	1	0
Simpson Island	SI1-86.1	SI1(69.7 to 87.6)	SI1-86.1-D	304.9	53.3	1	1	100
Simpson Island	SI1-86.4	SI1(69.7 to 87.6)	SI1-86.4-D	323	39.9	1	1	0
Simpson Island	SI1-86.4	SI1(69.7 to 87.6)	SI1-86.4-D	311.7	42	1	1	100
Simpson Island	SI1-88.25	SI1(87.6 to 88.5)	SI1-88.25-D	137.9	-76.2	1	1	0
Simpson Island	SI1-88.25	SI1(87.6 to 88.5)	SI1-88.25-D	90.9	-72.8	1	1	100
Simpson Island	SI1-88.35	SI1(87.6 to 88.5)	SI1-88.35-D	137.9	-77.8	1	1	0
Simpson Island	SI1-88.35	SI1(87.6 to 88.5)	SI1-88.35-D	86.7	-73.8	1	1	100
Simpson Island	SI1-88.37	SI1(87.6 to 88.5)	SI1-88.37-D	139.9	-72.9	1	1	0
Simpson Island	SI1-88.37	SI1(87.6 to 88.5)	SI1-88.37-D	99.6	-70.9	1	1	100
Simpson Island	SI1-88.4	SI1(87.6 to 88.5)	SI1-88.4-D	124.9	-75.9	1	1	0
Simpson Island	SI1-88.4	SI1(87.6 to 88.5)	SI1-88.4-D	84.5	-70.4	1	1	100
Simpson Island	SI1-88.43	SI1(87.6 to 88.5)	SI1-88.43-D	127.1	-75.6	1	1	0
Simpson Island	SI1-88.43	SI1(87.6 to 88.5)	SI1-88.43-D	86.3	-70.6	1	1	100
Simpson Island	SI1-88.9	SI1(88.5 to 89.2)	SI1-88.9-D	137.7	-76	1	1	0
Simpson Island	SI1-88.9	SI1(88.5 to 89.2)	SI1-88.9-D	91.2	-72.7	1	1	100
Simpson Island	SI1-88.55	SI1(88.5 to 89.2)	SI1-88.55-D	142.3	-75.2	1	1	0
Simpson Island	SI1-88.55	SI1(88.5 to 89.2)	SI1-88.55-D	95.7	-73	1	1	100
Simpson Island	SI1-88.93	SI1(88.5 to 89.2)	SI1-88.93-D	129.5	-72.9	1	1	0
Simpson Island	SI1-88.93	SI1(88.5 to 89.2)	SI1-88.93-D	92.8	-68.9	1	1	100
Simpson Island	SI1-88.97	SI1(88.5 to 89.2)	SI1-88.97-D	134.7	-79.5	1	1	0
Simpson Island	SI1-88.97	SI1(88.5 to 89.2)	SI1-88.97-D	80.1	-74.3	1	1	100
Simpson Island	SI1-89.0	SI1(88.5 to 89.2)	SI1-89.0-D	134.8	-71.5	1	1	0
Simpson Island	SI1-89.0	SI1(88.5 to 89.2)	SI1-89.0-D	98.7	-68.8	1	1	100
Simpson Island	SI1-89.15	SI1(88.5 to 89.2)	SI1-89.15-D	104.7	-71.7	1	1	0
Simpson Island	SI1-89.15	SI1(88.5 to 89.2)	SI1-89.15-D	78.7	-63.9	1	1	100
Simpson Island	SI1-89.25	SI1(89.2 to 91.5)	SI1-89.25-A	139.2	-71.4	1	1	0
Simpson Island	SI1-89.25	SI1(89.2 to 91.5)	SI1-89.25-A	102	-69.6	1	1	100
Simpson Island	SI1-89.92	SI1(89.2 to 91.5)	SI1-89.92-A	119.4	-66.1	1	1	0
Simpson Island	SI1-89.92	SI1(89.2 to 91.5)	SI1-89.92-A	94.6	-61.4	1	1	100
Simpson Island	SI1-90.0	SI1(89.2 to 91.5)	SI1-90.0-A	114.2	-67.9	1	1	0
Simpson Island	SI1-90.0	SI1(89.2 to 91.5)	SI1-90.0-A	89	-62	1	1	100
Simpson Island	SI1-90.05	SI1(89.2 to 91.5)	SI1-90.05-A	112.8	-72.8	1	1	0
Simpson Island	SI1-90.05	SI1(89.2 to 91.5)	SI1-90.05-A	82.4	-66	1	1	100
Simpson Island	SI1-91.1	SI1(89.2 to 91.5)	SI1-91.1-A	106	-84.7	1	1	0
