tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_class	sample_description	sample_dip	sample_lat	sample_lithology	sample_lon	sample_type
This study	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	FS-FD:SO-POM:SO-CMD-NORTH	266	Igneous : Extrusive	oriented core	-63	48.8122	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	FS-FD:SO-POM:SO-CMD-NORTH	186	Igneous : Extrusive	oriented core	-47	48.8122	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-12.95	SI1(11.8 to 26.4)	FS-FD:SO-POM:SO-CMD-NORTH	310	Igneous : Extrusive	oriented core	-25	48.8122	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	FS-FD:SO-POM:SO-CMD-NORTH	336	Igneous : Extrusive	oriented core	-29	48.8122	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	FS-FD:SO-POM:SO-CMD-NORTH	253	Igneous : Extrusive	oriented core	-53	48.8122	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	FS-FD:SO-POM:SO-CMD-NORTH	294	Igneous : Extrusive	oriented core	-26	48.8122	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	FS-FD:SO-POM:SO-CMD-NORTH	289	Igneous : Extrusive	oriented core	-40	48.8122	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	FS-FD:SO-POM:SO-CMD-NORTH	272	Igneous : Extrusive	oriented core	-66	48.8122	Basalt	-87.662	Lava Flow
This study	Simpson Island	SI1-116.9	SI1(116.3 to 118.8)	FS-FD:SO-POM:SO-CMD-NORTH	271	Igneous : Extrusive	oriented core	-92	48.8062	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-116.95	SI1(116.3 to 118.8)	FS-FD:SO-POM:SO-CMD-NORTH	264	Igneous : Extrusive	oriented core	-85	48.8062	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-116.96	SI1(116.3 to 118.8)	FS-FD:SO-POM:SO-CMD-NORTH	11	Igneous : Extrusive	oriented core	-20	48.8062	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-116.97	SI1(116.3 to 118.8)	FS-FD:SO-POM:SO-CMD-NORTH	29	Igneous : Extrusive	oriented core	-18	48.8062	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-117.05	SI1(116.3 to 118.8)	FS-FD:SO-POM:SO-CMD-NORTH	251	Igneous : Extrusive	oriented core	-58	48.8062	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-117.2	SI1(116.3 to 118.8)	FS-FD:SO-POM:SO-CMD-NORTH	278	Igneous : Extrusive	oriented core	-80	48.8062	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-120.4	SI1(119.7 to 122.1)	FS-FD:SO-POM:SO-CMD-NORTH	253	Igneous : Extrusive	oriented core	-64	48.806	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-120.42	SI1(119.7 to 122.1)	FS-FD:SO-POM:SO-CMD-NORTH	254	Igneous : Extrusive	oriented core	-70	48.806	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-120.45	SI1(119.7 to 122.1)	FS-FD:SO-POM:SO-CMD-NORTH	255	Igneous : Extrusive	oriented core	-72	48.806	Basalt	-87.6634	Lava Flow
This study	Simpson Island	SI1-120.5	SI1(119.7 to 122.1)	FS-FD:SO-POM:SO-CMD-NORTH	223	Igneous : Extrusive	oriented core	-30	48.806	Basalt	-87.6634	Lava Flow
