tab 	pmag_results
average_age	average_age_high	average_age_low	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_lat	average_lon	average_n	average_nn	er_citation_names	er_location_names	er_site_names	magic_method_codes	pmag_result_name	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	vgp_alpha95	vgp_lat	vgp_lon
1106	1110	1103	Ma	3	82.8	91.5	-68.5	48.8069	-87.6618		6	This study	Simpson Island	SI1(91.5 to 92.6)	DE-FM:LP-DC4:LP-DIR-AF	SI1(91.5 to 92.6)	82.8	118.4	-68.5	-74.8		32.7	225.5
1106	1110	1103	Ma	4.3	94.1	94.3	-74.4	48.8068	-87.6620		5	This study	Simpson Island	SI1(94.3 to 94.9)	DE-FM:LP-DC4:LP-DIR-AF	SI1(94.3 to 94.9)	94.1	145.5	-74.4	-76.5		42.8	230.8
1106	1110	1103	Ma	2.3	79.1	94.9	-75	48.8066	-87.6621		5	This study	Simpson Island	SI1(94.9 to 96.6)	DE-FM:LP-DC4:LP-DIR-AF	SI1(94.9 to 96.6)	79.1	136.6	-75	-80		37.2	236.6
1106	1110	1103	Ma	6.4	74.1	116.3	-70.3	48.8062	-87.6634		6	This study	Simpson Island	SI1(116.3 to 118.8)	DE-FM:LP-DC4:LP-DIR-AF	SI1(116.3 to 118.8)	74.1	112.9	-70.3	-78.2		30.4	231.8
1106	1110	1103	Ma	6.8	87.5	119.7	-68.9	48.8060	-87.6634		5	This study	Simpson Island	SI1(119.7 to 122.1)	DE-FM:LP-DC4:LP-DIR-AF	SI1(119.7 to 122.1)	87.5	124.2	-68.9	-74		35.3	223.9
1106	1110	1103	Ma	4.9	75.7	122.1	-69.1	48.8058	-87.6633		6	This study	Simpson Island	SI1(122.1 to 123.7)	DE-FM:LP-DC4:LP-DIR-AF	SI1(122.1 to 123.7)	75.7	111.3	-69.1	-76.8		30.0	229.6
1106	1110	1103	Ma	4.1	117.1	442.1	-58.1	48.7943	-87.6556		6	This study	Simpson Island	SI2a(1.1 to 1.6)	DE-FM:LP-DC4:LP-DIR-AF	SI2a(1.1 to 1.6)	117.1	139	-58.1	-54.1		44.8	194.2
1106	1110	1103	Ma	4.8	152.3	451.2	-68.8	48.7940	-87.6555		6	This study	Simpson Island	SI2a(10.2 to 12.8)	DE-FM:LP-DC4:LP-DIR-AF	SI2a(10.2 to 12.8)	152.3	171.8	-68.8	-57.3		72.2	203.7
1106	1110	1103	Ma	4.2	120	519.2	-62.4	48.7921	-87.6546		8	This study	Simpson Island	SI2b(2.2 to 2.6)	DE-FM:LP-DC4:LP-DIR-AF	SI2b(2.2 to 2.6)	120	144.7	-62.4	-57.3		49.3	198.7
1106	1110	1103	Ma	4.4	107.4	527.5	-67.3	48.7916	-87.6539		5	This study	Simpson Island	SI2b(10.5 to 10.6)	DE-FM:LP-DC4:LP-DIR-AF	SI2b(10.5 to 10.6)	107.4	140.7	-67.3	-64.3		44.7	212.8
