tab 	er_sites
er_citation_names	er_location_name	er_site_name	site_class	site_definition	site_height	site_lat	site_lithology	site_location_geoid	site_lon	site_type
This study	Simpson Island	SI9(139.8 to 160.0)	Extrusive : Igneous	s	1322.8	48.768	Basaltic Lava	WGS84	-87.6192	Lava Flow
This study	Simpson Island	SI9(160.0 to 166.5)	Extrusive : Igneous	s	1343	48.7676	Basaltic Lava	WGS84	-87.6189	Lava Flow
This study	Simpson Island	SI9(166.5 to 171.4)	Extrusive : Igneous	s	1349.5	48.7674	Basaltic Lava	WGS84	-87.6185	Lava Flow
This study	Simpson Island	SI9(171.4 to 188.8)	Extrusive : Igneous	s	1354.4	48.7672	Basaltic Lava	WGS84	-87.619	Lava Flow
This study	Simpson Island	SI9(312.1 to 321.0)	Extrusive : Igneous	s	1495.1	48.7638	Basaltic Lava	WGS84	-87.6176	Lava Flow
This study	Simpson Island	SI9(336.4 to 353.8)	Extrusive : Igneous	s	1519.4	48.7631	Basaltic Lava	WGS84	-87.6151	Lava Flow
This study	Simpson Island	SI9(375.9 to 381.0)	Extrusive : Igneous	s	1558.9	48.7623	Basaltic Lava	WGS84	-87.6142	Lava Flow
This study	Simpson Island	SI9(387.6 to 395.3)	Extrusive : Igneous	s	1570.6	48.762	Basaltic Lava	WGS84	-87.614	Lava Flow
This study	Simpson Island	SI9(395.3 to 399.3)	Extrusive : Igneous	s	1578.3	48.7617	Basaltic Lava	WGS84	-87.6137	Lava Flow
This study	Simpson Island	SI4(0.0 to 13.8)	Extrusive : Igneous	s	1983	48.7525	Basaltic Lava	WGS84	-87.5971	Lava Flow
This study	Simpson Island	SI4(13.8 to 20.2)	Extrusive : Igneous	s	1996.8	48.7524	Basaltic Lava	WGS84	-87.5973	Lava Flow
This study	Simpson Island	SI4(21.4 to 30.0)	Extrusive : Igneous	s	2004.4	48.752	Basaltic Lava	WGS84	-87.5972	Lava Flow
This study	Simpson Island	SI4(39.7 to 44.7)	Extrusive : Igneous	s	2022.7	48.7516	Basaltic Lava	WGS84	-87.5967	Lava Flow
This study	Simpson Island	SI4(72.3 to 74.6)	Extrusive : Igneous	s	2055.3	48.7508	Basaltic Lava	WGS84	-87.5957	Lava Flow
This study	Simpson Island	SI4(74.6 to 80.0)	Extrusive : Igneous	s	2057.6	48.7507	Basaltic Lava	WGS84	-87.5953	Lava Flow
This study	Simpson Island	SI4(80.2 to 100.7)	Extrusive : Igneous	s	2063.2	48.7505	Basaltic Lava	WGS84	-87.5951	Lava Flow
This study	Simpson Island	SI4(106.0 to 121.4)	Extrusive : Igneous	s	2089	48.7499	Basaltic Lava	WGS84	-87.5953	Lava Flow
This study	Simpson Island	SI4(121.4 to 127.3)	Extrusive : Igneous	s	2104.4	48.7494	Basaltic Lava	WGS84	-87.5954	Lava Flow
This study	Simpson Island	SI4(133.8 to 143.1)	Extrusive : Igneous	s	2116.8	48.749	Basaltic Lava	WGS84	-87.5955	Lava Flow
This study	Simpson Island	SI4(160.4 to 171.1)	Extrusive : Igneous	s	2143.4	48.7485	Basaltic Lava	WGS84	-87.5958	Lava Flow
This study	Simpson Island	SI8(0.0 to 3.9)	Extrusive : Igneous	s	2336	48.7466	Basaltic Lava	WGS84	-87.6194	Lava Flow
This study	Simpson Island	SI8(3.9 to 19.3)	Extrusive : Igneous	s	2339.9	48.7465	Basaltic Lava	WGS84	-87.6195	Lava Flow
This study	Simpson Island	SI8(19.3 to 45.0)	Extrusive : Igneous	s	2355.3	48.7463	Basaltic Lava	WGS84	-87.62	Lava Flow
This study	Simpson Island	SI8(47.5 to 56.7)	Extrusive : Igneous	s	2383.5	48.7458	Basaltic Lava	WGS84	-87.6211	Lava Flow
This study	Simpson Island	SI8(62.9 to 84.4)	Extrusive : Igneous	s	2398.9	48.7457	Basaltic Lava	WGS84	-87.6223	Lava Flow
