tab 	magic_measurements
er_citation_names	er_expedition_name	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	measurement_date	measurement_dec	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_pos_z	measurement_standard	treatment_ac_field	treatment_temp
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:08:40.00	1.62810589	g	-63.46414863	4.51E-06	756546	0.867	u	0.0075	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:08:55.00	-4.568142439	g	-64.10272409	2.31E-05	756547	1.067	u	0.0075	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	SI1-14.9-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:09:10.00	-3.810045119	g	-37.00268836	2.32E-05	756548	1.267	u	0.0075	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.5	SI1(11.8 to 26.4)	SI1-12.5-D	SI1-12.5-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:12:59.00	-0.100673806	g	-33.86240798	3.83E-06	756549	0.067	u	0.01	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-12.55	SI1(11.8 to 26.4)	SI1-12.55-D	SI1-12.55-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:13:14.00	-13.21445022	g	-32.61834969	1.64E-05	756550	0.267	u	0.01	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.0	SI1(11.8 to 26.4)	SI1-13.0-D	SI1-13.0-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:13:29.00	14.71331467	g	-62.5392912	3.00E-06	756551	0.467	u	0.01	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-13.4	SI1(11.8 to 26.4)	SI1-13.4-D	SI1-13.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:13:45.00	-12.33728157	g	-44.20198591	6.05E-06	756552	0.667	u	0.01	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.2	SI1(11.8 to 26.4)	SI1-14.2-D	SI1-14.2-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:14:00.00	-2.22836645	g	-67.30726655	4.08E-06	756553	0.867	u	0.01	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.4	SI1(11.8 to 26.4)	SI1-14.4-D	SI1-14.4-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:14:15.00	-5.151916719	g	-64.55282452	2.19E-05	756554	1.067	u	0.01	300
This study	Midcontinent Rift 2011	Simpson Island	SI1-14.9	SI1(11.8 to 26.4)	SI1-14.9-D	SI1-14.9-D:NRM_demag(T,Hac)0	IRM-SRM-U	LT-AF-Z:LP-DIR-AF	2011:08:06:18:14:30.00	-4.137472198	g	-37.08145284	2.18E-05	756555	1.267	u	0.01	300
