tab	sites
age	age_high	age_low	age_sigma	age_unit	citations	criteria	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    3.8 	HT	  297.4 	   33.0 	   252 	7	7 	7 	0 	t	6.9762 	0	47.1	Gooseberry	268.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB14-1:GB14-2:GB14-3:GB14-4:GB14-5:GB14-6:GB14-7	GB14	pmagpy-3.8.9-2: demag_gui.v.3.0	GB14-1a:GB14-2a:GB14-3a:GB14-4a:GB14-5a:GB14-6a:GB14-7a	    4.3 	    2.4 	   31.6 	  171.1 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    3.8 	HT	  298.3 	   42.4 	   249 	7	7 	7 	0 	n	6.9759 	100	47.1	Gooseberry	268.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB14-1:GB14-2:GB14-3:GB14-4:GB14-5:GB14-6:GB14-7	GB14	pmagpy-3.8.9-2: demag_gui.v.3.0	GB14-1a:GB14-2a:GB14-3a:GB14-4a:GB14-5a:GB14-6a:GB14-7a	    4.7 	    2.9 	   36.7 	  176.1 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.1 	HT	  301.0 	   35.6 	   827 	7	7 	7 	0 	n	6.9927 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB15-1:GB15-3:GB15-4:GB15-5:GB15-6:GB15-7:GB15-8	GB15	pmagpy-3.8.9-2: demag_gui.v.3.0	GB15-1a:GB15-3a:GB15-4a:GB15-5a:GB15-6a:GB15-7a:GB15-8a	    2.4 	    1.4 	   35.2 	  169.6 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.1 	HT	  302.5 	   45.0 	   835 	7	7 	7 	0 	n	6.9928 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB15-1:GB15-3:GB15-4:GB15-5:GB15-6:GB15-7:GB15-8	GB15	pmagpy-3.8.9-2: demag_gui.v.3.0	GB15-1a:GB15-3a:GB15-4a:GB15-5a:GB15-6a:GB15-7a:GB15-8a	    2.7 	    1.7 	   40.9 	  174.9 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.8 	HT	  294.5 	   32.1 	   385 	8	8 	8 	0 	t	7.9818 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB16-1:GB16-2:GB16-3:GB16-4:GB16-5:GB16-6:GB16-7:GB16-8	GB16	pmagpy-3.8.9-2: demag_gui.v.3.0	GB16-1a:GB16-2a:GB16-3a:GB16-4a:GB16-5a:GB16-6a:GB16-7a:GB16-8a	    3.2 	    1.8 	   29.2 	  172.8 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    2.8 	HT	  295.0 	   41.6 	   382 	8	8 	8 	0 	t	7.9817 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB16-1:GB16-2:GB16-3:GB16-4:GB16-5:GB16-6:GB16-7:GB16-8	GB16	pmagpy-3.8.9-2: demag_gui.v.3.0	GB16-1a:GB16-2a:GB16-3a:GB16-4a:GB16-5a:GB16-6a:GB16-7a:GB16-8a	    3.4 	    2.1 	   34.1 	  178.0 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    3.1 	HT	  299.4 	   36.9 	   464 	6	6 	6 	0 	t	5.9892 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB17-1:GB17-2:GB17-4:GB17-5:GB17-7:GB17-8	GB17	pmagpy-3.8.9-2: demag_gui.v.3.0	GB17-1a:GB17-2a:GB17-4a:GB17-5a:GB17-7a:GB17-8a	    3.6 	    2.1 	   34.8 	  171.7 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    3.1 	HT	  300.8 	   46.3 	   464 	6	6 	6 	0 	n	5.9892 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB17-1:GB17-2:GB17-4:GB17-5:GB17-7:GB17-8	GB17	pmagpy-3.8.9-2: demag_gui.v.3.0	GB17-1a:GB17-2a:GB17-4a:GB17-5a:GB17-7a:GB17-8a	    4.0 	    2.5 	   40.4 	  177.2 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    4.3 	HT	  304.8 	   32.7 	   242 	6	6 	6 	0 	n	5.9793 	0	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	GB18-2:GB18-3:GB18-5:GB18-6:GB18-7:GB18-8	GB18	pmagpy-3.8.9-2: demag_gui.v.3.0	GB18-2a:GB18-3a:GB18-5a:GB18-6a:GB18-7a:GB18-8a	    4.9 	    2.8 	   36.4 	  164.8 
1095.25	1095.8	1094.7	0.55	Years Cal BP	This study	ACCEPT	    4.3 	HT	  306.7 	   41.9 	   239 	6	6 	6 	0 	n	5.9791 	100	47.1	Gooseberry	-91.5	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	GB18-2:GB18-3:GB18-5:GB18-6:GB18-7:GB18-8	GB18	pmagpy-3.8.9-2: demag_gui.v.3.0	GB18-2a:GB18-3a:GB18-5a:GB18-6a:GB18-7a:GB18-8a	    5.3 	    3.2 	   42.1 	  169.1 
