tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	HT	1.5	180.6	-66.7	6.7	2	11	-1	CM1-3a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-3	pmagpy-3.4.1: demag_gui.v.3.0	CM1-3a
This study	LT	67.4	6.0	66.3	11.7	2	4	0	CM1-3a:LP-DIR-T	u	573	77	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-3	pmagpy-3.4.1: demag_gui.v.3.0	CM1-3a
This study	HT	1.5	321.7	-9.7	6.7	2	11	0	CM1-3a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-3	pmagpy-3.4.1: demag_gui.v.3.0	CM1-3a
This study	LT	67.4	139.1	79.6	11.7	2	4	100	CM1-3a:LP-DIR-T	u	573	77	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-3	pmagpy-3.4.1: demag_gui.v.3.0	CM1-3a
This study	HT	1.5	320.6	17.8	6.7	2	11	100	CM1-3a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-3	pmagpy-3.4.1: demag_gui.v.3.0	CM1-3a
This study	LT	59.2	177.2	40.2	8.4	2	5	-1	CM1-4a:LP-DIR-T	u	598	77	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-4	pmagpy-3.4.1: demag_gui.v.3.0	CM1-4a
This study	HT	7.6	178.7	-40.5	8.6	2	10	-1	CM1-4a:LP-DIR-T	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-4	pmagpy-3.4.1: demag_gui.v.3.0	CM1-4a
This study	LT	59.2	310.3	80.0	8.4	2	5	0	CM1-4a:LP-DIR-T	u	598	77	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-4	pmagpy-3.4.1: demag_gui.v.3.0	CM1-4a
This study	HT	7.6	321.8	-0.5	8.6	2	10	0	CM1-4a:LP-DIR-T	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-4	pmagpy-3.4.1: demag_gui.v.3.0	CM1-4a
This study	LT	59.2	187.6	64.9	8.4	2	5	100	CM1-4a:LP-DIR-T	u	598	77	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-4	pmagpy-3.4.1: demag_gui.v.3.0	CM1-4a
This study	HT	7.6	317.8	26.7	8.6	2	10	100	CM1-4a:LP-DIR-T	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-4	pmagpy-3.4.1: demag_gui.v.3.0	CM1-4a
This study	LT	51.3	184.2	35.4	6.4	2	5	-1	CM1-5a:LP-DIR-T	u	598	77	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-5	pmagpy-3.4.1: demag_gui.v.3.0	CM1-5a
This study	HT	6.7	181.2	-47.1	11.2	2	11	-1	CM1-5a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-5	pmagpy-3.4.1: demag_gui.v.3.0	CM1-5a
This study	LT	51.3	348.7	83.5	6.4	2	5	0	CM1-5a:LP-DIR-T	u	598	77	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-5	pmagpy-3.4.1: demag_gui.v.3.0	CM1-5a
This study	HT	6.7	317.9	1.9	11.2	2	11	0	CM1-5a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-5	pmagpy-3.4.1: demag_gui.v.3.0	CM1-5a
This study	LT	51.3	172.7	64.7	6.4	2	5	100	CM1-5a:LP-DIR-T	u	598	77	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-5	pmagpy-3.4.1: demag_gui.v.3.0	CM1-5a
This study	HT	6.7	312.8	27.7	11.2	2	11	100	CM1-5a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-5	pmagpy-3.4.1: demag_gui.v.3.0	CM1-5a
This study	HT	4.9	188.4	-71.8	2.7	1	10	-1	CM1-6a:LP-DIR-T	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-6	pmagpy-3.4.1: demag_gui.v.3.0	CM1-6a
This study	HT	4.9	324.7	-6.9	2.7	1	10	0	CM1-6a:LP-DIR-T	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-6	pmagpy-3.4.1: demag_gui.v.3.0	CM1-6a
This study	HT	4.9	322.8	21.3	2.7	1	10	100	CM1-6a:LP-DIR-T	u	853	748	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-6	pmagpy-3.4.1: demag_gui.v.3.0	CM1-6a
This study	LT	70.7	168.4	16.5	20.6	2	4	-1	CM1-7a:LP-DIR-T	u	573	77	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-7	pmagpy-3.4.1: demag_gui.v.3.0	CM1-7a
This study	HT	1.6	154.0	-66.3	3.4	2	11	-1	CM1-7a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-7	pmagpy-3.4.1: demag_gui.v.3.0	CM1-7a
This study	LT	70.7	293.8	72.8	20.6	2	4	0	CM1-7a:LP-DIR-T	u	573	77	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-7	pmagpy-3.4.1: demag_gui.v.3.0	CM1-7a
This study	HT	1.6	324.2	-8.3	3.4	2	11	0	CM1-7a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-7	pmagpy-3.4.1: demag_gui.v.3.0	CM1-7a
This study	LT	70.7	206.0	63.4	20.6	2	4	100	CM1-7a:LP-DIR-T	u	573	77	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-7	pmagpy-3.4.1: demag_gui.v.3.0	CM1-7a
This study	HT	1.6	322.7	19.8	3.4	2	11	100	CM1-7a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-7	pmagpy-3.4.1: demag_gui.v.3.0	CM1-7a
This study	LT	50.8	165.1	-6.0	15.3	2	5	-1	CM1-8a:LP-DIR-T	u	598	77	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-8	pmagpy-3.4.1: demag_gui.v.3.0	CM1-8a
This study	HT	10.0	109.7	-57.3	7.1	2	11	-1	CM1-8a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-8	pmagpy-3.4.1: demag_gui.v.3.0	CM1-8a
This study	LT	50.8	330.7	57.6	15.3	2	5	0	CM1-8a:LP-DIR-T	u	598	77	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-8	pmagpy-3.4.1: demag_gui.v.3.0	CM1-8a
This study	HT	10.0	328.2	-9.3	7.1	2	11	0	CM1-8a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-8	pmagpy-3.4.1: demag_gui.v.3.0	CM1-8a
This study	LT	50.8	256.0	78.8	15.3	2	5	100	CM1-8a:LP-DIR-T	u	598	77	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-8	pmagpy-3.4.1: demag_gui.v.3.0	CM1-8a
This study	HT	10.0	326.9	19.8	7.1	2	11	100	CM1-8a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-8	pmagpy-3.4.1: demag_gui.v.3.0	CM1-8a
This study	HT	0.8	338.9	13.6	0.6	1	17	-1	CM2-1a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM2-1	pmagpy-3.4.1: demag_gui.v.3.0	CM2-1a
This study	HT	0.8	300.7	-8.8	0.6	1	17	0	CM2-1a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM2-1	pmagpy-3.4.1: demag_gui.v.3.0	CM2-1a
This study	HT	0.8	301.4	5.3	0.6	1	17	100	CM2-1a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM2-1	pmagpy-3.4.1: demag_gui.v.3.0	CM2-1a
This study	HT	0.3	254.2	-17.7	1.1	1	18	-1	CM2-2a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM2-2	pmagpy-3.4.1: demag_gui.v.3.0	CM2-2a
This study	HT	0.3	302.3	-8.4	1.1	1	18	0	CM2-2a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM2-2	pmagpy-3.4.1: demag_gui.v.3.0	CM2-2a
This study	HT	0.3	302.7	6.3	1.1	1	18	100	CM2-2a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM2-2	pmagpy-3.4.1: demag_gui.v.3.0	CM2-2a
This study	HT	0.6	327.1	8.4	0.9	1	18	-1	CM2-3a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM2-3	pmagpy-3.4.1: demag_gui.v.3.0	CM2-3a
This study	HT	0.6	303.8	-9.3	0.9	1	18	0	CM2-3a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM2-3	pmagpy-3.4.1: demag_gui.v.3.0	CM2-3a
This study	HT	0.6	304.4	6.0	0.9	1	18	100	CM2-3a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM2-3	pmagpy-3.4.1: demag_gui.v.3.0	CM2-3a
This study	HT	0.1	309.3	3.5	1.0	1	18	-1	CM2-4a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM2-4	pmagpy-3.4.1: demag_gui.v.3.0	CM2-4a
This study	HT	0.1	307.4	-11.0	1.0	1	18	0	CM2-4a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM2-4	pmagpy-3.4.1: demag_gui.v.3.0	CM2-4a
This study	HT	0.1	308.4	5.6	1.0	1	18	100	CM2-4a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM2-4	pmagpy-3.4.1: demag_gui.v.3.0	CM2-4a
This study	HT	0.3	296.8	3.7	1.8	1	17	-1	CM2-5a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM2-5	pmagpy-3.4.1: demag_gui.v.3.0	CM2-5a
This study	HT	0.3	302.4	-6.7	1.8	1	17	0	CM2-5a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM2-5	pmagpy-3.4.1: demag_gui.v.3.0	CM2-5a
This study	HT	0.3	302.1	7.9	1.8	1	17	100	CM2-5a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM2-5	pmagpy-3.4.1: demag_gui.v.3.0	CM2-5a
This study	HT	0.5	342.7	14.0	1.4	1	18	-1	CM2-6a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM2-6	pmagpy-3.4.1: demag_gui.v.3.0	CM2-6a
This study	HT	0.5	303.9	-11.9	1.4	1	18	0	CM2-6a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM2-6	pmagpy-3.4.1: demag_gui.v.3.0	CM2-6a
This study	HT	0.5	305.4	3.6	1.4	1	18	100	CM2-6a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM2-6	pmagpy-3.4.1: demag_gui.v.3.0	CM2-6a
This study	HT	0.5	97.5	-14.0	1.2	1	16	-1	CM2-7a:LP-DIR-T	u	853	598	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM2-7	pmagpy-3.4.1: demag_gui.v.3.0	CM2-7a
This study	HT	0.5	302.4	-9.1	1.2	1	16	0	CM2-7a:LP-DIR-T	u	853	598	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM2-7	pmagpy-3.4.1: demag_gui.v.3.0	CM2-7a
This study	HT	0.5	303.0	5.7	1.2	1	16	100	CM2-7a:LP-DIR-T	u	853	598	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM2-7	pmagpy-3.4.1: demag_gui.v.3.0	CM2-7a
This study	HT	0.5	311.8	8.3	1.2	1	18	-1	CM2-8a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM2-8	pmagpy-3.4.1: demag_gui.v.3.0	CM2-8a
This study	HT	0.5	304.6	-7.9	1.2	1	18	0	CM2-8a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM2-8	pmagpy-3.4.1: demag_gui.v.3.0	CM2-8a
This study	HT	0.5	304.7	7.6	1.2	1	18	100	CM2-8a:LP-DIR-T	u	853	473	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM2-8	pmagpy-3.4.1: demag_gui.v.3.0	CM2-8a
This study	HT	0.1	270.8	-7.9	2.3	1	15	-1	CM2-9a:LP-DIR-T	u	853	623	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM2-9	pmagpy-3.4.1: demag_gui.v.3.0	CM2-9a
This study	HT	0.1	302.3	-7.6	2.3	1	15	0	CM2-9a:LP-DIR-T	u	853	623	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM2-9	pmagpy-3.4.1: demag_gui.v.3.0	CM2-9a
This study	HT	0.1	302.4	7.1	2.3	1	15	100	CM2-9a:LP-DIR-T	u	853	623	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM2-9	pmagpy-3.4.1: demag_gui.v.3.0	CM2-9a
This study	mag	4.2	253.4	7.2	15.7	2	11	-1	SLB01.1a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.1	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.1a
This study	hem	1.0	256.5	5.5	1.6	2	8	-1	SLB01.1a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.1	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.1a
This study	mag	4.2	277.7	14.5	15.7	2	11	0	SLB01.1a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.1	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.1a
This study	hem	1.0	279.5	11.5	1.6	2	8	0	SLB01.1a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.1	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.1a
This study	mag	4.2	273.7	28.3	15.7	2	11	100	SLB01.1a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.1	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.1a
This study	hem	1.0	276.3	25.6	1.6	2	8	100	SLB01.1a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.1	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.1a
This study	mag	3.4	251.7	-5.7	10.0	2	11	-1	SLB01.2a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.2	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.2a
This study	hem	0.9	253.4	-7.3	0.9	2	8	-1	SLB01.2a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.2	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.2a
This study	mag	3.4	274.5	17.7	10.0	2	11	0	SLB01.2a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.2	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.2a
This study	hem	0.9	272.9	15.9	0.9	2	8	0	SLB01.2a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.2	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.2a
This study	mag	3.4	269.5	30.8	10.0	2	11	100	SLB01.2a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.2	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.2a
This study	hem	0.9	268.3	28.7	0.9	2	8	100	SLB01.2a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.2	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.2a
This study	hem	6.0	249.0	2.6	2.8	2	8	-1	SLB01.3a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.3	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.3a
This study	mag	2.2	255.5	4.7	8.0	2	11	-1	SLB01.3a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.3	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.3a
This study	hem	6.0	270.6	14.8	2.8	2	8	0	SLB01.3a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.3	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.3a
This study	mag	2.2	277.2	12.6	8.0	2	11	0	SLB01.3a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.3	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.3a
This study	hem	6.0	266.0	27.1	2.8	2	8	100	SLB01.3a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.3	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.3a
This study	mag	2.2	273.6	26.2	8.0	2	11	100	SLB01.3a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.3	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.3a
This study	mag	2.7	268.8	17.1	15.7	2	11	-1	SLB01.4a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.4	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.4a
This study	hem	1.8	269.1	14.6	1.5	2	8	-1	SLB01.4a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.4	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.4a
This study	mag	2.7	276.2	15.3	15.7	2	11	0	SLB01.4a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.4	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.4a
This study	hem	1.8	275.0	13.1	1.5	2	8	0	SLB01.4a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.4	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.4a
This study	mag	2.7	271.9	28.8	15.7	2	11	100	SLB01.4a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.4	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.4a
This study	hem	1.8	271.2	26.3	1.5	2	8	100	SLB01.4a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.4	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.4a
This study	hem	2.1	211.1	-12.8	1.2	2	8	-1	SLB01.5a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.5	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.5a
This study	mag	10.3	202.1	-11.2	15.1	2	11	-1	SLB01.5a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.5	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.5a
This study	hem	2.1	274.6	13.1	1.2	2	8	0	SLB01.5a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.5	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.5a
This study	mag	10.3	266.1	16.6	15.1	2	11	0	SLB01.5a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.5	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.5a
This study	hem	2.1	270.8	26.3	1.2	2	8	100	SLB01.5a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.5	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.5a
This study	mag	10.3	260.9	27.9	15.1	2	11	100	SLB01.5a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.5	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.5a
This study	mag	1.4	231.6	-11.4	5.8	2	11	-1	SLB01.6a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.6	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.6a
This study	hem	0.4	231.9	-12.2	2.3	2	8	-1	SLB01.6a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.6	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.6a
This study	mag	1.4	275.4	10.8	5.8	2	11	0	SLB01.6a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.6	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.6a
This study	hem	0.4	275.4	10.0	2.3	2	8	0	SLB01.6a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.6	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.6a
This study	mag	1.4	272.1	24.2	5.8	2	11	100	SLB01.6a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.6	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.6a
This study	hem	0.4	272.2	23.4	2.3	2	8	100	SLB01.6a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.6	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.6a
This study	hem	2.8	243.1	-16.2	2.8	2	8	-1	SLB01.7a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.7	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.7a
This study	mag	2.4	244.0	-17.6	20.4	2	11	-1	SLB01.7a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.7	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.7a
This study	hem	2.8	274.8	10.3	2.8	2	8	0	SLB01.7a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.7	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.7a
This study	mag	2.4	274.4	8.8	20.4	2	11	0	SLB01.7a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.7	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.7a
This study	hem	2.8	271.5	23.6	2.8	2	8	100	SLB01.7a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.7	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.7a
This study	mag	2.4	271.4	22.0	20.4	2	11	100	SLB01.7a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.7	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.7a
This study	hem	0.8	242.0	-24.5	1.2	2	8	-1	SLB01.8a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.8	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.8a
This study	mag	5.1	237.2	-23.2	13.8	2	11	-1	SLB01.8a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR	g	SLB01.8	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.8a
This study	hem	0.8	274.9	12.3	1.2	2	8	0	SLB01.8a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.8	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.8a
This study	mag	5.1	273.3	16.5	13.8	2	11	0	SLB01.8a:LP-DIR-T	u	853	573	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	SLB01.8	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.8a
This study	hem	0.8	271.2	25.5	1.2	2	8	100	SLB01.8a:LP-DIR-T	u	953	868	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	SLB01.8	pmagpy-3.4.1: demag_gui.v.3.0	SLB01.8a
