tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	HT	0.4	357.9	16.8	1.3	1	12	-1	CM1-1a:LP-DIR-T	u	853	698	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-1	pmagpy-3.4.1: demag_gui.v.3.0	CM1-1a
This study	HT	0.4	345.5	-13.2	1.3	1	12	0	CM1-1a:LP-DIR-T	u	853	698	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-1	pmagpy-3.4.1: demag_gui.v.3.0	CM1-1a
This study	HT	0.4	345.3	18.4	1.3	1	12	100	CM1-1a:LP-DIR-T	u	853	698	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-1	pmagpy-3.4.1: demag_gui.v.3.0	CM1-1a
This study	LT	71.5	171.5	37.5	3.6	2	4	-1	CM1-2a:LP-DIR-T	u	473	273	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-2	pmagpy-3.4.1: demag_gui.v.3.0	CM1-2a
This study	HT	0.8	229.1	-40.7	2.0	2	11	-1	CM1-2a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-2	pmagpy-3.4.1: demag_gui.v.3.0	CM1-2a
This study	LT	71.5	256.0	77.0	3.6	2	4	0	CM1-2a:LP-DIR-T	u	473	273	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-2	pmagpy-3.4.1: demag_gui.v.3.0	CM1-2a
This study	HT	0.8	322.9	-9.5	2.0	2	11	0	CM1-2a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CM1-2	pmagpy-3.4.1: demag_gui.v.3.0	CM1-2a
This study	LT	71.5	194.7	54.7	3.6	2	4	100	CM1-2a:LP-DIR-T	u	473	273	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-2	pmagpy-3.4.1: demag_gui.v.3.0	CM1-2a
This study	HT	0.8	321.7	18.3	2.0	2	11	100	CM1-2a:LP-DIR-T	u	853	723	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CM1-2	pmagpy-3.4.1: demag_gui.v.3.0	CM1-2a
This study	LT	67.4	196.9	15.0	11.7	2	4	-1	CM1-3a:LP-DIR-T	u	573	77	K	LP-DIR-T:DE-BFL:DA-DIR	g	CM1-3	pmagpy-3.4.1: demag_gui.v.3.0	CM1-3a
