tab 	samples
azimuth	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lat	lithologies	lon	method_codes	sample	site
347.5	31.8	171.9	This study	-30	Extrusive	Lava Flow	1.5	47.723034	Andesite	274.04782	SO-CMD-NORTH	CM1-1	CM1
107.4	31.8	171.9	This study	-41	Extrusive	Lava Flow	2.1	47.723034	Andesite	274.04782	SO-CMD-NORTH	CM1-2	CM1
141.5	31.8	171.9	This study	-57	Extrusive	Lava Flow	2.9	47.723034	Andesite	274.04782	SO-CMD-NORTH	CM1-3	CM1
142.8	31.8	171.9	This study	-40	Extrusive	Lava Flow	3.0	47.723034	Andesite	274.04782	SO-CMD-NORTH	CM1-4	CM1
137.1	31.8	171.9	This study	-49	Extrusive	Lava Flow	3.1	47.723034	Andesite	274.04782	SO-CMD-NORTH	CM1-5	CM1
142.1	31.8	171.9	This study	-65	Extrusive	Lava Flow	4.8	47.723034	Andesite	274.04782	SO-CMD-NORTH	CM1-6	CM1
154.5	31.8	171.9	This study	-60	Extrusive	Lava Flow	5.3	47.723034	Andesite	274.04782	SO-CMD-NORTH	CM1-7	CM1
179.2	31.8	171.9	This study	-67	Extrusive	Lava Flow	5.5	47.723034	Andesite	274.04782	SO-CMD-NORTH	CM1-8	CM1
321.4	25.5	177.7	This study	-24	Extrusive	Lava Flow	1.7	47.718964	Andesite	274.04413	SO-CMD-NORTH	CM2-1	CM2
54.4	25.5	177.7	This study	-28	Extrusive	Lava Flow	4.4	47.718964	Andesite	274.04413	SO-CMD-NORTH	CM2-2	CM2
336.8	25.5	177.7	This study	-21	Extrusive	Lava Flow	7.8	47.718964	Andesite	274.04413	SO-CMD-NORTH	CM2-3	CM2
359.3	25.5	177.7	This study	-23	Extrusive	Lava Flow	11.2	47.718964	Andesite	274.04413	SO-CMD-NORTH	CM2-4	CM2
6.1	25.5	177.7	This study	-23	Extrusive	Lava Flow	17.0	47.718964	Andesite	274.04413	SO-CMD-NORTH	CM2-5	CM2
321.0	25.5	177.7	This study	-27	Extrusive	Lava Flow	15.7	47.718964	Andesite	274.04413	SO-CMD-NORTH	CM2-6	CM2
199.3	25.5	177.7	This study	-27	Extrusive	Lava Flow	15.9	47.718964	Andesite	274.04413	SO-CMD-NORTH	CM2-7	CM2
352.8	25.5	177.7	This study	-24	Extrusive	Lava Flow	15.4	47.718964	Andesite	274.04413	SO-CMD-NORTH	CM2-8	CM2
34.6	25.5	177.7	This study	-22	Extrusive	Lava Flow	14.9	47.718964	Andesite	274.04413	SO-CMD-NORTH	CM2-9	CM2
18.5	17.0	132.0	This study	-30	Extrusive	Lava Flow	0.8	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB01.1	SLB01
11.7	17.0	132.0	This study	-86	Extrusive	Lava Flow	0.7	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB01.2	SLB01
15.8	17.0	132.0	This study	-38	Extrusive	Lava Flow	0.4	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB01.3	SLB01
358.4	17.0	132.0	This study	-30	Extrusive	Lava Flow	0.5	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB01.4	SLB01
63.5	17.0	132.0	This study	-30	Extrusive	Lava Flow	1.3	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB01.5	SLB01
44.0	17.0	132.0	This study	-35	Extrusive	Lava Flow	1.7	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB01.6	SLB01
34.3	17.0	132.0	This study	-53	Extrusive	Lava Flow	3.0	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB01.7	SLB01
39.6	17.0	132.0	This study	-65	Extrusive	Lava Flow	2.5	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB01.8	SLB01
32.2	17.0	132.0	This study	-51	Extrusive	Lava Flow	3.2	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB01.9	SLB01
51.6	17.0	132.0	This study	-91	Extrusive	Lava Flow	6.3	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB02.1	SLB02
70.6	17.0	132.0	This study	-35	Extrusive	Lava Flow	7.3	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB02.2	SLB02
41.1	17.0	132.0	This study	-52	Extrusive	Lava Flow	10.0	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB02.3	SLB02
31.3	17.0	132.0	This study	-89	Extrusive	Lava Flow	10.5	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB02.4	SLB02
39.2	17.0	132.0	This study	-48	Extrusive	Lava Flow	14.8	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB02.5	SLB02
35.0	17.0	132.0	This study	-53	Extrusive	Lava Flow	14.8	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB02.6	SLB02
29.3	17.0	132.0	This study	-56	Extrusive	Lava Flow	14.9	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB02.7	SLB02
28.6	17.0	132.0	This study	-42	Extrusive	Lava Flow	15.0	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB02.8	SLB02
33.4	17.0	132.0	This study	-66	Extrusive	Lava Flow	15.2	47.53669	Basalt	269.06	SO-CMD-NORTH	SLB02.9	SLB02
23.2	17.0	132.0	This study	-74	Extrusive	Lava Flow	0.6	47.534389	Basalt	269.065	SO-CMD-NORTH	SLB03.1	SLB03
27.2	17.0	132.0	This study	-75	Extrusive	Lava Flow	0.5	47.534389	Basalt	269.065	SO-CMD-NORTH	SLB03.2	SLB03
27.1	17.0	132.0	This study	-72	Extrusive	Lava Flow	0.6	47.534389	Basalt	269.065	SO-CMD-NORTH	SLB03.3	SLB03
44.4	17.0	132.0	This study	-46	Extrusive	Lava Flow	0.4	47.534389	Basalt	269.065	SO-CMD-NORTH	SLB03.4	SLB03
47.0	17.0	132.0	This study	-45	Extrusive	Lava Flow	0.4	47.534389	Basalt	269.065	SO-CMD-NORTH	SLB03.5	SLB03
161.0	17.0	132.0	This study	-21	Extrusive	Lava Flow	0.7	47.534389	Basalt	269.065	SO-CMD-NORTH	SLB03.6	SLB03
96.5	17.0	132.0	This study	-91	Extrusive	Lava Flow	0.6	47.534389	Basalt	269.065	SO-CMD-NORTH	SLB03.7	SLB03
97.2	17.0	132.0	This study	-87	Extrusive	Lava Flow	0.6	47.534389	Basalt	269.065	SO-CMD-NORTH	SLB03.8	SLB03
57.7	17.0	132.0	This study	-8	Extrusive	Lava Flow	0.9	47.534168	Basalt	269.06516	SO-CMD-NORTH	SLB04.1	SLB04
14.7	17.0	132.0	This study	-11	Extrusive	Lava Flow	0.9	47.534168	Basalt	269.06516	SO-CMD-NORTH	SLB04.2	SLB04
206.5	17.0	132.0	This study	-5	Extrusive	Lava Flow	0.7	47.534168	Basalt	269.06516	SO-CMD-NORTH	SLB04.3	SLB04
277.0	17.0	132.0	This study	-6	Extrusive	Lava Flow	0.7	47.534168	Basalt	269.06516	SO-CMD-NORTH	SLB04.4	SLB04
295.4	17.0	132.0	This study	-28	Extrusive	Lava Flow	1.1	47.534168	Basalt	269.06516	SO-CMD-NORTH	SLB04.5	SLB04
