tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_inc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
1.0835e+03	5.0000e-01	Ma	6.6	325.6	-7.5	71	47.7230	-85.9522	8	8	0	7.9009	i		This study	Michipicoten Island	CM1	CM1-1a:CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-6a:CM1-7a:CM1-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: CM1	HT	Site VGP, coord system = 100 component: LT	0	6.6	3.3	30.3	134.8	8
1.0835e+03	5.0000e-01	Ma		148.1	14.3		47.7230	-85.9522	1	1	0		i		This study	Michipicoten Island	CM1	CM1-2a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.1	ACCEPT	VGP Site: CM1	MT	Site VGP, coord system = 100 component: LT	0	184.3	94.3	-28.2	310.6	1
1.0835e+03	5.0000e-01	Ma	11.8	323.2	75.7	33	47.7230	-85.9522	6	6	0	5.8487	i		This study	Michipicoten Island	CM1	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: CM1	LT	Site VGP, coord system = 100 component: LT	0	21.7	19.9	64.7	234.6	6
1.0835e+03	5.0000e-01	Ma	6.6	323.8	21.0	71	47.7230	-85.9522	8	8	0	7.9013	i		This study	Michipicoten Island	CM1	CM1-1a:CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-6a:CM1-7a:CM1-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: CM1	HT	Site VGP, coord system = 100 component: LT	100	6.9	3.7	42.3	145.7	8
1.0835e+03	5.0000e-01	Ma		148.0	-14.9		47.7230	-85.9522	1	1	0		i		This study	Michipicoten Island	CM1	CM1-2a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4	pmagpy-3.4.1	ACCEPT	VGP Site: CM1	MT	Site VGP, coord system = 100 component: LT	100	184.6	94.7	-41.5	318.6	1
1.0835e+03	5.0000e-01	Ma	11.8	191.8	69.7	33	47.7230	-85.9522	6	6	0	5.8488	i		This study	Michipicoten Island	CM1	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: CM1	LT	Site VGP, coord system = 100 component: LT	100	20.2	17.3	11.7	266.9	6
1.0835e+03	5.0000e-01	Ma	1.6	303.3	-9.0	1050	47.7190	-85.9559	9	9	0	8.9924	i		This study	Michipicoten Island	CM2	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: CM2	HT	Site VGP, coord system = 100 component: LT	0	1.6	0.8	18.0	155.2	9
1.0835e+03	5.0000e-01	Ma	1.6	303.8	6.1	1035	47.7190	-85.9559	9	9	0	8.9923	i		This study	Michipicoten Island	CM2	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: CM2	HT	Site VGP, coord system = 100 component: LT	100	1.6	0.8	24.4	159.7	9
1.0835e+03	5.0000e-01	Ma	3.8	274.8	16.7	217	47.7239	-85.6483	8	8	0	7.9678	i		This study	Michipicoten Island	SS1	SS1-1a:SS1-2a:SS1-3a:SS1-4a:SS1-5a:SS1-6a:SS1-7a:SS1-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS1	HT	Site VGP, coord system = 100 component: LT	0	3.9	2.0	9.5	186.6	8
1.0835e+03	5.0000e-01	Ma		15.4	56.5		47.7239	-85.6483	1	1	0		i		This study	Michipicoten Island	SS1	SS1-3a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.1	ACCEPT	VGP Site: SS1	LT	Site VGP, coord system = 100 component: LT	0	260.2	188.1	74.5	42.0	1
1.0835e+03	5.0000e-01	Ma	3.8	273.0	0.6	219	47.7239	-85.6483	8	8	0	7.9680	i		This study	Michipicoten Island	SS1	SS1-1a:SS1-2a:SS1-3a:SS1-4a:SS1-5a:SS1-6a:SS1-7a:SS1-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS1	HT	Site VGP, coord system = 100 component: LT	100	3.8	1.9	2.2	182.3	8
1.0835e+03	5.0000e-01	Ma		342.6	67.4		47.7239	-85.6483	1	1	0		i		This study	Michipicoten Island	SS1	SS1-3a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4	pmagpy-3.4.1	ACCEPT	VGP Site: SS1	LT	Site VGP, coord system = 100 component: LT	100	299.7	249.5	78.3	203.2	1
1.0835e+03	5.0000e-01	Ma	3.6	297.1	7.4	244	47.7233	-85.6489	8	8	0	7.9713	i		This study	Michipicoten Island	SS10	SS10-1a:SS10-2a:SS10-3a:SS10-4a:SS10-5a:SS10-6a:SS10-7a:SS10-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS10	HT	Site VGP, coord system = 100 component: LT	0	3.6	1.8	20.7	166.1	8
1.0835e+03	5.0000e-01	Ma	3.5	296.5	-2.9	247	47.7233	-85.6489	8	8	0	7.9717	i		This study	Michipicoten Island	SS10	SS10-1a:SS10-2a:SS10-3a:SS10-4a:SS10-5a:SS10-6a:SS10-7a:SS10-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS10	HT	Site VGP, coord system = 100 component: LT	100	3.5	1.8	16.3	163.1	8
1.0835e+03	5.0000e-01	Ma	3.1	298.5	9.4	315	47.7238	-85.6495	8	8	0	7.9778	i		This study	Michipicoten Island	SS11	SS11-1a:SS11-2a:SS11-3a:SS11-4a:SS11-5a:SS11-6a:SS11-7a:SS11-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS11	HT	Site VGP, coord system = 100 component: LT	0	3.1	1.6	22.4	165.7	8
1.0835e+03	5.0000e-01	Ma	3.1	297.2	-0.7	312	47.7238	-85.6495	8	8	0	7.9776	i		This study	Michipicoten Island	SS11	SS11-1a:SS11-2a:SS11-3a:SS11-4a:SS11-5a:SS11-6a:SS11-7a:SS11-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SS11	HT	Site VGP, coord system = 100 component: LT	100	3.1	1.6	17.6	163.3	8
