tab 	sites
age	age_high	age_low	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	result_quality	result_type	samples	site	software_packages	specimens	vgp_dm	vgp_dp	vgp_lat	vgp_lon
27	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	3.8	hem	275.2	12.2	186.0	9	9	9	0	t	8.9571	0	Extrusive	Lava Flow	4.3	47.53669	Basalt	Two Island River	269.06	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB02.1:SLB02.2:SLB02.3:SLB02.4:SLB02.5:SLB02.6:SLB02.7:SLB02.8:SLB02.9	SLB02	pmagpy-3.4.1: demag_gui.v.3.0	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	3.9	2.0	8.1	179.4
27	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	4.0	mag	278.1	14.3	166.0	9	9	9	0	t	8.9518	0	Extrusive	Lava Flow	4.3	47.53669	Basalt	Two Island River	269.06	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB02.1:SLB02.2:SLB02.3:SLB02.4:SLB02.5:SLB02.6:SLB02.7:SLB02.8:SLB02.9	SLB02	pmagpy-3.4.1: demag_gui.v.3.0	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	4.1	2.1	10.8	178.0
27	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	3.8	hem	271.6	25.5	187.0	9	9	9	0	t	8.9572	100	Extrusive	Lava Flow	4.3	47.53669	Basalt	Two Island River	269.06	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB02.1:SLB02.2:SLB02.3:SLB02.4:SLB02.5:SLB02.6:SLB02.7:SLB02.8:SLB02.9	SLB02	pmagpy-3.4.1: demag_gui.v.3.0	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	4.1	2.2	10.9	187.1
27	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	4.0	mag	274.2	28.1	165.0	9	9	9	0	t	8.9516	100	Extrusive	Lava Flow	4.3	47.53669	Basalt	Two Island River	269.06	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB02.1:SLB02.2:SLB02.3:SLB02.4:SLB02.5:SLB02.6:SLB02.7:SLB02.8:SLB02.9	SLB02	pmagpy-3.4.1: demag_gui.v.3.0	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	4.4	2.4	13.8	186.3
28	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	4.7	hem	296.3	35.5	142.0	8	8	8	0	t	7.9506	0	Extrusive	Lava Flow	68.7	47.53439	Basalt	Two Island River	269.065	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB03.1:SLB03.2:SLB03.3:SLB03.4:SLB03.5:SLB03.6:SLB03.7:SLB03.8	SLB03	pmagpy-3.4.1: demag_gui.v.3.0	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	5.4	3.1	32.0	173.6
28	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	3.9	mag	295.0	35.3	201.0	8	8	8	0	t	7.9651	0	Extrusive	Lava Flow	68.7	47.53439	Basalt	Two Island River	269.065	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB03.1:SLB03.2:SLB03.3:SLB03.4:SLB03.5:SLB03.6:SLB03.7:SLB03.8	SLB03	pmagpy-3.4.1: demag_gui.v.3.0	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	4.5	2.6	31.0	174.5
28	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	4.7	hem	291.2	51.7	142.0	8	8	8	0	n	7.9508	100	Extrusive	Lava Flow	68.7	47.53439	Basalt	Two Island River	269.065	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB03.1:SLB03.2:SLB03.3:SLB03.4:SLB03.5:SLB03.6:SLB03.7:SLB03.8	SLB03	pmagpy-3.4.1: demag_gui.v.3.0	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	6.4	4.4	36.9	188.8
28	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	3.9	mag	289.5	51.3	204.0	8	8	8	0	n	7.9656	100	Extrusive	Lava Flow	68.7	47.53439	Basalt	Two Island River	269.065	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	SLB03.1:SLB03.2:SLB03.3:SLB03.4:SLB03.5:SLB03.6:SLB03.7:SLB03.8	SLB03	pmagpy-3.4.1: demag_gui.v.3.0	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	5.3	3.6	35.6	189.6
29	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	2.9	hem	295.9	37.7	357.0	8	8	8	0	t	7.9804	0	Extrusive	Lava Flow	76.4	47.53417	Basalt	Two Island River	269.06516	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB04.1:SLB04.2:SLB04.3:SLB04.4:SLB04.5:SLB04.6:SLB04.7:SLB04.8	SLB04	pmagpy-3.4.1: demag_gui.v.3.0	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	3.4	2.0	32.8	175.2
29	1091.61	1086.0	2280.0	Ma	Fairchild:Swanson-Hysell:Sprain	This study	ACCEPT	Site direction included in results table	2.7	mag	297.8	37.0	430.0	8	8	8	0	t	7.9837	0	Extrusive	Lava Flow	76.4	47.53417	Basalt	Two Island River	269.06516	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	SLB04.1:SLB04.2:SLB04.3:SLB04.4:SLB04.5:SLB04.6:SLB04.7:SLB04.8	SLB04	pmagpy-3.4.1: demag_gui.v.3.0	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	3.2	1.9	33.7	173.3
