tab 	pmag_sites
er_analyst_mail_names	er_citation_names	er_location_name	er_site_name	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_direction_type	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
	This study	Michipicoten Island	CM1	CM1-1a:CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-6a:CM1-7a:CM1-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	6.6	HT	325.6	Site direction included in results table		-7.5	1.0835e+03	5.0000e-01	Ma	71	8	8	0		7.9009	0
	This study	Michipicoten Island	CM1	CM1-2a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.1	ACCEPT		MT	148.1	Site direction included in results table	l	14.3	1.0835e+03	5.0000e-01	Ma		1	1	0			0
	This study	Michipicoten Island	CM1	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	11.8	LT	323.2	Site direction included in results table		75.7	1.0835e+03	5.0000e-01	Ma	33	6	6	0		5.8487	0
	This study	Michipicoten Island	CM1	CM1-1a:CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-6a:CM1-7a:CM1-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	6.6	HT	323.8	Site direction included in results table		21.0	1.0835e+03	5.0000e-01	Ma	71	8	8	0		7.9013	100
	This study	Michipicoten Island	CM1	CM1-2a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT		MT	148.0	Site direction included in results table	l	-14.9	1.0835e+03	5.0000e-01	Ma		1	1	0			100
	This study	Michipicoten Island	CM1	CM1-2a:CM1-3a:CM1-4a:CM1-5a:CM1-7a:CM1-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	11.8	LT	191.8	Site direction included in results table		69.7	1.0835e+03	5.0000e-01	Ma	33	6	6	0		5.8488	100
	This study	Michipicoten Island	CM2	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	1.6	HT	303.3	Site direction included in results table		-9.0	1.0835e+03	5.0000e-01	Ma	1050	9	9	0		8.9924	0
	This study	Michipicoten Island	CM2	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	1.6	HT	303.8	Site direction included in results table		6.1	1.0835e+03	5.0000e-01	Ma	1035	9	9	0		8.9923	100
	This study	Michipicoten Island	SS1	SS1-1a:SS1-2a:SS1-3a:SS1-4a:SS1-5a:SS1-6a:SS1-7a:SS1-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	3.8	HT	274.8	Site direction included in results table		16.7	1.0835e+03	5.0000e-01	Ma	217	8	8	0		7.9678	0
	This study	Michipicoten Island	SS1	SS1-3a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.1	ACCEPT		LT	15.4	Site direction included in results table	l	56.5	1.0835e+03	5.0000e-01	Ma		1	1	0			0
	This study	Michipicoten Island	SS1	SS1-1a:SS1-2a:SS1-3a:SS1-4a:SS1-5a:SS1-6a:SS1-7a:SS1-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	3.8	HT	273.0	Site direction included in results table		0.6	1.0835e+03	5.0000e-01	Ma	219	8	8	0		7.9680	100
	This study	Michipicoten Island	SS1	SS1-3a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT		LT	342.6	Site direction included in results table	l	67.4	1.0835e+03	5.0000e-01	Ma		1	1	0			100
	This study	Michipicoten Island	SS10	SS10-1a:SS10-2a:SS10-3a:SS10-4a:SS10-5a:SS10-6a:SS10-7a:SS10-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	3.6	HT	297.1	Site direction included in results table		7.4	1.0835e+03	5.0000e-01	Ma	244	8	8	0		7.9713	0
	This study	Michipicoten Island	SS10	SS10-1a:SS10-2a:SS10-3a:SS10-4a:SS10-5a:SS10-6a:SS10-7a:SS10-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	3.5	HT	296.5	Site direction included in results table		-2.9	1.0835e+03	5.0000e-01	Ma	247	8	8	0		7.9717	100
	This study	Michipicoten Island	SS11	SS11-1a:SS11-2a:SS11-3a:SS11-4a:SS11-5a:SS11-6a:SS11-7a:SS11-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	3.1	HT	298.5	Site direction included in results table		9.4	1.0835e+03	5.0000e-01	Ma	315	8	8	0		7.9778	0
	This study	Michipicoten Island	SS11	SS11-1a:SS11-2a:SS11-3a:SS11-4a:SS11-5a:SS11-6a:SS11-7a:SS11-8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	3.1	HT	297.2	Site direction included in results table		-0.7	1.0835e+03	5.0000e-01	Ma	312	8	8	0		7.9776	100
	This study	Michipicoten Island	SS12	SS12-1a:SS12-2a:SS12-3a:SS12-4a:SS12-5a:SS12-6a:SS12-7a:SS12-8a:SS12-9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	12.2	HT	296.8	Site direction included in results table		20.1	1.0835e+03	5.0000e-01	Ma	19	9	9	0		8.5742	0
	This study	Michipicoten Island	SS12	SS12-8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	pmagpy-3.4.1	ACCEPT		LT	2.6	Site direction included in results table	l	74.7	1.0835e+03	5.0000e-01	Ma		1	1	0			0
	This study	Michipicoten Island	SS12	SS12-1a:SS12-2a:SS12-3a:SS12-4a:SS12-5a:SS12-6a:SS12-7a:SS12-8a:SS12-9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	pmagpy-3.4.1	ACCEPT	12.2	HT	292.4	Site direction included in results table		9.2	1.0835e+03	5.0000e-01	Ma	19	9	9	0		8.5736	100
