tab delimited	contribution																	
magic_version																		
3																		
>>>>>>>>>>																		
tab delimited	locations																	
location	sites	location_type	result_name	result_type	method_codes	citations	geologic_classes	lithologies	plate_blocks	tectonic_settings	lat_s	lat_n	lon_w	lon_e	continent_ocean	country	region	
Ironwood	K01 : K02 : K06 : K07 : K98 : K09 : K12 : K13 : K20 : K21 : K86 : K87 : K46 : K48					This study	Extrusive	Basalt	North American Plate	Continental Rift	46.5	46.5	-90.2	-90.0	North America			
Grand Portage	K30 : K31 : K33 : K34 : K35 : K36 : K37 : K38 : K39 : K40 : K42					This study	Extrusive	Basalt	North American Plate	Continental Rift	47.9	47.9	-89.7	-89.7	North America			
>>>>>>>>>>																		
tab delimited	sites																	
site	location	result_type	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_polarity	vgp_lat	vgp_lon
K01	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.0	100	97.0	-77.5	14.0	43.8	4	r	44.2	235.9
K02	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.0	100	58.0	-79	20.4	37.6	3	r	33.0	248.5
K06	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.0	100	57.0	-64	8.4	84.1	5	r	14.9	232.7
K07	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.0	100	55.0	-74.5	14.4	29.2	5	r	26.3	243.7
K98	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.1	100	73.0	-80	8.2	88.4	5	r	38.1	246.1
K09	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.1	100	72.0	-67.5	12.5	38.3	5	r	25.0	227.9
K12	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.1	100	90.5	-71.5	23.7	16.0	4	r	37.3	225.5
K13	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.1	100	84.0	-54	11.4	46.0	5	r	20.6	208.8
K20	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.1	100	69.9	-63.5	12.1	58.9	4	r	20.3	224.9
K21	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.1	100	123.0	-69	6.3	150.4	5	r	53.5	210.8
K86	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.1	100	34.0	-75.5	5.5	281.0	4	r	22.5	253.8
K87	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.1	100	49.0	-65.5	20.8	20.4	4	r	13.4	238.4
K46	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.2	100	69.5	-75.5	19.3	23.7	4	r	32.2	239.2
K48	Ironwood	i		This study	Extrusive	Lava Flow	Basalt	46.5	-90.2	100	79.0	-64.5	15.7	35.4	4	r	25.7	221.0
K30	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	113.6	-63.3	12.5	55.2	4	r	45.5	202.3
K31	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	116.6	-62.8	4.6	393.1	4	r	47.1	200.0
K33	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	105.5	-55.6	11.9	42.4	5	r	35.6	197.1
K34	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	116.5	-55.3	14.0	44.0	4	r	42.6	190.0
K35	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	128.1	-66.7	4.3	323.5	5	r	56.3	202.5
K36	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	117.9	-54.6	8.3	85.2	5	r	43.1	188.3
K37	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	114.7	-64.3	3.3	542.8	5	r	46.8	203.3
K38	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	96.6	-49.9	12.7	32.3	5	r	26.4	197.8
K39	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	127.1	-64.9	5.0	235.8	5	r	54.9	198.9
K40	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	124.4	-59.2	5.6	188.6	5	r	50.1	190.1
K42	Grand Portage	i		This study	Extrusive	Lava Flow	Basalt	47.9	-89.7	100	76.2	-71.9	4.8	255.0	5	r	32.2	231.4
