tab 	sites
bed_dip	bed_dip_direction	citations	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	vgp_lat	vgp_lon
10	135	This study	289.8	43.6	517	5	n	100	Extrusive	Lava Flow	48.626429	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.894142	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	1	31.65155202	185.5745062
10	135	This study	293.1	34.5	517	5	n	0	Extrusive	Lava Flow	48.626429	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.894142	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	1		
12	140	This study	285.7	42	243	5	n	100	Extrusive	Lava Flow	48.637185	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.913846	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	2	28.11008553	187.514758
12	140	This study	290.6	31.9	243	5	n	0	Extrusive	Lava Flow	48.637185	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.913846	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	2		
14	146	This study	307.4	37.9	2485	5	n	100	Extrusive	Lava Flow	48.640811	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.928039	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	3	40.26060376	167.8862917
14	146	This study	310	24.6	2485	5	n	0	Extrusive	Lava Flow	48.640811	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.928039	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	3		
12	135	This study	302.8	29.9	331	5	n	100	Extrusive	Lava Flow	48.655732	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.959099	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	4	33.46021472	167.4988097
12	135	This study	303.9	18.2	331	5	n	0	Extrusive	Lava Flow	48.655732	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.959099	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	4		
10	135	This study	294.7	42.5	130	5	n	100	Extrusive	Lava Flow	48.661489	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.958187	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	5	34.30926268	181.2568193
10	135	This study	297.3	33.1	130	5	n	0	Extrusive	Lava Flow	48.661489	Basalt	Osler Volcanics, Nipigon Strait, Upper Normal	271.958187	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	5		
28	131	This study	106.1	-44.2	70	5	r	100	Extrusive	Lava Flow	48.661051	Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed	271.948459	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	6	29.54088872	188.6533022
20	149	This study	109.8	-62.4	351	6	r	100	Extrusive	Lava Flow	48.678061	Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed	271.97532	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	7	42.90020395	203.8166221
20	149	This study	124.5	-45.3	351	6	r	0	Extrusive	Lava Flow	48.678061	Basalt	Osler Volcanics, Nipigon Strait, Lower Reversed	271.97532	DE-K:FS-FD:FS-H:LP-DC2:SO-SM:DE-DI:FS-LOC-GOOGLE	i	7		
