,PoleName,SLat,SLon,PLat,PLon,A95,K,N,PolarityZone,PmagRef,AgeNominal,AgeLower,AgeUpper,AgeInfo,AgeRef,Gaussian_2sigma,GaussianOrUniform,Q,color
Western_Channel,Western Channel Diabase,66.4,242.2,9,245,6.6,,35,,"Irving,E., Donaldson,J.A., Park,J.K., 1972",1590,1587,1593,,,,,,
StFrancois,St.Francois Mountains Acidic Rocks,37.5,269.5,-13.2,219,6.1,,18,,"Meert, J.G., Stuckey, W., 2002",1476,1460,1492,,,,,,
Michikamau,Michikamau Intrusion Combined,54.5,296,-1.5,217.5,4.7,,12,,"Emslie,R.F., Irving,E., Park,J.K., 1976",1460,1455,1465,,,,,,
Tobacco_Root,Tobacco Root Dykes - A combined,47.4,247.6,8.7,216.1,10.5,,14,,"Harlan, S.S., Geissman, J.W., Snee, L.W., 2008",1448,1399,1497,,,,,,
Purcell,Purcell Lava,49.4,245.1,-23.6,215.6,4.8,,10,,"Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K., 2002",1443,1436,1450,,,,,,
RockyM_Intrusions,MEAN Rocky Mountain intrusions,40.3,253.8,-11.9,217.4,9.7,,58,,"LULEA WORKING GROUP MEAN, 2009",1430,1415,1445,,,,,,
Mistastin,Mistastin Pluton,55.6,296.3,-1,201.5,7.6,,7,,"Fahrig,W.F., Jones,D.L., 1976",1425,1400,1450,,,,,,
Nain,Nain Anorthosite,56.5,298.2,11.7,206.7,2.2,,21,,"Murthy,G.S., 1978",1305,1290,1320,,,,,,
Mackenzie,Mackenzie dykes grand mean,65,250,4,190,5,,5,,"Buchan et al., 2000",1267,1265,1269,,,,,,
Sudbury,Sudbury Dykes Combined,46.3,278.6,-2.5,192.8,2.5,,52,,"Palmer,H.C., Merz,B.A., Hayatsu,A., 1977",1237,1232,1242,,,,,,
Lamp_dikes,Lamprophyre dikes,48.8,273.3,58,223.3,9.2,37.8,19,multiple polarity,"Piispa et al., 2018",1144,1130,1155,U-Pb perovskite and Ar-Ar phlogopite dates,Queen et al. (1996),,,,
Abitibi_dikes,Abitibi dykes,48,279,44.4,211.4,13.5,,8,multiple polarity,Ernst and Buchan (1993) and Halls et al. (2005) as calculated in Piispa et al. 2018,1141,1139,1143,U-Pb date on baddeleyite,Krogh et al. 1987,,,,
Osler_R1,Osler reverse (lower),48.8,272.34,40.9,218.6,4.8,31.5,30,Alona Bay reversed-polarity zone,"Swanson-Hysell et al., 2014b",1108,1105.15,1110,"Older than 1105.15 $\pm$ 0.33 Ma Osler reverse (upper) pole, perhaps similar in age in Logan Sills ($^{\mathrm{207}}$Pb/$^{\mathrm{206}}$Pb date of 1109 $\pm$ 1 Ma)","Davis and Sutcliffe, 1985; this study",,uniform,7,#B82431
Osler_R2,Osler reverse (upper),48.59,271.81,42.3,203.4,3.7,24.4,64,Alona Bay reversed-polarity zone,"Halls, 1974; Swanson-Hysell et al., 2014b; this study",1105.15,1104.82,1105.48,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date of 1105.15 $\pm$ 0.33 Ma for a rhyolite at Agate Point (this study),this study,0.33,gaussian,7,#F2A07E
MP_lowerR1,Mamainse lower reversed 1,47.1,275.29,49.5,227,5.3,31.7,24,Alona Bay reversed-polarity zone,"Swanson-Hysell et al., 2014a",1109,1106,1112,Likely older than ca. 1105 Ma given distinct higher latitude pole position from Osler R1 and similar position to ca. 1107 Ma Siemens Creek Volcanic Pole,,,uniform,7,#930E26
MP_lowerR2,Mamainse lower reversed 2,47.09,275.27,37.5,205.2,4.5,78.6,14,Alona Bay reversed-polarity zone,"Swanson-Hysell, 2014a",1105,1100.4,1109,Older than $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date of 1100.4 Ma based on stratigraphic position; likely ca. 1105 Ma based on comparison with paleomagnetic data from the Osler Volcanic Group,"Swanson-Hysell, 2014a",,uniform,7,#F8C1A6
MP_lowerNupperR,Mamainse lower normal and upper reversed,47.07,275.26,36.1,189.7,4.9,37.3,24,Flour Bay normal and reversed polarity zones,"Swanson-Hysell, 2014a",1100.36,1100.1,1100.61,Age constrained by $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date of 1100.36 $\pm$ 0.25 Ma on Flour Bay tuff,"Swanson-Hysell, 2014a",0.25,gaussian,7,#6A579A
MP_upperN,Mamainse upper normal,47.06,275.25,31.2,183.2,2.5,94.4,34,Portage Lake normal-polarity zone,"Swanson-Hysell, 2014a",1094,1090,1100,Likely ca. 1094 Ma based on similar pole position to the Portage Lake Polarity Zone upper NE limb North Shore Volcanic Group poles,,,uniform,7,#3B7185
Grand Portage Basalts,Grand Portage Basalts,47.93,270.28,46,201.7,6.8,38.3,13,Alona Bay reversed-polarity zone,"Books, 1968; Tauxe and Kodama, 2009",1106,1105.28,1108,"Close to, but slightly older than, $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U 1105.60 $\pm$ 0.32 Ma based on date from Red Rock Rhyolite",this study,,uniform,5,#E0785F
NSVG_nneu,North Shore Volcanic Group (upper NE sequence),47.61,269.23,31.1,181.7,4.2,42.2,28,Portage Lake normal-polarity zone,"Books, 1972; Tauxe and Kodama, 2009",1095,1092,1098,"Younger than the the Devil's Kettle Rhyolite $^{\mathrm{207}}$Pb/$^{\mathrm{206}}$Pb date of 1097.7 $\pm$ 2.2 Ma, the new $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U 1093.38 $\pm$ 0.55 Ma date from the Grand Marais Rhyolite is near the top of the sequence with paleomagnetic data","Davis and Green, 1997; Fairchild et al., 2017",,uniform,6,#35474E
NSVG_nswu,North Shore Volcanic Group (upper SW sequence),47.2,268.5,36.9,179.3,2.1,56.8,78,Portage Lake normal-polarity zone,"Tauxe and Kodama, 2009; this study",1096.18,1093.94,1096.75,"$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date on 40th Ave. Icelandite (1096.75 $\pm$ 0.28) provides a lower bound, the $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date on the Two Harbors Icelandite is within the sequence (1096.18 $\pm$ 0.32) and the Palisade Rhyolite (1093.94 $\pm$ 0.28) provides an upper bound",this study,1.12,gaussian,6,#154F8D
SLB,Schroeder Lutsen Basalts,47.54,269.1,28.3,187.6,2.5,50.5,65,Portage Lake normal-polarity zone,"Books, 1972; Tauxe and Kodama, 2009; Fairchild et al., 2017",1090,1085,1091.5,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date of of 1091.48 $\pm$ 0.21 Ma on Beaver Bay Complex aplite provides maximum age constraint,"Fairchild et al., 2017",,uniform,6,#8DC2DC
PLV,Portage Lake Volcanics,47.29,271.59,27.5,182.5,2.3,48.7,78,Portage Lake normal-polarity zone,"Books, 1972; Hnat et al., 2006",1092.51,1091.59,1093.37,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U dates on Copper City flow 1093.37 $\pm$ 0.53 Ma and Greenstone Flow 1091.59 $\pm$ 0.27 Ma provide a lower and upper bound,this study,0.89,gaussian,6,#409BBE
LST,Lake Shore Traps,47.43,272.29,22.2,180.8,4.5,35,30,Portage Lake normal-polarity zone,"Diehl et al., 1994",1085.47,1084,1091,"Younger than Greenstone Flow, $^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U date on Lake Shore Trap andesitic flow of 1085.47 $\pm$ 0.32 Ma","Fairchild et al., 2017; this study",,uniform,6,#76C1C3
PM,Siemens Creek Volcanics,46.5,269.8,45.8,214,9.2,28.3,10,Alona Bay reversed-polarity zone,"Palmer and Halls, 1986",1108,1105,1111,Older than the $^{\mathrm{207}}$Pb/$^{\mathrm{206}}$Pb date of 1107.3 $\pm$ 1.6 Ma from a rhyolite in the Kallander Creek Volcanics,"Davis and Green, 1997",,uniform,6,#CD4F45
MI,Michipicoten Island Formation,47.7,274.15,17,174.7,4.4,48.2,23,Portage Lake normal-polarity zone,"Palmer and Davis, 1987); Fairchild et al. (2017)",1083.95,1083.52,1084.39,$^{\mathrm{206}}$Pb/$^{\mathrm{238}}$U dates on the West Sand Bay tuff 1084.39 $\pm$ 0.21 Ma and the Davieux Island Rhyolite 1083.52 $\pm$ 0.23 Ma bracket the VGPs,"Fairchild et al., 2017",0.44,gaussian,6,#9FD6BD
