tab 	sites
citations	dir_dec	dir_inc	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	site_alternatives	vgp_lat	vgp_lon
This study	284	33	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28798041	Basalt	Keweenaw Peninsula:Michigan	-88.40954543	LT-AF-Z	a	PL150		22.51950636	184.0980891
This study	284.2	19.9	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26585103	Basalt	Keweenaw Peninsula:Michigan	-88.41569905	LT-AF-Z	a	PL50	Iroquois Flow	17.13489983	178.1983954
This study	283.3	35.3	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.2807152	Basalt	Keweenaw Peninsula:Michigan	-88.41458184	LT-AF-Z	a	PL331		23.09785206	185.7672225
This study	294.7	38.2	3	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.35741186	Basalt	Keweenaw Peninsula:Michigan	-88.4218405	LT-AF-Z	a	PL344		32.19117618	179.004237
This study	290.9	24.8	3	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28373095	Basalt	Keweenaw Peninsula:Michigan	-88.40551631	LT-AF-Z	a	PL51	Osceola Flow	23.65177545	175.1587292
This study	286.8	21	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.27345896	Basalt	Keweenaw Peninsula:Michigan	-88.41489345	LT-AF-Z	a	PL330		19.33305326	176.6835764
This study	287.4	32.9	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26786732	Basalt	Keweenaw Peninsula:Michigan	-88.41888577	LT-AF-Z	a	PL52		24.77997804	181.5713987
This study	289.6	30.6	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26553697	Basalt	Keweenaw Peninsula:Michigan	-88.41828157	LT-AF-Z	a	PL323		25.25023144	178.8026426
This study	300.8	24.6	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26731901	Basalt	Keweenaw Peninsula:Michigan	-88.41727456	LT-AF-Z	a	PL53		30.17262227	167.1684944
This study	293	35	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26626227	Basalt	Keweenaw Peninsula:Michigan	-88.41348364	LT-AF-Z	a	PL324		29.53563072	178.5133619
This study	296.1	33.7	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.30666996	Basalt	Keweenaw Peninsula:Michigan	-88.35529607	LT-AF-Z	a	PL335	Kearsarge Flow	31.03063497	175.4645159
