tab delimited	contribution
data_model_version	reference
3.0	10.1130/G35271.1
>>>>>>>>>>
tab delimited	locations
location	location_type	citations	lat_s	lat_n	lon_w	lon_e	age_high	age_low	age_unit
Mamainse Point	Land Section	This study	47.0428	47.0988	275.2178	275.2877	1110	1090	Ma
>>>>>>>>>>
tab delimited	sites
site	location	result_type	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	height	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_tilt_correction	vgp_lat	vgp_lon
MP101(0.0 to 15.5)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0988	275.2877	68	131.6	-63.2	9.2	54	6	100	56.78	199.36
MP101(15.5 to 16.8)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0987	275.2876	84	146	-77.2	13.7	54	3	100	64.21	243.17
MP101(16.8 to 18.7)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0986	275.2876	85	120.3	-77.5	7.4	88	5	100	53.99	238.76
MP101(20.7 to 21.3)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0986	275.2875	89	141.5	-66.4	8.4	121	4	100	64.44	203.58
MP101(21.3 to 21.9)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0986	275.2874	89	126.6	-72.7	4.5	189	6	100	56.76	224.54
MP101(22.3 to 24.2)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0986	275.2874	90	122.6	-72.9	9.6	93	4	100	54.69	225.48
MP101(26.1 to 27.2)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0985	275.2874	94	108.9	-67.1	7.4	87	5	100	44.58	216.29
MP101(30.8 to 31.9)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0985	275.2874	99	128.9	-72.4	2.3	1895	3	100	57.95	223.51
MP101(31.9 to 36.7)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0984	275.2873	100	138.7	-70.7	5.5	337	3	100	63.3	217.86
MP101(36.7 to 37.4)	Mamainse Point	i	DE-BFL:FS-C-DRILL:SO-POM	This study	Extrusive:Igneous	Lava Flow	Basalt	47.0984	275.2873	105	125.8	-67.2	6.6	105	6	100	54.78	210.46
