tab 	er_samples												
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_declination_correction	sample_dip	sample_height	sample_lithology	sample_type
This study	Agate Point	AP1-1	AP1	SO-CMD-NORTH	210	13	160.3		0	-19	0.2		
This study	Agate Point	AP1-2	AP1	SO-CMD-NORTH	-61.4	13	160.3		0	-39	0.35		
This study	Agate Point	AP1-3	AP1	SO-CMD-NORTH	217.1	13	160.3		0	-20	0.4		
This study	Agate Point	AP1-4	AP1	SO-CMD-NORTH	-86.4	13	160.3		0	-19	0.5		
This study	Agate Point	AP1-5	AP1	SO-CMD-NORTH	223.1	13	160.3		0	-38	4		
This study	Agate Point	AP1-6	AP1	SO-CMD-NORTH	217.9	13	160.3		0	-38	4.2		
This study	Agate Point	AP1-7	AP1	SO-CMD-NORTH	230.6	13	160.3		0	-52	4.4		
This study	Agate Point	AP1-8	AP1	SO-CMD-NORTH	226.7	13	160.3		0	-50	4.4		
This study	Agate Point	AP2-1	AP2	SO-CMD-NORTH	206.2	13	160.3		0	-61	11.7		
This study	Agate Point	AP2-2	AP2	SO-CMD-NORTH	268.4	13	160.3		0	-30	11.8		
This study	Agate Point	AP2-3	AP2	SO-CMD-NORTH	24.4	13	160.3		0	-29	12		
This study	Agate Point	AP2-4	AP2	SO-CMD-NORTH	35.5	13	160.3		0	-27	12		
This study	Agate Point	AP2-5	AP2	SO-CMD-NORTH	-16.4	13	160.3		0	-22	12.4		
This study	Agate Point	AP2-6	AP2	SO-CMD-NORTH	-29.7	13	160.3		0	-20	12.8		
This study	Agate Point	AP2-7	AP2	SO-CMD-NORTH	-50.7	13	160.3		0	-29	13.5		
This study	Agate Point	AP2-8	AP2	SO-CMD-NORTH	135.3	13	160.3		0	-36	13.2		
This study	Agate Point	AP3-1	AP3	SO-CMD-NORTH	47.3	13	160.3		0	-79	36.4		
This study	Agate Point	AP3-2	AP3	SO-CMD-NORTH	88.3	13	160.3		0	-85	36.6		
This study	Agate Point	AP3-3	AP3	SO-CMD-NORTH	244.3	13	160.3		0	-12	38.8		
This study	Agate Point	AP3-4	AP3	SO-CMD-NORTH	250.3	13	160.3		0	-18	38.7		
This study	Agate Point	AP3-5	AP3	SO-CMD-NORTH	-14.7	13	160.3		0	-63	38.9		
This study	Agate Point	AP3-6	AP3	SO-CMD-NORTH	33.3	13	160.3		0	-33	38.8		
This study	Agate Point	AP3-7	AP3	SO-CMD-NORTH	26.3	13	160.3		0	-23	39.2		
This study	Agate Point	AP3-8	AP3	SO-CMD-NORTH	14.3	13	160.3		0	-28	39		
This study	Agate Point	AP4-1	AP4	SO-CMD-NORTH	209.3	13	160.3		0	-74	47.2		
This study	Agate Point	AP4-2	AP4	SO-CMD-NORTH	168.3	13	160.3		0	-82	47.4		
This study	Agate Point	AP4-3	AP4	SO-CMD-NORTH	169.3	13	160.3		0	-83	47.6		
This study	Agate Point	AP4-4	AP4	SO-CMD-NORTH	132.3	13	160.3		0	-64	47.9		
This study	Agate Point	AP4-5	AP4	SO-CMD-NORTH	133.3	13	160.3		0	-68	47.95		
This study	Agate Point	AP4-6	AP4	SO-CMD-NORTH	140.3	13	160.3		0	-73	48.1		
This study	Agate Point	AP4-7	AP4	SO-CMD-NORTH	131.3	13	160.3		0	-75	48.3		
This study	Agate Point	AP4-8	AP4	SO-CMD-NORTH	195.3	13	160.3		0	-96	48.4		
This study	Agate Point	AP5-1	AP5	SO-CMD-NORTH	-87.9	13	160.3		0	-89	60.1		
This study	Agate Point	AP5-2	AP5	SO-CMD-NORTH	198.2	13	160.3		0	-69	60.3		
This study	Agate Point	AP5-3	AP5	SO-CMD-NORTH	-67.2	13	160.3		0	-17	60.4		
This study	Agate Point	AP5-4	AP5	SO-CMD-NORTH	-26.6	13	160.3		0	-54	60.3		
This study	Agate Point	AP5-5	AP5	SO-CMD-NORTH	-71.3	13	160.3		0	-28	61.4		
This study	Agate Point	AP5-6	AP5	SO-CMD-NORTH	-48.5	13	160.3		0	-20	61.7		
This study	Agate Point	AP5-7	AP5	SO-CMD-NORTH	137.3	13	160.3		0	-12	61.9		
This study	Agate Point	AP5-8	AP5	SO-CMD-NORTH	78.7	13	160.3		0	-16	64.4		
This study	Puff Island	Puf1-1	Puf1	SO-CMD-NORTH	-76.3	11	159.1		0	-11	2.4		
This study	Puff Island	Puf1-2	Puf1	SO-CMD-NORTH	-89.4	11	159.1		0	-19	2.5		
This study	Puff Island	Puf1-3	Puf1	SO-CMD-NORTH	96.9	11	159.1		0	-9	2.3		
This study	Puff Island	Puf1-4	Puf1	SO-CMD-NORTH	7.3	11	159.1		0	-30	2.5		
This study	Puff Island	Puf1-5	Puf1	SO-CMD-NORTH	22.4	11	159.1		0	-36	2.6		
This study	Puff Island	Puf1-6	Puf1	SO-CMD-NORTH	-83.9	11	159.1		0	-12	2.6		
This study	Puff Island	Puf1-7	Puf1	SO-CMD-NORTH	-81.3	11	159.1		0	-21	2		
This study	Puff Island	Puf1-8	Puf1	SO-CMD-NORTH	-29.3	11	159.1		0	-23	1.6		
This study	Puff Island	Puf2-1	Puf2-	SO-CMD-NORTH	245.1	11	159.1		0	-54	5		
This study	Puff Island	Puf2-2	Puf2-	SO-CMD-NORTH	-22.9	11	159.1		0	-27	4.9		
This study	Puff Island	Puf2-3	Puf2-	SO-CMD-NORTH	145.1	11	159.1		0	-62	5.2		
This study	Puff Island	Puf2-4	Puf2-	SO-CMD-NORTH	151.2	11	159.1		0	-19	5.1		
This study	Puff Island	Puf2-5	Puf2-	SO-CMD-NORTH	215.2	11	159.1		0	-49	4.8		
This study	Puff Island	Puf2-6	Puf2-	SO-CMD-NORTH	193.1	11	159.1		0	-60	4.8		
This study	Puff Island	Puf2-7	Puf2-	SO-CMD-NORTH	194.1	11	159.1		0	-55	4.8		
