tab 	magic_measurements																							
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-04-19 12:23:18	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2	345		g	-76.1	2.01E-05	5	1	6.53E-07	2.77E-07	1.99E-07	u	273	0	0	573
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-04-25 11:57:50	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.5	345		g	-75.8	1.44E-05	6	1	5.63E-07	2.75E-07	2.39E-07	u	273	0	0	623
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-04-26 08:53:03	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.4	346.6		g	-76	1.29E-05	7	1	5.04E-07	2.33E-07	2.13E-07	u	273	0	0	673
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-04-26 16:21:58	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.6	342.7		g	-75.4	1.15E-05	8	1	4.71E-07	2.33E-07	1.81E-07	u	273	0	0	723
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-02 13:16:15	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.8	344.9		g	-75.6	1.03E-05	9	1	2.89E-07	1.70E-07	9.52E-08	u	273	0	0	748
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-02 19:39:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.1	344.5		g	-75.4	9.37E-06	10	1	3.06E-07	1.78E-07	1.42E-07	u	273	0	0	773
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-03 18:32:12	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2	344.7		g	-75.2	8.37E-06	11	1	2.36E-07	1.87E-07	1.11E-07	u	273	0	0	798
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-12 14:12:45	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.4	345.7		g	-75.6	7.03E-06	12	1	1.88E-07	2.37E-07	1.02E-07	u	273	0	0	823
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-16 11:53:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2	340.5		g	-75.8	5.84E-06	13	1	1.72E-07	1.16E-07	7.98E-08	u	273	0	0	833
This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-16 17:54:08	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.3	341.3		g	-75.5	4.74E-06	14	1	1.76E-07	8.85E-08	6.95E-08	u	273	0	0	843
