tab 	pmag_specimens																							
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-18 11:01:40	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	723	K		1	mag	u	1.3	304.9	l	g	-57.1	1.5	9	-1
	This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-18 11:01:40	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	723	K		1	mag	u	1.3	304.9	l	g	-57.1	1.5	9	0
	This study	Agate Point	AP1-1	AP1	AP1-1a	AP1-1a:LP-DIR-T	hargrave 2016-05-18 11:01:40	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.2	99.6	l	g	-73.2	1.6	11	100
	This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-18 11:03:19	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	623	K		1	mag	u	0.7	346.9	l	g	-75.9	1	11	-1
	This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-18 11:03:19	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	623	K		1	mag	u	0.7	346.9	l	g	-75.9	1	11	0
	This study	Agate Point	AP1-2	AP1	AP1-2a	AP1-2a:LP-DIR-T	hargrave 2016-05-18 11:03:19	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.7	100.8	l	g	-73.7	1	11	100
	This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-18 11:05:45	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	623	K		1	mag	u	1	313	l	g	-59.7	1.6	11	-1
	This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-18 11:05:45	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	623	K		1	mag	u	1	313	l	g	-59.7	1.6	11	0
	This study	Agate Point	AP1-3	AP1	AP1-3a	AP1-3a:LP-DIR-T	hargrave 2016-05-18 11:05:45	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	1	101.3	l	g	-78	1.6	11	100
	This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-18 11:07:17	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	623	K		1	mag	u	0.5	257	l	g	-78.6	0.9	11	-1
	This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-18 11:07:17	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	623	K		1	mag	u	0.5	257	l	g	-78.6	0.9	11	0
	This study	Agate Point	AP1-4	AP1	AP1-4a	AP1-4a:LP-DIR-T	hargrave 2016-05-18 11:07:17	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.5	92.8	l	g	-73.9	0.9	11	100
	This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-18 11:08:49	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	623	K		1	mag	u	0.4	316.1	l	g	-43.5	2.4	11	-1
	This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-18 11:08:49	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	623	K		1	mag	u	0.4	316.1	l	g	-43.5	2.4	11	0
	This study	Agate Point	AP1-5	AP1	AP1-5a	AP1-5a:LP-DIR-T	hargrave 2016-05-18 11:08:49	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.4	114.8	l	g	-70.3	2.4	11	100
	This study	Agate Point	AP1-6	AP1	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-18 11:10:25	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	623	K		1	mag	u	0.4	318.8	l	g	-42.9	0.9	11	-1
	This study	Agate Point	AP1-6	AP1	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-18 11:10:25	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	623	K		1	mag	u	0.4	318.8	l	g	-42.9	0.9	11	0
	This study	Agate Point	AP1-6	AP1	AP1-6a	AP1-6a:LP-DIR-T	hargrave 2016-05-18 11:10:25	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.4	110.6	l	g	-71.2	0.9	11	100
	This study	Agate Point	AP1-7	AP1	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-18 11:12:02	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	623	K		1	mag	u	0.1	321.1	l	g	-39.6	1.2	11	-1
	This study	Agate Point	AP1-7	AP1	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-18 11:12:02	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	623	K		1	mag	u	0.1	321.1	l	g	-39.6	1.2	11	0
	This study	Agate Point	AP1-7	AP1	AP1-7a	AP1-7a:LP-DIR-T	hargrave 2016-05-18 11:12:02	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.1	105.7	l	g	-69.3	1.2	11	100
	This study	Agate Point	AP1-8	AP1	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-18 11:13:34	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	623	K		1	mag	u	0.3	328.8	l	g	-41	1.4	11	-1
	This study	Agate Point	AP1-8	AP1	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-18 11:13:34	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	623	K		1	mag	u	0.3	328.8	l	g	-41	1.4	11	0
	This study	Agate Point	AP1-8	AP1	AP1-8a	AP1-8a:LP-DIR-T	hargrave 2016-05-18 11:13:34	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.3	95.2	l	g	-74.9	1.4	11	100
	This study	Agate Point	AP2-1	AP2	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-05-18 11:15:05	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		1	mag	u	0.4	325.3	l	g	-22.4	1.7	12	-1
	This study	Agate Point	AP2-1	AP2	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-05-18 11:15:05	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		1	mag	u	0.4	325.3	l	g	-22.4	1.7	12	0
	This study	Agate Point	AP2-1	AP2	AP2-1a	AP2-1a:LP-DIR-T	hargrave 2016-05-18 11:15:05	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.4	100.9	l	g	-66.7	1.8	11	100
	This study	Agate Point	AP2-2	AP2	AP2-2a	AP2-2a:LP-DIR-T	hargrave 2016-05-18 11:16:40	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		1	mag	u	0.6	277.1	l	g	-75.2	1	12	-1
	This study	Agate Point	AP2-2	AP2	AP2-2a	AP2-2a:LP-DIR-T	hargrave 2016-05-18 11:16:40	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		1	mag	u	0.6	277.1	l	g	-75.2	1	12	0
	This study	Agate Point	AP2-2	AP2	AP2-2a	AP2-2a:LP-DIR-T	hargrave 2016-05-18 11:16:40	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.4	97.8	l	g	-67	0.9	11	100
	This study	Agate Point	AP2-3	AP2	AP2-3a	AP2-3a:LP-DIR-T	hargrave 2016-05-18 11:19:40	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		1	mag	u	1.2	58.2	l	g	-45.3	1.2	12	-1
	This study	Agate Point	AP2-3	AP2	AP2-3a	AP2-3a:LP-DIR-T	hargrave 2016-05-18 11:19:40	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		1	mag	u	1.2	58.2	l	g	-45.3	1.2	12	0
	This study	Agate Point	AP2-3	AP2	AP2-3a	AP2-3a:LP-DIR-T	hargrave 2016-05-18 11:19:40	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	1.2	99.8	l	g	-61.5	1	11	100
	This study	Agate Point	AP2-4	AP2	AP2-4a	AP2-4a:LP-DIR-T	hargrave 2016-05-18 11:21:20	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		1	mag	u	1.2	48.6	l	g	-43.1	1.4	12	-1
	This study	Agate Point	AP2-4	AP2	AP2-4a	AP2-4a:LP-DIR-T	hargrave 2016-05-18 11:21:20	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		1	mag	u	1.2	48.6	l	g	-43.1	1.4	12	0
	This study	Agate Point	AP2-4	AP2	AP2-4a	AP2-4a:LP-DIR-T	hargrave 2016-05-18 11:21:20	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	1.2	94.5	l	g	-63.3	1.5	11	100
	This study	Agate Point	AP2-5	AP2	AP2-5a	AP2-5a:LP-DIR-T	hargrave 2016-05-18 11:22:55	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		1	mag	u	1.6	87.1	l	g	-64.7	1.2	12	-1
	This study	Agate Point	AP2-5	AP2	AP2-5a	AP2-5a:LP-DIR-T	hargrave 2016-05-18 11:22:55	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		1	mag	u	1.6	87.1	l	g	-64.7	1.2	12	0
	This study	Agate Point	AP2-5	AP2	AP2-5a	AP2-5a:LP-DIR-T	hargrave 2016-05-18 11:22:55	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	1.4	89.2	l	g	-65	1.6	11	100
	This study	Agate Point	AP2-6	AP2	AP2-6a	AP2-6a:LP-DIR-T	hargrave 2016-05-18 11:24:28	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		1	mag	u	0.9	98.6	l	g	-70.9	1.2	12	-1
	This study	Agate Point	AP2-6	AP2	AP2-6a	AP2-6a:LP-DIR-T	hargrave 2016-05-18 11:24:28	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	573	K		1	mag	u	0.9	98.6	l	g	-70.9	1.2	12	0
	This study	Agate Point	AP2-6	AP2	AP2-6a	AP2-6a:LP-DIR-T	hargrave 2016-05-18 11:24:28	LP-DIR-T:DE-BFL:DA-DIR-TILT	pmagpy-3.4.0	853	623	K		1	mag	u	0.3	85.5	l	g	-67.5	0.7	11	100
	This study	Agate Point	AP2-7	AP2	AP2-7a	AP2-7a:LP-DIR-T	hargrave 2016-05-18 11:25:57	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	573	K		1	mag	u	0.3	111.6	l	g	-79	0.6	12	-1
