tab 	er_specimens					
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	specimen_volume	specimen_weight
This study	Agate Point	AP1-1	AP1	AP1-1a		1.00E-03
This study	Agate Point	AP1-2	AP1	AP1-2a		1.00E-03
This study	Agate Point	AP1-3	AP1	AP1-3a		1.00E-03
This study	Agate Point	AP1-4	AP1	AP1-4a		1.00E-03
This study	Agate Point	AP1-5	AP1	AP1-5a		1.00E-03
This study	Agate Point	AP1-6	AP1	AP1-6a		1.00E-03
This study	Agate Point	AP1-7	AP1	AP1-7a		1.00E-03
This study	Agate Point	AP1-8	AP1	AP1-8a		1.00E-03
This study	Agate Point	AP2-1	AP2	AP2-1a		1.00E-03
This study	Agate Point	AP2-2	AP2	AP2-2a		1.00E-03
This study	Agate Point	AP2-3	AP2	AP2-3a		1.00E-03
This study	Agate Point	AP2-4	AP2	AP2-4a		1.00E-03
This study	Agate Point	AP2-5	AP2	AP2-5a		1.00E-03
This study	Agate Point	AP2-6	AP2	AP2-6a		1.00E-03
This study	Agate Point	AP2-7	AP2	AP2-7a		1.00E-03
This study	Agate Point	AP2-8	AP2	AP2-8a		1.00E-03
This study	Agate Point	AP3-1	AP3	AP3-1a		1.00E-03
This study	Agate Point	AP3-2	AP3	AP3-2a		1.00E-03
This study	Agate Point	AP3-3	AP3	AP3-3a		1.00E-03
This study	Agate Point	AP3-4	AP3	AP3-4a		1.00E-03
This study	Agate Point	AP3-5	AP3	AP3-5a		1.00E-03
This study	Agate Point	AP3-6	AP3	AP3-6a		1.00E-03
This study	Agate Point	AP3-7	AP3	AP3-7a		1.00E-03
This study	Agate Point	AP3-8	AP3	AP3-8a		1.00E-03
This study	Agate Point	AP4-1	AP4	AP4-1a		1.00E-03
This study	Agate Point	AP4-2	AP4	AP4-2a		1.00E-03
This study	Agate Point	AP4-3	AP4	AP4-3a		1.00E-03
This study	Agate Point	AP4-4	AP4	AP4-4a		1.00E-03
This study	Agate Point	AP4-5	AP4	AP4-5a		1.00E-03
This study	Agate Point	AP4-6	AP4	AP4-6a		1.00E-03
This study	Agate Point	AP4-7	AP4	AP4-7a		1.00E-03
This study	Agate Point	AP4-8	AP4	AP4-8a		1.00E-03
This study	Agate Point	AP5-1	AP5	AP5-1a		1.00E-03
This study	Agate Point	AP5-2	AP5	AP5-2a		1.00E-03
This study	Agate Point	AP5-3	AP5	AP5-3a		1.00E-03
This study	Agate Point	AP5-4	AP5	AP5-4a		1.00E-03
This study	Agate Point	AP5-5	AP5	AP5-5a		1.00E-03
This study	Agate Point	AP5-6	AP5	AP5-6a		1.00E-03
This study	Agate Point	AP5-7	AP5	AP5-7a		1.00E-03
This study	Agate Point	AP5-8	AP5	AP5-8a		1.00E-03
This study	Puff Island	Puf1-1	Puf1	Puf1-1a		1.00E-03
This study	Puff Island	Puf1-2	Puf1	Puf1-2a		1.00E-03
This study	Puff Island	Puf1-3	Puf1	Puf1-3a		1.00E-03
This study	Puff Island	Puf1-4	Puf1	Puf1-4a		1.00E-03
This study	Puff Island	Puf1-5	Puf1	Puf1-5a		1.00E-03
This study	Puff Island	Puf1-6	Puf1	Puf1-6a		1.00E-03
This study	Puff Island	Puf1-7	Puf1	Puf1-7a		1.00E-03
This study	Puff Island	Puf1-8	Puf1	Puf1-8a		1.00E-03
This study	Puff Island	Puf2-1	Puf2-	Puf2-1a		1.00E-03
This study	Puff Island	Puf2-2	Puf2-	Puf2-2a		1.00E-03
This study	Puff Island	Puf2-3	Puf2-	Puf2-3a		1.00E-03
This study	Puff Island	Puf2-4	Puf2-	Puf2-4a		1.00E-03
This study	Puff Island	Puf2-5	Puf2-	Puf2-5a		1.00E-03
This study	Puff Island	Puf2-6	Puf2-	Puf2-6a		1.00E-03
This study	Puff Island	Puf2-7	Puf2-	Puf2-7a		1.00E-03
