tab 	sites
citations	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	height	lat	lithologies	location	lon	method_codes	result_type	site	vgp_lat	vgp_lon
This study	5.8	296.6	27.4	451	3	100	Extrusive:Igneous	Lava Flow	2610	47.0586	Basalt	Mamainse Point	275.2384	DE-BFL:FS-C-DRILL:SO-POM	i	MP211(34.9 to 38.1)	28.62	175.64
This study	4.9	290.7	36.4	351	4	100	Extrusive:Igneous	Lava Flow	2615	47.0584	Basalt	Mamainse Point	275.2382	DE-BFL:FS-C-DRILL:SO-POM	i	MP211(39.2 to 46.6)	28.63	184.77
This study	5.2	297.9	33.1	311	4	100	Extrusive:Igneous	Lava Flow	2623	47.0584	Basalt	Mamainse Point	275.238	DE-BFL:FS-C-DRILL:SO-POM	i	MP211(48.0 to 56.1)	32	177.47
This study	4.2	292.8	27.9	339	5	100	Extrusive:Igneous	Lava Flow	2645	47.0581	Basalt	Mamainse Point	275.2374	DE-BFL:FS-C-DRILL:SO-POM	i	MP211(69.9 to 87.2)	26.27	178.84
This study	2.9	305.2	43.4	566	5	100	Extrusive:Igneous	Lava Flow	3043	47.0524	Basalt	Mamainse Point	275.2301	DE-BFL:FS-C-DRILL:SO-POM	i	MP303(0 to 20.4)	41.91	178.27
This study	7.4	296.7	38.4	69	6	100	Extrusive:Igneous	Lava Flow	3115	47.052	Basalt	Mamainse Point	275.2288	DE-BFL:FS-C-DRILL:SO-POM	i	MP303(72.3 to 92.9)	33.66	181.46
This study	5.6	294.2	43.7	87	8	100	Extrusive:Igneous	Lava Flow	3157	47.0512	Basalt	Mamainse Point	275.2282	DE-BFL:FS-C-DRILL:SO-POM	i	MP303(113.5 to 125.6)	34.58	186.83
This study	8.8	300.6	34.8	49	6	100	Extrusive:Igneous	Lava Flow	3169	47.0515	Basalt	Mamainse Point	275.2278	DE-BFL:FS-C-DRILL:SO-POM	i	MP303(125.9 to 131.4)	34.6	176.26
This study	3	302.2	45.2	518	5	100	Extrusive:Igneous	Lava Flow	3174	47.0517	Basalt	Mamainse Point	275.2275	DE-BFL:FS-C-DRILL:SO-POM	i	MP303(131.4 to 141.6)	40.8	182.05
This study	5.3	286.4	32.6	95	8	100	Extrusive:Igneous	Lava Flow	3185	47.0519	Basalt	Mamainse Point	275.2273	DE-BFL:FS-C-DRILL:SO-POM	i	MP303(142.1 to 152.9)	23.96	185.9
This study	6.1	298.5	42.6	232	4	100	Extrusive:Igneous	Lava Flow	3350	47.0473	Basalt	Mamainse Point	275.2251	DE-BFL:FS-C-DRILL:SO-POM	i	MP212(0.0 to 10.2)	36.95	182.88
This study	5.8	298.2	40.3	135	6	100	Extrusive:Igneous	Lava Flow	3360	47.0472	Basalt	Mamainse Point	275.2248	DE-BFL:FS-C-DRILL:SO-POM	i	MP212(10.2 to 15.5)	35.6	181.53
This study	6.8	295.1	43.2	128	5	100	Extrusive:Igneous	Lava Flow	3366	47.047	Basalt	Mamainse Point	275.2246	DE-BFL:FS-C-DRILL:SO-POM	i	MP212(15.5 to 22.2)	34.94	185.82
This study	6.4	295.7	38.6	142	5	100	Extrusive:Igneous	Lava Flow	3372	47.0468	Basalt	Mamainse Point	275.2243	DE-BFL:FS-C-DRILL:SO-POM	i	MP212(22.2 to 30.8)	33.08	182.34
This study	2.8	290.4	34.6	336	8	100	Extrusive:Igneous	Lava Flow	3635	47.0431	Basalt	Mamainse Point	275.2197	DE-BFL:FS-C-DRILL:SO-POM	i	MP306(2.6 to 26.7)	27.59	183.99
This study	2.4	289.6	33.3	678	6	100	Extrusive:Igneous	Lava Flow	3659	47.0432	Basalt	Mamainse Point	275.2191	DE-BFL:FS-C-DRILL:SO-POM	i	MP306(26.7 to 34.2)	26.46	183.9
This study	1.9	290.3	32.9	1035	6	100	Extrusive:Igneous	Lava Flow	3671	47.043	Basalt	Mamainse Point	275.2189	DE-BFL:FS-C-DRILL:SO-POM	i	MP306(39.0 to 44.5)	26.76	183.17
This study	5.6	294.6	40.8	122	6	100	Extrusive:Igneous	Lava Flow	3677	47.043	Basalt	Mamainse Point	275.2188	DE-BFL:FS-C-DRILL:SO-POM	i	MP306(44.5 to 73.6)	33.4	184.55
This study	6.7	277.6	15.8	60	8	100	Extrusive:Igneous	Lava Flow	3706	47.0428	Basalt	Mamainse Point	275.2184	DE-BFL:FS-C-DRILL:SO-POM	i	MP306(73.6 to 96.4)	11.06	185.2
This study	14.1	279.1	18.7	20	6	100	Extrusive:Igneous	Lava Flow	3728	47.0428	Basalt	Mamainse Point	275.2179	DE-BFL:FS-C-DRILL:SO-POM	i	MP306(96.4 to 102.1)	13.2	185.19
This study	7.9	280.9	7.2	44	8	100	Extrusive:Igneous	Lava Flow	3734	47.0428	Basalt	Mamainse Point	275.2178	DE-BFL:FS-C-DRILL:SO-POM	i	MP306(102.1 to 108.4)	10.06	179.67
