,citations,dir_dec,dir_inc,dir_n_samples,dir_polarity,dir_tilt_correction,geologic_classes,geologic_types,lat,lithologies,location,lon,method_codes,result_type,site,formation,site_alternatives,paleolatitude,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev
0,This study,284.0,33.0,4,n,100,Extrusive,Lava Flow,47.28798041,Basalt,Keweenaw Peninsula:Michigan,-88.40954543,,a,PL150,Portage Lake Volcanics,,17.9888103954,22.5195063566,184.098089133,-22.5195063566,4.0980891332
1,This study,284.2,19.9,5,n,100,Extrusive,Lava Flow,47.26585103,Basalt,Keweenaw Peninsula:Michigan,-88.41569905,,a,PL50,Portage Lake Volcanics,Iroquois Flow,10.2593215052,17.1348998306,178.198395388,-17.1348998306,358.198395388
2,This study,283.3,35.3,5,n,100,Extrusive,Lava Flow,47.2807152,Basalt,Keweenaw Peninsula:Michigan,-88.41458184,,a,PL331,Portage Lake Volcanics,,19.4949678053,23.097852064,185.767222485,-23.097852064,5.76722248452
3,This study,294.7,38.2,3,n,100,Extrusive,Lava Flow,47.35741186,Basalt,Keweenaw Peninsula:Michigan,-88.4218405,,a,PL344,Portage Lake Volcanics,,21.4777127747,32.1911761788,179.004237049,-32.1911761788,359.004237049
4,This study,290.9,24.8,3,n,100,Extrusive,Lava Flow,47.28373095,Basalt,Keweenaw Peninsula:Michigan,-88.40551631,,a,PL51,Portage Lake Volcanics,Osceola Flow,13.008933956,23.6517754488,175.158729195,-23.6517754488,355.158729195
5,This study,286.8,21.0,5,n,100,Extrusive,Lava Flow,47.27345896,Basalt,Keweenaw Peninsula:Michigan,-88.41489345,,a,PL330,Portage Lake Volcanics,,10.8647686678,19.3330532577,176.683576403,-19.3330532577,356.683576403
6,This study,287.4,32.9,5,n,100,Extrusive,Lava Flow,47.26786732,Basalt,Keweenaw Peninsula:Michigan,-88.41888577,,a,PL52,Portage Lake Volcanics,,17.9245532592,24.7799780401,181.571398668,-24.7799780401,1.57139866804
7,This study,289.6,30.6,4,n,100,Extrusive,Lava Flow,47.26553697,Basalt,Keweenaw Peninsula:Michigan,-88.41828157,,a,PL323,Portage Lake Volcanics,,16.472904938,25.2502314405,178.802642562,-25.2502314405,358.802642562
8,This study,300.8,24.6,5,n,100,Extrusive,Lava Flow,47.26731901,Basalt,Keweenaw Peninsula:Michigan,-88.41727456,,a,PL53,Portage Lake Volcanics,,12.8938643821,30.1726222693,167.168494384,-30.1726222693,347.168494384
9,This study,293.0,35.0,5,n,100,Extrusive,Lava Flow,47.26626227,Basalt,Keweenaw Peninsula:Michigan,-88.41348364,,a,PL324,Portage Lake Volcanics,,19.2953427353,29.5356307157,178.513361886,-29.5356307157,358.513361886
