,citations,dir_dec,dir_inc,dir_n_samples,dir_polarity,dir_tilt_correction,geologic_classes,geologic_types,lat,lithologies,location,lon,method_codes,result_type,site,formation,site_alternatives,paleolatitude,vgp_lat,vgp_lon,vgp_lat_rev,vgp_lon_rev
10,This study,296.1,33.7,4,n,100,Extrusive,Lava Flow,47.30666996,Basalt,Keweenaw Peninsula:Michigan,-88.35529607,,a,PL335,Portage Lake Volcanics,Kearsarge Flow,18.4414054347,31.0306349721,175.464515907,-31.0306349721,355.464515907
11,This study,285.6,32.0,5,n,100,Extrusive,Lava Flow,47.26777014,Basalt,Keweenaw Peninsula:Michigan,-88.41086543,,a,PL54,Portage Lake Volcanics,Kearsarge Flow,17.3506147694,23.1555974376,182.45039823,-23.1555974376,2.45039823049
12,This study,291.1,48.8,5,n,100,Extrusive,Lava Flow,47.26639935,Basalt,Keweenaw Peninsula:Michigan,-88.41005982,,a,PL55,Portage Lake Volcanics,,29.7326489595,35.1988255894,189.109528922,-35.1988255894,9.10952892154
13,This study,285.6,51.5,5,n,100,Extrusive,Lava Flow,47.26653643,Basalt,Keweenaw Peninsula:Michigan,-88.41026123,,a,PL56,Portage Lake Volcanics,,32.1528997129,33.0516346257,194.965376681,-33.0516346257,14.9653766808
14,This study,279.8,50.0,5,n,100,Extrusive,Lava Flow,47.26394531,Basalt,Keweenaw Peninsula:Michigan,-88.40422811,,a,PL326,Portage Lake Volcanics,,30.7897330288,28.372593485,197.423545639,-28.372593485,17.4235456394
15,This study,283.8,41.5,4,n,100,Extrusive,Lava Flow,47.26353407,Basalt,Keweenaw Peninsula:Michigan,-88.40261734,,a,PL327,Portage Lake Volcanics,,23.8628079025,26.4342970173,188.93194337,-26.4342970173,8.93194336962
16,This study,283.6,39.6,4,n,100,Extrusive,Lava Flow,47.26393191,Basalt,Keweenaw Peninsula:Michigan,-88.40160098,,a,PL57,Portage Lake Volcanics,,22.4717472199,25.3532277057,187.938469739,-25.3532277057,7.93846973903
17,This study,290.9,30.2,4,n,100,Extrusive,Lava Flow,47.26390449,Basalt,Keweenaw Peninsula:Michigan,-88.40160098,,a,PL58,Portage Lake Volcanics,,16.2253629468,25.955669384,177.646636511,-25.955669384,357.646636511
18,This study,290.3,32.5,4,n,100,Extrusive,Lava Flow,47.26434315,Basalt,Keweenaw Peninsula:Michigan,-88.39998978,,a,PL59,Portage Lake Volcanics,Scales Creek Flow,17.6685046259,26.567755161,179.239705876,-26.567755161,359.239705876
19,This study,288.5,40.0,4,n,100,Extrusive,Lava Flow,47.26393191,Basalt,Keweenaw Peninsula:Michigan,-88.39958698,,a,PL60,Portage Lake Volcanics,,22.7604762746,28.8632341677,184.718492024,-28.8632341677,4.71849202444
20,This study,293.2,33.6,5,n,100,Extrusive,Lava Flow,47.26790722,Basalt,Keweenaw Peninsula:Michigan,-88.4052262,,a,PL325,Portage Lake Volcanics,,18.3764462872,29.0291521267,177.615186168,-29.0291521267,357.615186168
21,This study,294.2,31.7,4,n,100,Extrusive,Lava Flow,47.26201279,Basalt,Keweenaw Peninsula:Michigan,-88.39535756,,a,PL61,Portage Lake Volcanics,,17.1610172597,28.8499435983,175.875911683,-28.8499435983,355.875911683
22,This study,285.7,37.1,5,n,100,Extrusive,Lava Flow,47.2564059,Basalt,Keweenaw Peninsula:Michigan,-88.39557021,,a,PL343,Portage Lake Volcanics,Copper City Flow,20.7139627797,25.5658440057,185.047868704,-25.5658440057,5.04786870375
23,This study,264.9,45.6,5,n,100,Extrusive,Lava Flow,47.29195572,Basalt,Keweenaw Peninsula:Michigan,-88.40984762,,a,PL35,Portage Lake Volcanics,,27.0480925003,16.2871460177,204.043843044,-16.2871460177,24.0438430438
24,This study,294.6,45.2,4,n,100,Extrusive,Lava Flow,47.28976244,Basalt,Keweenaw Peninsula:Michigan,-88.41256728,,a,PL7,Portage Lake Volcanics,,26.7253872177,35.636662089,183.832217098,-35.636662089,3.83221709773
25,This study,274.7,45.2,4,n,100,Extrusive,Lava Flow,47.29154448,Basalt,Keweenaw Peninsula:Michigan,-88.40974689,,a,PL6,Portage Lake Volcanics,,26.7253872177,22.3396382445,197.351944027,-22.3396382445,17.3519440274
26,This study,280.8,49.7,5,n,100,Extrusive,Lava Flow,47.29181864,Basalt,Keweenaw Peninsula:Michigan,-88.40994835,,a,PL5,Portage Lake Volcanics,,30.5227410111,28.8607047974,196.535446918,-28.8607047974,16.5354469182
27,This study,261.0,43.2,6,n,100,Extrusive,Lava Flow,47.28811749,Basalt,Keweenaw Peninsula:Michigan,-88.41458184,,a,PL4,Portage Lake Volcanics,,25.1515226604,12.4881830399,205.278988602,-12.4881830399,25.2789886024
28,This study,279.5,36.6,5,n,100,Extrusive,Lava Flow,47.28798041,Basalt,Keweenaw Peninsula:Michigan,-88.41397747,,a,PL3,Portage Lake Volcanics,,20.3716115389,21.1451384633,189.12946074,-21.1451384633,9.12946074026
29,This study,265.6,51.6,5,n,100,Extrusive,Lava Flow,47.2860613,Basalt,Keweenaw Peninsula:Michigan,-88.41397747,,a,PL1,Portage Lake Volcanics,,32.2454913536,20.3655878893,207.49306818,-20.3655878893,27.4930681799
30,This study,287.9,29.6,3,n,100,Extrusive,Lava Flow,47.28246441,Basalt,Keweenaw Peninsula:Michigan,-88.4469834,,a,PL44,Portage Lake Volcanics,,15.856642402,23.660535196,179.559113408,-23.660535196,359.559113408
31,This study,281.8,28.8,5,n,100,Extrusive,Lava Flow,47.29269809,Basalt,Keweenaw Peninsula:Michigan,-88.42945971,,a,PL333,Portage Lake Volcanics,,15.3697165203,19.1779537063,183.686531084,-19.1779537063,3.68653108441
32,This study,290.1,27.5,5,n,100,Extrusive,Lava Flow,47.20875577,Basalt,Keweenaw Peninsula:Michigan,-88.43443316,,a,PL49,Portage Lake Volcanics,,14.5894313345,24.2536128814,176.97689436,-24.2536128814,356.97689436
33,This study,286.1,24.4,3,n,100,Extrusive,Lava Flow,47.3185796,Basalt,Keweenaw Peninsula:Michigan,-88.39288396,,a,PL329,Portage Lake Volcanics,Ashbed Flow,12.7790566222,20.2396000777,178.621872071,-20.2396000777,358.621872071
34,This study,293.7,38.1,4,n,100,Extrusive,Lava Flow,47.29160146,Basalt,Keweenaw Peninsula:Michigan,-88.42764661,,a,PL43,Portage Lake Volcanics,Ashbed Flow,21.4076665231,31.4683290826,179.730678762,-31.4683290826,359.730678762
35,This study,282.8,41.5,4,n,100,Extrusive,Lava Flow,47.29360067,Basalt,Keweenaw Peninsula:Michigan,-88.41699931,,a,PL27,Portage Lake Volcanics,,23.8628079025,25.7659543953,189.593259753,-25.7659543953,9.59325975317
36,This study,285.9,33.6,5,n,100,Extrusive,Lava Flow,47.29401191,Basalt,Keweenaw Peninsula:Michigan,-88.41861096,,a,PL26,Portage Lake Volcanics,,18.3764462872,24.07925811,183.010441345,-24.07925811,3.01044134465
37,This study,279.3,49.7,5,n,100,Extrusive,Lava Flow,47.29332651,Basalt,Keweenaw Peninsula:Michigan,-88.4184095,,a,PL25,Portage Lake Volcanics,,30.5227410111,27.8803734638,197.482352793,-27.8803734638,17.4823527933
38,This study,280.2,35.7,4,n,100,Extrusive,Lava Flow,47.29305235,Basalt,Keweenaw Peninsula:Michigan,-88.41820805,,a,PL24,Portage Lake Volcanics,,19.7626751997,21.1922499768,188.163562311,-21.1922499768,8.16356231104
39,This study,291.4,43.6,6,n,100,Extrusive,Lava Flow,47.2920928,Basalt,Keweenaw Peninsula:Michigan,-88.41800659,,a,PL22,Portage Lake Volcanics,,25.4611540377,32.6390203511,184.952289405,-32.6390203511,4.95228940462
40,This study,295.3,40.2,5,n,100,Extrusive,Lava Flow,47.29195572,Basalt,Keweenaw Peninsula:Michigan,-88.41720077,,a,PL20,Portage Lake Volcanics,,22.905650475,33.5735605058,179.844174143,-33.5735605058,359.844174143
41,This study,299.0,31.7,3,n,100,Extrusive,Lava Flow,47.2914074,Basalt,Keweenaw Peninsula:Michigan,-88.41710004,,a,PL19,Portage Lake Volcanics,,17.1610172597,32.0733429533,172.055551159,-32.0733429533,352.055551159
42,This study,294.7,32.0,5,n,100,Extrusive,Lava Flow,47.28955683,Basalt,Keweenaw Peninsula:Michigan,-88.41699931,,a,PL14,Portage Lake Volcanics,,17.3506147694,29.3187356924,175.605803218,-29.3187356924,355.605803218
43,This study,296.9,28.2,5,n,100,Extrusive,Lava Flow,47.28948829,Basalt,Keweenaw Peninsula:Michigan,-88.41679786,,a,PL13,Portage Lake Volcanics,,15.0079357827,29.1233964127,171.998246087,-29.1233964127,351.998246087
44,This study,297.8,33.6,5,n,100,Extrusive,Lava Flow,47.28914559,Basalt,Keweenaw Peninsula:Michigan,-88.41669713,,a,PL12,Portage Lake Volcanics,,18.3764462872,32.1315791713,174.025577609,-32.1315791713,354.025577609
45,This study,293.6,30.3,5,n,100,Extrusive,Lava Flow,47.28910446,Basalt,Keweenaw Peninsula:Michigan,-88.4165964,,a,PL11,Portage Lake Volcanics,,16.2871173696,27.8222288888,175.60356349,-27.8222288888,355.60356349
46,This study,293.6,33.7,5,n,100,Extrusive,Lava Flow,47.28907705,Basalt,Keweenaw Peninsula:Michigan,-88.41649567,,a,PL10,Portage Lake Volcanics,,18.4414054347,29.3438448296,177.340455416,-29.3438448296,357.340455416
47,This study,297.6,40.8,4,n,100,Extrusive,Lava Flow,47.28935121,Basalt,Keweenaw Peninsula:Michigan,-88.41639494,,a,PL9,Portage Lake Volcanics,,23.3444686096,35.4289535427,178.503928317,-35.4289535427,358.503928317
48,This study,297.1,45.5,5,n,100,Extrusive,Lava Flow,47.28893997,Basalt,Keweenaw Peninsula:Michigan,-88.41639494,,a,PL8,Portage Lake Volcanics,,26.9671602556,37.488922506,182.252639718,-37.488922506,2.25263971833
49,This study,296.4,32.0,5,n,100,Extrusive,Lava Flow,47.30219625,Basalt,Keweenaw Peninsula:Michigan,-88.39870524,,a,PL32,Portage Lake Volcanics,Greenstone Flow,17.3506147694,30.4624704964,174.290890573,-30.4624704964,354.290890573
50,This study,291.0,37.2,5,n,100,Extrusive,Lava Flow,47.30192209,Basalt,Keweenaw Peninsula:Michigan,-88.39850373,,a,PL33,Portage Lake Volcanics,,20.782788279,29.2081585817,181.232548151,-29.2081585817,1.23254815106
51,This study,293.7,39.1,4,n,100,Extrusive,Lava Flow,47.30151085,Basalt,Keweenaw Peninsula:Michigan,-88.39830222,,a,PL34,Portage Lake Volcanics,,22.1138240683,31.9506983292,180.359840055,-31.9506983292,0.359840055217
52,This study,284.8,27.9,5,n,100,Extrusive,Lava Flow,47.43256329,Basalt,Keweenaw Peninsula:Michigan,-88.14170193,,a,PL340,Portage Lake Volcanics,Ashbed Flow,14.8281125272,20.8255704291,181.322099775,-20.8255704291,1.32209977464
53,This study,286.9,19.7,4,n,100,Extrusive,Lava Flow,47.40141725,Basalt,Keweenaw Peninsula:Michigan,-88.29028784,,a,PL338,Portage Lake Volcanics,Ashbed Flow,10.1499053267,18.869015308,176.169122922,-18.869015308,356.169122922
54,This study,294.6,29.8,4,n,100,Extrusive,Lava Flow,47.4115906,Basalt,Keweenaw Peninsula:Michigan,-88.2541964,,a,PL339,Portage Lake Volcanics,Ashbed Flow,15.9792080003,28.2617613703,174.680176381,-28.2617613703,354.680176381
55,This study,284.5,36.8,5,n,100,Extrusive,Lava Flow,47.44393649,Basalt,Keweenaw Peninsula:Michigan,-87.94004327,,a,PL342,Portage Lake Volcanics,Ashbed Flow,20.5081988922,24.6245158039,186.109386782,-24.6245158039,6.10938678212
56,This study,274.6,49.1,4,n,100,Extrusive,Lava Flow,47.3975791,Basalt,Keweenaw Peninsula:Michigan,-88.27958729,,a,PL349,Portage Lake Volcanics,Greenstone Flow,29.9942207507,24.5184847036,200.125864686,-24.5184847036,20.1258646857
57,This study,315.6,33.6,4,n,100,Extrusive,Lava Flow,47.42936639,Basalt,Keweenaw Peninsula:Michigan,-88.12635013,,a,PL348,Portage Lake Volcanics,Greenstone Flow,18.3764462872,43.6984392956,158.565767055,-43.6984392956,338.565767055
58,This study,301.0,33.4,4,n,100,Extrusive,Lava Flow,47.42936639,Basalt,Keweenaw Peninsula:Michigan,-88.11968384,,a,PL347,Portage Lake Volcanics,Greenstone Flow,18.246832565,34.1590096052,171.548701447,-34.1590096052,351.548701447
59,This study,288.7,30.9,4,n,100,Extrusive,Lava Flow,47.42826978,Basalt,Keweenaw Peninsula:Michigan,-88.11766375,,a,PL346,Portage Lake Volcanics,Greenstone Flow,16.6594877707,24.7662266499,179.846705577,-24.7662266499,359.846705577
60,This study,281.2,38.3,5,n,100,Extrusive,Lava Flow,47.42525411,Basalt,Keweenaw Peninsula:Michigan,-88.11022983,,a,PL345,Portage Lake Volcanics,Greenstone Flow,21.5478840988,23.1218435187,189.101115221,-23.1218435187,9.1011152205
61,This study,283.0,38.9,5,n,100,Extrusive,Lava Flow,47.42271974,Basalt,Keweenaw Peninsula:Michigan,-88.11181499,,a,PL158,Portage Lake Volcanics,,21.9715696672,24.6234319704,188.173638072,-24.6234319704,8.17363807237
62,This study,283.0,44.3,4,n,100,Extrusive,Lava Flow,47.42244559,Basalt,Keweenaw Peninsula:Michigan,-88.11221889,,a,PL160,Portage Lake Volcanics,,26.0091163062,27.3671219357,191.469443958,-27.3671219357,11.4694439583
63,This study,284.3,48.8,4,n,100,Extrusive,Lava Flow,47.42203436,Basalt,Keweenaw Peninsula:Michigan,-88.11161303,,a,PL159,Portage Lake Volcanics,,29.7326489595,30.6848536867,193.808183717,-30.6848536867,13.808183717
64,This study,254.7,40.4,5,n,100,Extrusive,Lava Flow,47.42025236,Basalt,Keweenaw Peninsula:Michigan,-88.10838178,,a,PL157,Portage Lake Volcanics,,23.0513707503,7.12486859912,208.453968257,-7.12486859912,28.4539682567
65,This study,287.9,34.9,5,n,100,Extrusive,Lava Flow,47.39916551,Basalt,Keweenaw Peninsula:Michigan,-88.04722879,,a,PL341,Portage Lake Volcanics,Scales Creek Flow,19.2290184922,26.0315020429,182.546427501,-26.0315020429,2.54642750113
66,This study,274.2,33.1,5,n,100,Extrusive,Lava Flow,47.3942109,Basalt,Keweenaw Peninsula:Michigan,-88.03607512,,a,PL154,Portage Lake Volcanics,,18.0531664344,15.9758800505,191.455573569,-15.9758800505,11.4555735692
67,This study,286.2,41.0,6,n,100,Extrusive,Lava Flow,47.38982443,Basalt,Keweenaw Peninsula:Michigan,-88.03789171,,a,PL153,Portage Lake Volcanics,,23.4918558212,27.8136974802,187.252744759,-27.8136974802,7.25274475908
68,This study,326.7,19.5,4,n,100,Extrusive,Lava Flow,47.38483976,Basalt,Keweenaw Peninsula:Michigan,-88.01716803,,a,PL42,Portage Lake Volcanics,,10.0406877264,43.2780035497,139.933211631,-43.2780035497,319.933211631
69,This study,281.1,24.8,5,n,100,Extrusive,Lava Flow,46.67646632,Rhyolite,Keweenaw Peninsula:Michigan,-89.57781618,,a,ER66,,,13.008933956,17.0054621497,181.499744742,-17.0054621497,1.49974474198
70,This study,290.3,32.7,4,n,100,Extrusive,Lava Flow,46.67619213,Rhyolite,Keweenaw Peninsula:Michigan,-89.57801537,,a,ER67,,,17.796333869,26.6791930281,178.458668621,-26.6791930281,358.458668621
71,This study,290.4,26.4,4,n,100,Extrusive,Lava Flow,46.59455464,Rhyolite,Keweenaw Peninsula:Michigan,-89.5734963,,a,ER68,,,13.9392529762,24.0466952981,175.384916034,-24.0466952981,355.384916034
72,This study,310.5,25.0,4,n,100,Extrusive,Lava Flow,46.64138413,Quartz Porphyry,Keweenaw Peninsula:Michigan,-89.59216511,,a,QP69,,,13.1242681228,36.8220384067,158.091403214,-36.8220384067,338.091403214
73,This study,289.1,20.9,4,n,100,Extrusive,Lava Flow,46.64001318,Quartz Porphyry,Keweenaw Peninsula:Michigan,-89.59156786,,a,QP71,,,10.8094660674,20.9178669978,173.959185546,-20.9178669978,353.959185546
74,This study,305.8,44.8,5,n,100,Extrusive,Lava Flow,46.6357222,Quartz Porphyry,Keweenaw Peninsula:Michigan,-89.58843219,,a,QP73,,,26.4053853461,43.0832236213,174.475089434,-43.0832236213,354.475089434
75,This study,241.8,60.0,1,n,100,Extrusive,Lava Flow,47.27380649,Rhyolite,Keweenaw Peninsula:Michigan,-88.37273467,,i,R36-0,,,40.8933946491,13.8005549102,228.312455535,-13.8005549102,48.3124555347
76,This study,278.3,70.3,1,n,100,Extrusive,Lava Flow,47.27380649,Rhyolite,Keweenaw Peninsula:Michigan,-88.37269439,,i,R36-1,,,54.3934097151,40.8653432553,222.003292651,-40.8653432553,42.0032926511
77,This study,251.5,32.2,1,n,100,Extrusive,Lava Flow,47.27361458,Rhyolite,Keweenaw Peninsula:Michigan,-88.37237215,,i,R36-2,,,17.4774843925,0.875061290061,206.851463919,-0.875061290061,26.8514639186
78,This study,233.1,54.0,1,n,100,Extrusive,Lava Flow,47.2738339,Rhyolite,Keweenaw Peninsula:Michigan,-88.37257355,,i,R36-3,,,34.5353971046,4.63839795679,230.256915623,-4.63839795679,50.256915623
79,This study,276.5,11.2,1,n,100,Extrusive,Lava Flow,47.27375166,Rhyolite,Keweenaw Peninsula:Michigan,-88.37257355,,i,R36-4,,,5.6540103124,8.55786645301,180.705616673,-8.55786645301,0.705616672501
80,This study,285.5,45.5,1,n,100,Extrusive,Lava Flow,47.27386132,Rhyolite,Keweenaw Peninsula:Michigan,-88.37285551,,i,R36-5,,,26.9671602556,29.6521378664,190.411357749,-29.6521378664,10.411357749
81,This study,246.2,2.2,1,n,100,Extrusive,Lava Flow,47.27377907,Rhyolite,Keweenaw Peninsula:Michigan,-88.37261383,,i,R36-6,,,1.10040559527,-15.0490357306,200.315130736,15.0490357306,20.3151307361
82,This study,239.9,36.0,1,n,100,Extrusive,Lava Flow,47.27377907,Rhyolite,Keweenaw Peninsula:Michigan,-88.37265411,,i,R36-7,,,19.9646287439,-3.95658623457,217.029934789,3.95658623457,37.0299347889
83,This study,296.1,15.1,1,n,100,Extrusive,Lava Flow,47.27855237,Rhyolite,Keweenaw Peninsula:Michigan,-88.37004948,,i,R62-1,,,7.68340330163,23.2044831805,167.16389807,-23.2044831805,347.16389807
84,This study,305.3,18.5,1,n,100,Extrusive,Lava Flow,47.27868945,Rhyolite,Keweenaw Peninsula:Michigan,-88.37013004,,i,R62-2,,,9.49749473067,30.5231530401,160.768030275,-30.5231530401,340.768030275
85,This study,297.8,27.9,1,n,100,Extrusive,Lava Flow,47.27868945,Rhyolite,Keweenaw Peninsula:Michigan,-88.37025088,,i,R62-3,,,14.8281125272,29.5965659771,171.187157128,-29.5965659771,351.187157128
86,This study,301.6,18.0,1,n,100,Extrusive,Lava Flow,47.27882653,Rhyolite,Keweenaw Peninsula:Michigan,-88.37041201,,i,R62-4,,,9.22764488161,27.9497400443,163.751799767,-27.9497400443,343.751799767
87,This study,283.9,33.5,1,n,100,Extrusive,Lava Flow,47.27896361,Rhyolite,Keweenaw Peninsula:Michigan,-88.37065369,,i,R62-5,,,18.3115888196,22.6776047838,184.462208432,-22.6776047838,4.46220843238
88,This study,285.5,18.2,1,n,100,Extrusive,Lava Flow,47.27923777,Rhyolite,Keweenaw Peninsula:Michigan,-88.37105649,,i,R62-6,,,9.3354488906,17.3419618114,176.599594467,-17.3419618114,356.599594467
89,This study,260.8,29.3,6,n,100,Extrusive,Lava Flow,46.47918679,Basalt,Keweenaw Peninsula:Michigan,-90.12259647,,a,IB74,,,15.6734246503,5.15738244187,197.266895091,-5.15738244187,17.2668950915
90,This study,257.6,21.7,4,n,100,Extrusive,Lava Flow,46.47932389,Basalt,Keweenaw Peninsula:Michigan,-90.12259647,,a,IB75,,,11.2534060028,-0.201676874379,196.561863275,0.201676874379,16.5618632749
91,This study,258.1,44.4,6,n,100,Extrusive,Lava Flow,46.47959808,Basalt,Keweenaw Peninsula:Michigan,-90.12259647,,a,IB76,,,26.0880419675,11.0314920648,206.322407315,-11.0314920648,26.3224073153
92,This study,274.7,53.8,5,n,100,Extrusive,Lava Flow,46.48731595,Basalt,Keweenaw Peninsula:Michigan,-90.16392326,,a,IB301,,,34.3394583195,27.1085110015,202.243959823,-27.1085110015,22.2439598227
93,This study,258.2,52.6,6,n,100,Extrusive,Lava Flow,46.48717885,Basalt,Keweenaw Peninsula:Michigan,-90.16412176,,a,IB303,,,33.1835966227,16.2060553666,211.281605721,-16.2060553666,31.2816057213
94,This study,268.1,17.9,4,n,100,Extrusive,Lava Flow,46.47946099,Basalt,Keweenaw Peninsula:Michigan,-90.12279493,,a,IB306,,,9.17380997393,5.3401282202,187.583903545,-5.3401282202,7.5839035452
95,This study,261.3,38.1,5,n,100,Extrusive,Lava Flow,46.47915937,Quartzite,Keweenaw Peninsula:Michigan,-90.12259647,,a,IB322,,,21.4076665231,9.6539229618,200.88793488,-9.6539229618,20.8879348799
96,This study,282.6,30.9,5,n,100,Extrusive,Lava Flow,46.60025921,Basalt,Keweenaw Peninsula:Michigan,-90.08935581,,a,MK216,,,16.6594877707,20.6029080633,182.67417692,-20.6029080633,2.6741769204
97,This study,283.0,28.1,5,n,100,Extrusive,Lava Flow,46.60020437,Basalt,Keweenaw Peninsula:Michigan,-90.08927624,,a,MK217,,,14.94791656,19.6786370838,181.0860464,-19.6786370838,1.08604640035
98,This study,286.3,29.4,5,n,100,Extrusive,Lava Flow,46.60014953,Basalt,Keweenaw Peninsula:Michigan,-90.08927624,,a,MK218,,,15.7344136895,22.4978078885,179.292937995,-22.4978078885,359.292937995
99,This study,279.4,35.0,5,n,100,Extrusive,Lava Flow,46.60003986,Basalt,Keweenaw Peninsula:Michigan,-90.08915688,,a,MK219,,,19.2953427353,20.2430562917,186.953596534,-20.2430562917,6.95359653371
100,This study,287.8,39.5,5,n,100,Extrusive,Lava Flow,46.61852281,Basalt,Keweenaw Peninsula:Michigan,-90.07840399,,a,MK316,,,22.3998989062,28.1047097375,183.582581749,-28.1047097375,3.5825817493
101,This study,229.9,28.5,4,n,100,Extrusive,Lava Flow,46.61770023,Basalt,Keweenaw Peninsula:Michigan,-90.07721012,,a,MK317,,,15.1884669338,-13.6833611977,220.479224691,13.6833611977,40.4792246911
102,This study,282.0,32.6,4,n,100,Extrusive,Lava Flow,46.61701475,Basalt,Keweenaw Peninsula:Michigan,-90.07701114,,a,MK318,,,17.7323707054,20.9393578307,183.930675386,-20.9393578307,3.93067538636
103,This study,275.0,29.1,4,n,100,Extrusive,Lava Flow,46.61578089,Basalt,Keweenaw Peninsula:Michigan,-90.07800603,,a,MK319,,,15.5516951879,14.627003502,187.233377158,-14.627003502,7.23337715797
104,This study,278.4,31.9,4,n,100,Extrusive,Lava Flow,46.61578089,Basalt,Keweenaw Peninsula:Michigan,-90.07880195,,a,MK320,,,17.2873217842,18.1663861239,186.129075996,-18.1663861239,6.12907599573
105,This study,291.1,46.4,3,n,100,Extrusive,Lava Flow,47.56496753,Basalt,North Shore Volcanic Group:Minnesota,-90.8489728,,a,NS254,,Schroeder-Lutsen basalts,27.7017960105,33.9286850569,184.575219826,-33.9286850569,4.5752198256
106,This study,293.6,47.8,4,n,100,Extrusive,Lava Flow,47.57127287,Basalt,North Shore Volcanic Group:Minnesota,-90.8390477,,a,NS255,,Schroeder-Lutsen basalts,28.8733601538,36.3663531882,183.934654644,-36.3663531882,3.93465464368
107,This study,286.6,32.4,5,n,100,Extrusive,Lava Flow,47.58257341,Basalt,North Shore Volcanic Group:Minnesota,-90.8194503,,a,NS256,,Schroeder-Lutsen basalts,17.6047351798,24.0141418144,179.367350118,-24.0141418144,359.367350118
108,This study,298.3,52.1,4,n,100,Extrusive,Lava Flow,47.59974286,Basalt,North Shore Volcanic Group:Minnesota,-90.78850286,,a,NS263,,Schroeder-Lutsen basalts,32.7117522155,41.9166041643,184.596711255,-41.9166041643,4.59671125522
109,This study,296.0,51.1,5,n,100,Extrusive,Lava Flow,47.5562852,Basalt,North Shore Volcanic Group:Minnesota,-90.8740277,,a,NS381,,Schroeder-Lutsen basalts,31.7847064172,39.8044905078,185.140228129,-39.8044905078,5.14022812891
110,This study,285.0,54.2,5,n,100,Extrusive,Lava Flow,47.60965688,Basalt,North Shore Volcanic Group:Minnesota,-90.77224503,,a,NS370,,Onion River lavas,34.7322964795,34.3463656216,195.186906101,-34.3463656216,15.1869061009
111,This study,287.8,37.4,3,n,100,Extrusive,Lava Flow,47.55559984,Basalt,North Shore Volcanic Group:Minnesota,-90.8742302,,a,NS382,,Schroeder-Lutsen basalts,20.9207987677,27.1424307324,181.075198448,-27.1424307324,1.07519844813
112,This study,288.8,43.3,4,n,100,Extrusive,Lava Flow,47.61075345,Basalt,North Shore Volcanic Group:Minnesota,-90.77325863,,a,NS372,,Onion River lavas,25.2286959008,30.7533797301,184.03503165,-30.7533797301,4.03503164966
113,This study,279.2,51.9,3,n,100,Extrusive,Lava Flow,47.55724472,Basalt,North Shore Volcanic Group:Minnesota,-90.87666017,,a,NS379,,Schroeder-Lutsen basalts,32.5245839013,29.1922954625,196.681849587,-29.1922954625,16.6818495867
