tab ,sites,,,,,,,,,,,,,,,
citations,dir_dec,dir_inc,dir_n_samples,dir_polarity,dir_tilt_correction,geologic_classes,geologic_types,lat,lithologies,location,lon,method_codes,result_type,site,formation,site_alternatives
This study,284,33,4,n,100,Extrusive,Lava Flow,47.28798041,Basalt,Keweenaw Peninsula:Michigan,-88.40954543,,a,PL150,Portage Lake Volcanics,
This study,284.2,19.9,5,n,100,Extrusive,Lava Flow,47.26585103,Basalt,Keweenaw Peninsula:Michigan,-88.41569905,,a,PL50,Portage Lake Volcanics,Iroquois Flow
This study,283.3,35.3,5,n,100,Extrusive,Lava Flow,47.2807152,Basalt,Keweenaw Peninsula:Michigan,-88.41458184,,a,PL331,Portage Lake Volcanics,
This study,294.7,38.2,3,n,100,Extrusive,Lava Flow,47.35741186,Basalt,Keweenaw Peninsula:Michigan,-88.4218405,,a,PL344,Portage Lake Volcanics,
This study,290.9,24.8,3,n,100,Extrusive,Lava Flow,47.28373095,Basalt,Keweenaw Peninsula:Michigan,-88.40551631,,a,PL51,Portage Lake Volcanics,Osceola Flow
This study,286.8,21,5,n,100,Extrusive,Lava Flow,47.27345896,Basalt,Keweenaw Peninsula:Michigan,-88.41489345,,a,PL330,Portage Lake Volcanics,
This study,287.4,32.9,5,n,100,Extrusive,Lava Flow,47.26786732,Basalt,Keweenaw Peninsula:Michigan,-88.41888577,,a,PL52,Portage Lake Volcanics,
This study,289.6,30.6,4,n,100,Extrusive,Lava Flow,47.26553697,Basalt,Keweenaw Peninsula:Michigan,-88.41828157,,a,PL323,Portage Lake Volcanics,
This study,300.8,24.6,5,n,100,Extrusive,Lava Flow,47.26731901,Basalt,Keweenaw Peninsula:Michigan,-88.41727456,,a,PL53,Portage Lake Volcanics,
This study,293,35,5,n,100,Extrusive,Lava Flow,47.26626227,Basalt,Keweenaw Peninsula:Michigan,-88.41348364,,a,PL324,Portage Lake Volcanics,
This study,296.1,33.7,4,n,100,Extrusive,Lava Flow,47.30666996,Basalt,Keweenaw Peninsula:Michigan,-88.35529607,,a,PL335,Portage Lake Volcanics,Kearsarge Flow
This study,285.6,32,5,n,100,Extrusive,Lava Flow,47.26777014,Basalt,Keweenaw Peninsula:Michigan,-88.41086543,,a,PL54,Portage Lake Volcanics,Kearsarge Flow
This study,291.1,48.8,5,n,100,Extrusive,Lava Flow,47.26639935,Basalt,Keweenaw Peninsula:Michigan,-88.41005982,,a,PL55,Portage Lake Volcanics,
This study,285.6,51.5,5,n,100,Extrusive,Lava Flow,47.26653643,Basalt,Keweenaw Peninsula:Michigan,-88.41026123,,a,PL56,Portage Lake Volcanics,
This study,279.8,50,5,n,100,Extrusive,Lava Flow,47.26394531,Basalt,Keweenaw Peninsula:Michigan,-88.40422811,,a,PL326,Portage Lake Volcanics,
This study,283.8,41.5,4,n,100,Extrusive,Lava Flow,47.26353407,Basalt,Keweenaw Peninsula:Michigan,-88.40261734,,a,PL327,Portage Lake Volcanics,
This study,283.6,39.6,4,n,100,Extrusive,Lava Flow,47.26393191,Basalt,Keweenaw Peninsula:Michigan,-88.40160098,,a,PL57,Portage Lake Volcanics,
This study,290.9,30.2,4,n,100,Extrusive,Lava Flow,47.26390449,Basalt,Keweenaw Peninsula:Michigan,-88.40160098,,a,PL58,Portage Lake Volcanics,
This study,290.3,32.5,4,n,100,Extrusive,Lava Flow,47.26434315,Basalt,Keweenaw Peninsula:Michigan,-88.39998978,,a,PL59,Portage Lake Volcanics,Scales Creek Flow
This study,288.5,40,4,n,100,Extrusive,Lava Flow,47.26393191,Basalt,Keweenaw Peninsula:Michigan,-88.39958698,,a,PL60,Portage Lake Volcanics,
This study,293.2,33.6,5,n,100,Extrusive,Lava Flow,47.26790722,Basalt,Keweenaw Peninsula:Michigan,-88.4052262,,a,PL325,Portage Lake Volcanics,
This study,294.2,31.7,4,n,100,Extrusive,Lava Flow,47.26201279,Basalt,Keweenaw Peninsula:Michigan,-88.39535756,,a,PL61,Portage Lake Volcanics,
This study,285.7,37.1,5,n,100,Extrusive,Lava Flow,47.2564059,Basalt,Keweenaw Peninsula:Michigan,-88.39557021,,a,PL343,Portage Lake Volcanics,Copper City Flow
This study,264.9,45.6,5,n,100,Extrusive,Lava Flow,47.29195572,Basalt,Keweenaw Peninsula:Michigan,-88.40984762,,a,PL35,Portage Lake Volcanics,
This study,294.6,45.2,4,n,100,Extrusive,Lava Flow,47.28976244,Basalt,Keweenaw Peninsula:Michigan,-88.41256728,,a,PL7,Portage Lake Volcanics,
This study,274.7,45.2,4,n,100,Extrusive,Lava Flow,47.29154448,Basalt,Keweenaw Peninsula:Michigan,-88.40974689,,a,PL6,Portage Lake Volcanics,
This study,280.8,49.7,5,n,100,Extrusive,Lava Flow,47.29181864,Basalt,Keweenaw Peninsula:Michigan,-88.40994835,,a,PL5,Portage Lake Volcanics,
