tab delimited	locations
citations	continent_ocean	country	geologic_classes	lat_n	lat_s	lithologies	location	location_type	lon_e	lon_w	method_codes	plate_blocks	region	sites	tectonic_settings
This study	North America	USA	Extrusive	47.44393649	46.47915937	Basalt:Quartz Porphyry:Quartzite:Rhyolite	Keweenaw Peninsula:Michigan	Region	-87.94004327	-90.16412176	LT-AF-Z	North American Plate		PL150 : PL50 : PL331 : PL344 : PL51 : PL330 : PL52 : PL323 : PL53 : PL324 : PL335 : PL54 : PL55 : PL56 : PL326 : PL327 : PL57 : PL58 : PL59 : PL60 : PL325 : PL61 : PL343 : PL35 : PL7 : PL6 : PL5 : PL4 : PL3 : PL1 : PL44 : PL333 : PL49 : PL329 : PL43 : PL27 : PL26 : PL25 : PL24 : PL22 : PL20 : PL19 : PL14 : PL13 : PL12 : PL11 : PL10 : PL9 : PL8 : PL32 : PL33 : PL34 : PL340 : PL338 : PL339 : PL342 : PL349 : PL348 : PL347 : PL346 : PL345 : PL158 : PL160 : PL159 : PL157 : PL341 : PL154 : PL153 : PL42 : ER66 : ER67 : ER68 : QP69 : QP71 : QP73 : R36-0 : R36-1 : R36-2 : R36-3 : R36-4 : R36-5 : R36-6 : R36-7 : R62-1 : R62-2 : R62-3 : R62-4 : R62-5 : R62-6 : IB74 : IB75 : IB76 : IB301 : IB303 : IB306 : IB322 : MK216 : MK217 : MK218 : MK219 : MK316 : MK317 : MK318 : MK319 : MK320	Continental Rift
This study	North America	USA	Extrusive	47.822107	47.55559984	Basalt:Andesite:Rhyolite		Region	-90.0612863	-90.87729197	LT-AF-Z	North American Plate		NS254 : NS255 : NS256 : NS263 : NS381 : NS370 : NS382 : NS372 : NS379 : NS371 : NS380 : NS262 : NS261 : NS260 : NS259 : NS258 : NS264 : NS257 : NS377 : NS171 : NS170 : NS169 : NS376 : NS374 : NS369 : NS368 : NS265 : NS367 : NS365 : NS362 : NS226 : NS375 : NS229 : NS227 : NS378 : NS269	Continental Rift
This study	North America	USA	Extrusive	47.8947213	47.88567502	Basalt	Isle Royale:Michigan	Region	-89.19391462	-89.21534223	LT-AF-Z	North American Plate		MK243 : MK244 : MK245 : MK246 : MK247 : MK248 : MK249 : MK250 : MK251	Continental Rift
>>>>>>>>>>
tab delimited	sites
citations	dir_dec	dir_inc	dir_n_samples	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	formation	site_alternatives	vgp_lat	vgp_lon
This study	284	33	4	n	100	Extrusive	Lava Flow	47.28798041	Basalt	Keweenaw Peninsula:Michigan	-88.40954543	LT-AF-Z	a	PL150	Portage Lake Volcanics		22.51950636	184.0980891
This study	284.2	19.9	5	n	100	Extrusive	Lava Flow	47.26585103	Basalt	Keweenaw Peninsula:Michigan	-88.41569905	LT-AF-Z	a	PL50	Portage Lake Volcanics	Iroquois Flow	17.13489983	178.1983954
This study	283.3	35.3	5	n	100	Extrusive	Lava Flow	47.2807152	Basalt	Keweenaw Peninsula:Michigan	-88.41458184	LT-AF-Z	a	PL331	Portage Lake Volcanics		23.09785206	185.7672225
This study	294.7	38.2	3	n	100	Extrusive	Lava Flow	47.35741186	Basalt	Keweenaw Peninsula:Michigan	-88.4218405	LT-AF-Z	a	PL344	Portage Lake Volcanics		32.19117618	179.004237
This study	290.9	24.8	3	n	100	Extrusive	Lava Flow	47.28373095	Basalt	Keweenaw Peninsula:Michigan	-88.40551631	LT-AF-Z	a	PL51	Portage Lake Volcanics	Osceola Flow	23.65177545	175.1587292
This study	286.8	21	5	n	100	Extrusive	Lava Flow	47.27345896	Basalt	Keweenaw Peninsula:Michigan	-88.41489345	LT-AF-Z	a	PL330	Portage Lake Volcanics		19.33305326	176.6835764
This study	287.4	32.9	5	n	100	Extrusive	Lava Flow	47.26786732	Basalt	Keweenaw Peninsula:Michigan	-88.41888577	LT-AF-Z	a	PL52	Portage Lake Volcanics		24.77997804	181.5713987
This study	289.6	30.6	4	n	100	Extrusive	Lava Flow	47.26553697	Basalt	Keweenaw Peninsula:Michigan	-88.41828157	LT-AF-Z	a	PL323	Portage Lake Volcanics		25.25023144	178.8026426
This study	300.8	24.6	5	n	100	Extrusive	Lava Flow	47.26731901	Basalt	Keweenaw Peninsula:Michigan	-88.41727456	LT-AF-Z	a	PL53	Portage Lake Volcanics		30.17262227	167.1684944
This study	293	35	5	n	100	Extrusive	Lava Flow	47.26626227	Basalt	Keweenaw Peninsula:Michigan	-88.41348364	LT-AF-Z	a	PL324	Portage Lake Volcanics		29.53563072	178.5133619
This study	296.1	33.7	4	n	100	Extrusive	Lava Flow	47.30666996	Basalt	Keweenaw Peninsula:Michigan	-88.35529607	LT-AF-Z	a	PL335	Portage Lake Volcanics	Kearsarge Flow	31.03063497	175.4645159
This study	285.6	32	5	n	100	Extrusive	Lava Flow	47.26777014	Basalt	Keweenaw Peninsula:Michigan	-88.41086543	LT-AF-Z	a	PL54	Portage Lake Volcanics	Kearsarge Flow	23.15559744	182.4503982
This study	291.1	48.8	5	n	100	Extrusive	Lava Flow	47.26639935	Basalt	Keweenaw Peninsula:Michigan	-88.41005982	LT-AF-Z	a	PL55	Portage Lake Volcanics		35.19882559	189.1095289
This study	285.6	51.5	5	n	100	Extrusive	Lava Flow	47.26653643	Basalt	Keweenaw Peninsula:Michigan	-88.41026123	LT-AF-Z	a	PL56	Portage Lake Volcanics		33.05163463	194.9653767
This study	279.8	50	5	n	100	Extrusive	Lava Flow	47.26394531	Basalt	Keweenaw Peninsula:Michigan	-88.40422811	LT-AF-Z	a	PL326	Portage Lake Volcanics		28.37259349	197.4235456
