,age,age_high,age_low,age_unit,bed_dip,bed_dip_direction,citations,description,dir_alpha95,dir_dec,dir_inc,dir_n_specimens,geologic_classes,geologic_types,height,lat,lithologies,location,lon,method_codes,site,vgp_lat,vgp_lon,dir_k,dir_n_samples,dir_polarity,dir_tilt_correction,result_type,age_sigma,criteria,dir_comp_name,dir_n_specimens_lines,dir_n_specimens_planes,dir_r,result_quality,samples,software_packages,specimens,vgp_dm,vgp_dp,average_alpha95,average_dec,average_inc,average_k,average_lat,average_lon,average_n,average_nn,average_r,data_type,er_citation_names,er_location_names,er_site_names,er_specimen_names,magic_method_codes,magic_software_packages,pmag_criteria_codes,pmag_result_name,tilt_correction,vgp_n,formation,site_alternatives,analysts,member,average_age_high,average_age_low,average_age_unit,conglomerate_test,contact_test,external_database_ids,external_database_names,fold_test,fold_test_significance,percent_reversed,pole_comp_name,result_description,reversal_test,rock_magnetic_test,tilt_alpha95_corr,tilt_alpha95_uncorr,tilt_dec_corr,tilt_dec_uncorr,tilt_inc_corr,tilt_inc_uncorr,tilt_k_corr,tilt_k_ratio,tilt_k_uncorr,tilt_n,vgp_alpha95,average_age,average_age_sigma,average_n_lines,average_n_planes,er_analyst_mail_names
0,1108.0,1110.0,1105.15,Ma,,,This study,SI1(11.8 to 26.4),2.7,79.7,-70.5,7.0,,,11.8,48.8122,,Simpson Island,272.338,DE-FM:LP-DC4:LP-DIR-AF,SI1(11.8 to 26.4),33.1,229.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1108.0,1110.0,1105.15,Ma,,,This study,SI1(116.3 to 118.8),6.4,74.1,-70.3,6.0,,,116.3,48.8062,,Simpson Island,272.3366,DE-FM:LP-DC4:LP-DIR-AF,SI1(116.3 to 118.8),30.4,231.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1108.0,1110.0,1105.15,Ma,,,This study,SI1(119.7 to 122.1),6.8,87.5,-68.9,5.0,,,119.7,48.806,,Simpson Island,272.3366,DE-FM:LP-DC4:LP-DIR-AF,SI1(119.7 to 122.1),35.3,223.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1108.0,1110.0,1105.15,Ma,,,This study,SI1(122.1 to 123.7),4.9,75.7,-69.1,6.0,,,122.1,48.8058,,Simpson Island,272.3367,DE-FM:LP-DC4:LP-DIR-AF,SI1(122.1 to 123.7),30.0,229.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1108.0,1110.0,1105.15,Ma,,,This study,SI1(28.3 to 29.2),3.9,109.8,-66.8,7.0,,,28.3,48.8107,,Simpson Island,272.3377,DE-FM:LP-DC4:LP-DIR-AF,SI1(28.3 to 29.2),45.8,210.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1108.0,1110.0,1105.15,Ma,,,This study,SI1(29.2 to 29.7),5.7,99.7,-66.2,3.0,,,29.2,48.8104,,Simpson Island,272.3378,DE-FM:LP-DC4:LP-DIR-AF,SI1(29.2 to 29.7),39.6,214.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1108.0,1110.0,1105.15,Ma,,,This study,SI1(33.3 to 37.1),7.7,92.6,-68.1,5.0,,,33.3,48.81,,Simpson Island,272.3377,DE-FM:LP-DC4:LP-DIR-AF,SI1(33.3 to 37.1),37.2,220.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1108.0,1110.0,1105.15,Ma,,,This study,SI1(40.6 to 42.5),3.5,85.4,-73.3,6.0,,,40.6,48.8095,,Simpson Island,272.3374,DE-FM:LP-DC4:LP-DIR-AF,SI1(40.6 to 42.5),38.2,231.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1108.0,1110.0,1105.15,Ma,,,This study,SI1(42.5 to 44.4),4.5,77.8,-63.5,6.0,,,42.5,48.8095,,Simpson Island,272.3373,DE-FM:LP-DC4:LP-DIR-AF,SI1(42.5 to 44.4),25.8,222.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1108.0,1110.0,1105.15,Ma,,,This study,SI1(58.1 to 64.1),8.7,86.1,-64.4,5.0,,,58.1,48.8086,,Simpson Island,272.3378,DE-FM:LP-DC4:LP-DIR-AF,SI1(58.1 to 64.1),30.8,218.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
