Y,X,site
48.10,-89.47,N50
48.13,-89.38,N51
48.05,-89.53,N52
48.11,-89.46,N53
48.01,-89.70,N54
48.04,-89.68,N55
48.33,-88.82,N56
48.33,-88.81,N59
48.30,-88.85,N57
48.33,-88.83,N58
48.33,-88.82,N60
48.33,-88.82,N61
48.33,-88.82,N62
48.34,-88.84,N63
48.31,-88.89,N64
48.34,-88.80,N65
48.30,-88.84,N66
48.37,-88.69,N67
48.81,-87.51,N68
48.31,-88.84,N69
48.34,-88.80,N70
48.33,-88.81,N71
48.33,-88.83,R22
48.33,-88.83,R23
48.47,-88.85,R24
48.48,-88.84,R25
48.34,-88.82,R26
48.58,-88.67,R27
48.54,-88.64,R28
48.32,-88.90,R29
48.36,-88.79,R30
48.46,-88.76,R31
48.32,-88.87,R32
48.01,-89.58,R33
48.68,-88.05,R34
48.45,-88.77,R35
48.63,-88.12,R35
48.34,-88.79,R36
48.33,-88.80,R37
48.35,-88.75,R38
48.82,-87.49,R40
48.56,-88.73,R41
48.76,-88.61,R42
48.65,-88.74,R43
48.89,-88.56,R44
49.07,-88.82,R45
48.57,-88.84,R46
49.02,-88.00,R47
48.99,-88.34,R48
49.03,-88.01,R49
