tab 	specimens
citations	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_tilt_correction	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	sample	specimen
This study	56.8	-66.2	4.8	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.17	0.06	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-116.95	SI1-116.95a
This study	90.7	-68.9	0.5	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-116.96	SI1-116.96a
This study	53.7	-65.0	1.5	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.09	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-116.97	SI1-116.97a
This study	73.0	-72.7	0.9	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.06	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-116.9	SI1-116.9a
This study	76.8	-75.5	0.3	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.07	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-117.05	SI1-117.05a
This study	99.7	-68.3	0.6	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-117.2	SI1-117.2a
This study	69.2	-71.9	2.2	6	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-12.5	SI1-12.5-D
This study	90.9	-70.7	1.3	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.025	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-12.55	SI1-12.55-D
This study	73.3	-70.7	0.5	14	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-120.42	SI1-120.42a
This study	103.8	-62.8	0.9	14	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-120.45	SI1-120.45a
This study	62.9	-72.9		14	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-120.4	SI1-120.4a
This study	91.0	-66.5	0.5	14	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.008	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-120.52	SI1-120.52a
This study	95.5	-68.2	0.7	9	100	Extrusive:Igneous	Lava Flow	Basalt	0.14	0.04	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-120.5	SI1-120.5a
This study	51.9	-57.3	2.9	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.17	0.07	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-120.6	SI1-120.6a
This study	64.5	-73.2	0.4	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.12	0.05	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-122.4	SI1-122.4a
This study	59.5	-68.9	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-122.5	SI1-122.5a
This study	79.5	-61.4	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-122.65	SI1-122.65a
This study	82.7	-70.9	0.4	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-122.69	SI1-122.69a
This study	90.1	-66.8	0.2	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-123.35	SI1-123.35a
This study	73.2	-71.6	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-123.4	SI1-123.4a
This study	83.4	-69.7	7.7	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-13.0	SI1-13.0-D
This study	84.8	-69	1.3	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-13.4	SI1-13.4-D
This study	69.7	-75.2	3.5	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.06	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-14.2	SI1-14.2-D
This study	82.0	-68.3	0.3	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-14.4	SI1-14.4-D
This study	74.9	-68	0.5	8	100	Extrusive:Igneous	Lava Flow	Basalt	0.08	0.02	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-14.9	SI1-14.9-D
This study	114.2	-64	1.1	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-28.68	SI1-28.68-D
This study	108.6	-64.6	1.6	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-28.7	SI1-28.7-D
This study	127.5	-69.3	0.4	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-28.8	SI1-28.8-D
This study	107.0	-70.6	0.4	7	100	Extrusive:Igneous	Lava Flow	Basalt	0.1	0.03	T	DA-DIR-GEO:DE-BFL:LP-DC4:LP-DIR-AF	SI1-28.9	SI1-28.9-D
