tab 	samples
azimuth	citations	description	dip	dir_dec	dir_inc	dir_n_specimens	dir_n_specimens_lines	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	lon	method_codes	sample	site	specimens
241.0	This study	oriented core	-75	114.2	-64	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-28.68	SI1(28.3 to 29.2)	SI1-28.68-D
255.0	This study	oriented core	-81	108.6	-64.6	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-28.7	SI1(28.3 to 29.2)	SI1-28.7-D
273.0	This study	oriented core	-69	127.5	-69.3	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-28.8	SI1(28.3 to 29.2)	SI1-28.8-D
276.0	This study	oriented core	-70						Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-28.85	SI1(28.3 to 29.2)	
249.0	This study	oriented core	-87	107.0	-70.6	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-28.9	SI1(28.3 to 29.2)	SI1-28.9-D
252.0	This study	oriented core	-83	117.5	-64	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-29.0	SI1(28.3 to 29.2)	SI1-29.0-D
291.0	This study	oriented core	-77	91.3	-66.5	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-29.1	SI1(28.3 to 29.2)	SI1-29.1-D
269.0	This study	oriented core	-107	62.5	-59.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-29.15	SI1(29.2 to 29.7)	SI1-29.15-D
278.0	This study	oriented core	-80	102.9	-66.1	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-29.2	SI1(28.3 to 29.2)	SI1-29.2-D
230.0	This study	oriented core	-61	100.0	-69.4	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-29.24	SI1(29.2 to 29.7)	SI1-29.24-D
295.0	This study	oriented core	-79	94.5	-65.7	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-29.25	SI1(29.2 to 29.7)	SI1-29.25-D
263.0	This study	oriented core	-76	104.3	-63.3	1	1	100	Extrusive:Igneous	Lava Flow	48.8104	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-29.4	SI1(29.2 to 29.7)	SI1-29.4-D
213.0	This study	oriented core	-59	75.6	-63	1	1	100	Extrusive:Igneous	Lava Flow	48.81	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-33.4	SI1(33.3 to 37.1)	SI1-33.4a
309.0	This study	oriented core	-39						Extrusive:Igneous	Lava Flow	48.81	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-33.5	SI1(33.3 to 37.1)	
218.0	This study	oriented core	-37	104.4	-79.4	1	1	100	Extrusive:Igneous	Lava Flow	48.81	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-34.2	SI1(33.3 to 37.1)	SI1-34.2a
232.0	This study	oriented core	-89	89.8	-67.7	1	1	100	Extrusive:Igneous	Lava Flow	48.81	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-34.7	SI1(33.3 to 37.1)	SI1-34.7a
232.0	This study	oriented core	-90	99.4	-65.7	1	1	100	Extrusive:Igneous	Lava Flow	48.81	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-34.75	SI1(33.3 to 37.1)	SI1-34.75a
229.0	This study	oriented core	-91	101.0	-63.2	1	1	100	Extrusive:Igneous	Lava Flow	48.81	Basalt	272.3377	FS-FD:SO-CMD-NORTH:SO-POM	SI1-34.8	SI1(33.3 to 37.1)	SI1-34.8a
265.0	This study	oriented core	-53	80.5	-77.2	1	1	100	Extrusive:Igneous	Lava Flow	48.8096	Basalt	272.3374	FS-FD:SO-CMD-NORTH:SO-POM	SI1-40.9	SI1(40.6 to 42.5)	SI1-40.9a
268.0	This study	oriented core	-48	89.9	-75.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8096	Basalt	272.3374	FS-FD:SO-CMD-NORTH:SO-POM	SI1-40.95	SI1(40.6 to 42.5)	SI1-40.95a
275.0	This study	oriented core	-44	82.7	-75.2	1	1	100	Extrusive:Igneous	Lava Flow	48.8096	Basalt	272.3374	FS-FD:SO-CMD-NORTH:SO-POM	SI1-40.96	SI1(40.6 to 42.5)	SI1-40.96a
259.8	This study	oriented core	-41	79.1	-72	1	1	100	Extrusive:Igneous	Lava Flow	48.8096	Basalt	272.3374	FS-FD:SO-CMD-NORTH:SO-POM	SI1-41	SI1(40.6 to 42.5)	SI1-41a
260.0	This study	oriented core	-41						Extrusive:Igneous	Lava Flow	48.8096	Basalt	272.3374	FS-FD:SO-CMD-NORTH:SO-POM	SI1-41.0	SI1(40.6 to 42.5)	
272.0	This study	oriented core	-65	90.0	-72.9	1	1	100	Extrusive:Igneous	Lava Flow	48.8096	Basalt	272.3374	FS-FD:SO-CMD-NORTH:SO-POM	SI1-41.1	SI1(40.6 to 42.5)	SI1-41.1a
205.0	This study	oriented core	-79	88.5	-66.2	1	1	100	Extrusive:Igneous	Lava Flow	48.8096	Basalt	272.3374	FS-FD:SO-CMD-NORTH:SO-POM	SI1-41.15	SI1(40.6 to 42.5)	SI1-41.15a
224.0	This study	oriented core	-70	89.8	-70.3	1	1	100	Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.19	SI1(40.6 to 42.5)	SI1-43.19-D
270.0	This study	oriented core	-58	77.4	-67.6	1	1	100	Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.2	SI1(40.6 to 42.5)	SI1-43.2-D
251.0	This study	oriented core	-72						Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.3	SI1(42.5 to 44.4)	
188.0	This study	oriented core	-77						Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.31	SI1(42.5 to 44.4)	
258.0	This study	oriented core	-79	75.8	-60.2	1	1	100	Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.4	SI1(40.6 to 42.5)	SI1-43.4-D
267.0	This study	oriented core	-76						Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.5	SI1(42.5 to 44.4)	
228.0	This study	oriented core	-86	73.8	-60.2	1	1	100	Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.51	SI1(40.6 to 42.5)	SI1-43.51-D
243.0	This study	oriented core	-91						Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.59	SI1(42.5 to 44.4)	
294.0	This study	oriented core	-99	81.5	-63.7	1	1	100	Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.6	SI1(40.6 to 42.5)	SI1-43.6-D
276.0	This study	oriented core	-102	72.8	-58.4	1	1	100	Extrusive:Igneous	Lava Flow	48.8095	Basalt	272.3373	FS-FD:SO-CMD-NORTH:SO-POM	SI1-43.61	SI1(40.6 to 42.5)	SI1-43.61-D
254.0	This study	oriented core	-24						Extrusive:Igneous	Lava Flow	48.8086	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-60.59	SI1(58.1 to 64.1)	
239.0	This study	oriented core	-31						Extrusive:Igneous	Lava Flow	48.8086	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-60.6	SI1(58.1 to 64.1)	
219.0	This study	oriented core	-64	85.0	-53.5	1	1	100	Extrusive:Igneous	Lava Flow	48.8086	Basalt	272.3378	FS-FD:SO-CMD-NORTH:SO-POM	SI1-61.1	SI1(58.1 to 64.1)	SI1-61.1-D
