zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,1091.303084,0.340783053,1092.096316,0.40477808,1093.678106,0.962546275,0.60914775,0.217159122,yes
z2      ,1091.481092,0.378989521,1091.95701,0.509432817,1092.906091,1.238678102,0.591065286,0.130386221,yes
z3      ,1091.482674,0.354731588,1091.809976,0.48009695,1092.462753,1.26636442,0.473456094,0.089712763,yes
z4      ,1091.451626,0.445188905,1092.387533,1.15939165,1094.25337,3.269265793,0.346689538,0.25604162,yes
z5      ,1091.664987,0.298447953,1092.349183,0.436943149,1093.713163,1.168060467,0.449502965,0.187268164,yes
z6      ,1091.766875,0.318121361,1092.104195,0.50175338,1092.77676,1.300959747,0.506796914,0.092414566,yes
