zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,1103.700548,0.866898118,1104.200317,1.281760265,1105.185033,3.055384476,0.620641286,0.134320073,no
z1_1    ,1100.826076,0.616973961,1101.071913,0.523876216,1101.557749,0.964199102,0.785817571,0.066421686,yes
z3      ,1104.773494,1.896362749,1103.334219,3.040104309,1100.497431,7.708173922,0.536484885,-0.388557291,no
z3_1    ,1100.601171,0.700106571,1101.154849,0.965118247,1102.249062,2.321181715,0.600630808,0.149502637,yes
z4      ,1101.031439,1.244090328,1101.158499,1.529255433,1101.409573,3.342229482,0.696441072,0.034331873,yes
z4_1    ,1099.524558,1.065657992,1100.762573,1.216896405,1103.210608,2.880175322,0.606580696,0.334120325,yes
z5      ,1099.864781,0.561478241,1100.374713,0.91947155,1101.383232,2.225381674,0.620695883,0.137867703,yes
z6      ,1099.501437,1.216090486,1099.912905,1.900703404,1100.727034,5.050012594,0.452514447,0.111344333,yes
z6_1    ,1100.582326,1.215360178,1100.060428,1.2745152,1099.028213,3.168687303,0.556068872,-0.141407958,yes
z7      ,1100.203917,0.598163157,1100.885004,0.786465069,1102.231411,1.501880872,0.834667979,0.183944455,yes
z7_1    ,1100.292982,0.691287789,1100.659713,0.903766599,1101.384786,2.21303564,0.572155394,0.09913016,yes
z8_1    ,1101.560071,0.441113108,1101.774735,0.600899001,1102.198671,1.46490091,0.580505455,0.057938719,no
